rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.3629532191187331,2.5819413374703837,0.01999911386292455,0.010000000000000004
2,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.5188206930603473,0.4352683625905824,0.5353867258499574,0.010000000000000005
3,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.46843002100097697,3.2282198153878445,0.36933518991359177,0.010000000000000016
4,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.6912627429155971,3.233441722989994,0.05009257616884355,0.01000000000000002
5,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.46767852386987324,2.121159966388398,0.10953487614716201,0.01000000000000001
6,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.9360620392646333,3.1813824132247257,0.1196316963898843,0.010000000000000021
7,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.008575804378533447,0.43292859435956155,0.17959306484472082,0.010000000000000009
8,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.42686383360403835,3.203327295074294,0.044695020672710764,0.010000000000000004
9,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.9219758432796942,0.8717473764777112,0.48383178079562544,0.010000000000000002
10,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.9419140297410402,1.7959485799643091,0.6020991020742741,0.010000000000000009
11,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.5253532554258737,0.5738796585375374,0.17480680077303104,0.010000000000000016
12,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.030251430684976405,0.9249936795943556,0.07223272523268712,0.010000000000000016
13,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.3602945999905448,0.5178835243439481,0.012119106573700147,0.010000000000000005
14,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.9806128031543808,1.8409392637476043,0.01999911386292455,0.01000000000000002
15,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.5607909920248599,1.0086892627926975,0.10953487614716201,0.010000000000000005
16,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.6708705165244561,2.2058970127954862,0.5398299974057837,0.01000000000000001
17,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.7440203270078232,2.028963955365403,0.12222560556686635,0.010000000000000005
18,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.9149530350170733,2.4983669161813244,0.10427201324822073,0.010000000000000002
19,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.7511030842366384,1.773263702816734,0.17959306484472082,0.010000000000000012
20,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.6115159116366482,2.3407709375327626,0.5400748823674978,0.010000000000000016
21,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.3848620300793668,3.0256747158753106,0.01843082605186777,0.010000000000000009
22,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.5551610892514304,1.6165884370457155,0.2907010551814335,0.010000000000000002
23,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.017330034446721848,3.4619531221171376,0.005668256641442458,0.010000000000000018
24,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.9149530350170733,1.850093943646483,0.2679960067894875,0.010000000000000002
25,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.9659467385007965,3.1738966527494235,0.014971542056417805,0.010000000000000007
26,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.004007066747505828,0.4790057733266384,0.21300820239003554,0.010000000000000005
27,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.007202407154498797,2.6025427870977933,0.04080554889432962,0.010000000000000002
28,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.07907998108393383,3.0005417793898803,0.0023747226711102604,0.010000000000000004
29,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.22130954862005137,3.2317272659767795,0.1756578957184811,0.010000000000000007
30,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.053197361330978674,0.8152197967683263,0.24064815611011137,0.010000000000000004
31,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.8520851867612637,1.0553472189318283,0.22799731152010774,0.010000000000000005
32,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.8478770727945257,0.5738796585375374,0.19940431619622617,0.01000000000000002
33,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.01617164588953536,2.2079751763565136,0.11581002048505573,0.010000000000000005
34,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.15603724608364608,3.1845003715624736,0.07106198905282558,0.010000000000000023
35,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.7013746023118386,2.4983669161813244,0.1900650877712287,0.010000000000000007
36,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.3087023808077595,0.9595624984452169,0.0489680714685149,0.010000000000000023
37,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.10004305140411701,2.7337057601212544,0.0026771210843795617,0.010000000000000004
38,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.04991521903722149,2.3473317061181045,0.0639065617844699,0.010000000000000004
39,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.3709052995564246,2.378733873434692,0.03217814942159314,0.010000000000000004
40,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.610364128367498,3.086672745987449,0.12749645398045234,0.01
41,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.7719901897028585,2.8532935155371555,0.13624672560840276,0.010000000000000002
42,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.16455381808809283,2.583185331428176,0.1005716444121122,0.010000000000000014
43,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.3468946412791404,2.374921713698122,0.01520462657539028,0.010000000000000002
44,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.14623825112693456,0.8991337263399806,0.22568094673552255,0.010000000000000004
45,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.998266016558679,2.4475321166813337,0.14097238700089257,0.010000000000000012
46,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.6922871034851855,1.370308911864839,0.28536476423298573,0.01
47,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.9428087164736851,1.7846776325601668,0.28184546396843096,0.010000000000000004
48,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.35823054507239677,3.4701826580322126,0.046775261721029054,0.010000000000000016
49,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.013614011559602915,0.34429903417974844,0.17026963850426216,0.010000000000000005
50,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.15108988532431725,0.39400006088580286,0.5535012604570453,0.010000000000000004
51,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.19326688864286048,0.3834240407489228,0.269977495516522,0.010000000000000021
52,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.8086320822647092,0.5738796585375374,0.09931956684460672,0.010000000000000016
53,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.9848207844669341,0.9928001903296859,0.13565095914658773,0.010000000000000004
54,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.8427591093718124,0.9663579626107606,0.11581002048505573,0.010000000000000002
55,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.43065956083389934,3.02413079839041,0.0007748465675221639,0.010000000000000016
56,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.18556391734309974,1.4040357022314978,0.3335582930927311,0.010000000000000007
57,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.565922966295783,3.2133764576268367,0.13059613614790727,0.010000000000000016
58,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.7248651100066269,0.8152197967683263,0.177609581011317,0.01000000000000001
59,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.8547618093852273,3.3643548058963004,0.012324303283950053,0.01000000000000002
60,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.5253532554258737,0.5738796585375374,0.02582506003219627,0.010000000000000012
61,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.34690488429931476,0.6625563969354265,0.3439911491079186,0.01000000000000002
62,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.9461990419241547,3.1190609282996595,0.06992165579297131,0.010000000000000007
63,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.9360620392646333,1.7250959063372373,0.22058426850683946,0.010000000000000002
64,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.0007689205247356223,3.084176810777652,0.020280101758919776,0.01000000000000001
65,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.5299728927110201,2.011370899825602,0.11098633320033609,0.010000000000000002
66,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.7377418598932975,2.956332916040557,0.06972247545335808,0.010000000000000004
67,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.8248289664158667,2.956236958902557,0.47542335335581837,0.010000000000000021
68,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.6153821208286627,3.013006465531193,0.0825169397247264,0.010000000000000002
69,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.10209309442188128,0.9454365585263744,0.3416186463474437,0.010000000000000016
70,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.5876164732594394,3.0476379669999814,0.08691317705469906,0.010000000000000005
71,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.8350221997258246,3.0848253333850026,0.041524963871783734,0.010000000000000005
72,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.3731464193959374,1.7001221687061472,0.007634687606557097,0.010000000000000002
73,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.5271945792225956,0.9492898374298312,0.32297572963177645,0.01000000000000001
74,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.04815033954305914,3.4298412192146825,0.014840915827532865,0.010000000000000018
75,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.9393269332337368,2.8811246784162154,0.030811594759206917,0.010000000000000016
76,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.5537261911182735,2.611698595205649,0.10018019256739347,0.010000000000000023
77,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.28931236242473063,1.7725845582793875,0.18154379492634604,0.010000000000000004
78,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.23519094478249347,2.668839554163887,0.03530021858093199,0.010000000000000016
79,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.25677808736661445,3.056564395362285,0.015624091532156242,0.010000000000000009
80,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.10394977197923994,1.8124224148800443,0.03406044034751421,0.010000000000000007
81,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.07814941091267785,1.1028307231470427,0.052661720374130076,0.010000000000000016
82,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.5554817479015022,3.355885649110994,0.3694023399595144,0.010000000000000002
83,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.1834049419151711,2.398199080384389,0.10953487614716201,0.010000000000000014
84,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.1349848256855179,0.7714404334503994,0.15194303092106026,0.010000000000000014
85,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.8868173639791928,2.2951621641073854,0.20976613813273212,0.01000000000000002
86,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.9741104976645761,0.5448224867336824,0.6790055364373393,0.01000000000000001
87,15.435174011529034,1.8000000000000005,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.2177766333685077,2.7190188691553856,0.26391993884711035,0.010000000000000018
88,15.435174011529034,1.800000000000002,1.5,true,5,8,1,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.008956147799366515,2.7696098749721205,0.08604357111640397,0.010000000000000009
