island,iteration,mass_kg
1,1,2.3358287981562382
1,2,2.3358287981562382
1,3,0.8715988390133232
1,4,0.8715988390133232
1,5,0.6248733004315573
1,6,0.6248733004315573
1,7,0.5766309004917044
1,8,0.5766309004917044
1,9,0.5766309004917044
1,10,0.5424822679313467
1,11,0.5424822679313467
1,12,0.5405505878960282
1,13,0.5132270828749731
1,14,0.5132270828749731
1,15,0.5132270828749731
1,16,0.5132270828749731
1,17,0.5132270828749731
1,18,0.509745299457167
1,19,0.4831417974656984
1,20,0.4831417974656984
1,21,0.4831417974656984
1,22,0.4831417974656984
1,23,0.4831417974656984
1,24,0.4831417974656984
1,25,0.4831417974656984
1,26,0.4831417974656984
1,27,0.4831417974656984
1,28,0.4831417974656984
1,29,0.4793846376965492
1,30,0.4793846376965492
1,31,0.4793846376965492
1,32,0.4792771701087384
1,33,0.4792771701087384
1,34,0.4792771701087384
1,35,0.4792771701087384
1,36,0.4792771701087384
1,37,0.4792771701087384
1,38,0.4792771701087384
1,39,0.4788336886896826
1,40,0.4788336886896826
1,41,0.4788336886896826
1,42,0.4772358692444616
1,43,0.4772358692444616
1,44,0.4772358692444616
1,45,0.4772358692444616
1,46,0.47695566292294195
1,47,0.47695566292294195
1,48,0.47672516169658335
1,49,0.47672516169658335
1,50,0.47672516169658335
1,51,0.47672516169658335
1,52,0.47672516169658335
1,53,0.47672516169658335
1,54,0.47672516169658335
1,55,0.4766804987371467
1,56,0.4765830463788951
1,57,0.4765231240479681
1,58,0.4765231240479681
1,59,0.4765231240479681
1,60,0.4765231240479681
1,61,0.4765231240479681
1,62,0.4765231240479681
1,63,0.4765231240479681
1,64,0.4765231240479681
1,65,0.4765231240479681
1,66,0.4765231240479681
1,67,0.4765231240479681
1,68,0.4765231240479681
1,69,0.4765231240479681
1,70,0.47652288562748685
1,71,0.47652288562748685
1,72,0.4765228161359764
1,73,0.4765228161359764
1,74,0.4765228161359764
1,75,0.4765226263862325
1,76,0.4765226263862325
1,77,0.47652261504791543
1,78,0.47652261504791543
1,79,0.47652253075384615
1,80,0.47652246822613814
1,81,0.476522429227674
1,82,0.476522429227674
1,83,0.4765224024264842
1,84,0.4765223980881151
1,85,0.4765223980881151
1,86,0.4765223980881151
1,87,0.4765223980881151
1,88,0.4765223980881151
1,89,0.47652238916699585
1,90,0.47652238448004497
1,91,0.47652238448004497
1,92,0.47652238448004497
1,93,0.47652238448004497
1,94,0.47652238448004497
1,95,0.47652238448004497
1,96,0.47652238448004497
1,97,0.4765223835620111
1,98,0.4765223835620111
1,99,0.4765223835620111
1,100,0.4765223835620111
2,1,0.7535130655777992
2,2,0.7535130655777992
2,3,0.5476626188402004
2,4,0.5476626188402004
2,5,0.5353178932789235
2,6,0.5353178932789235
2,7,0.5353178932789235
2,8,0.5353178932789235
2,9,0.5353178932789235
2,10,0.5353178932789235
2,11,0.5144129454562121
2,12,0.4965266902781285
2,13,0.4965266902781285
2,14,0.4965266902781285
2,15,0.4965266902781285
2,16,0.4965266902781285
2,17,0.4897468398136869
2,18,0.4858039432840335
2,19,0.4858039432840335
2,20,0.4858039432840335
2,21,0.4858039432840335
2,22,0.4858039432840335
2,23,0.4858039432840335
2,24,0.4819889241244978
2,25,0.48097263476263263
2,26,0.48097263476263263
2,27,0.48097263476263263
2,28,0.4786277758726567
2,29,0.4786277758726567
2,30,0.4786277758726567
2,31,0.4786277758726567
2,32,0.47753701886612115
2,33,0.477283945660903
2,34,0.477283945660903
2,35,0.477283945660903
2,36,0.4767818075781078
2,37,0.4767818075781078
2,38,0.4767818075781078
2,39,0.4767818075781078
2,40,0.47670464779401517
2,41,0.4766192053518885
2,42,0.4766192053518885
2,43,0.4766192053518885
2,44,0.4766192053518885
2,45,0.4766192053518885
2,46,0.4766192053518885
2,47,0.4766020390584026
2,48,0.47655368515351143
2,49,0.47655368515351143
2,50,0.47655368515351143
2,51,0.47655368515351143
2,52,0.4765364811878478
2,53,0.47652817054569124
2,54,0.47652817054569124
2,55,0.47652817054569124
2,56,0.4765228248961499
2,57,0.4765228248961499
2,58,0.4765224090828916
2,59,0.4765224090828916
2,60,0.4765224090828916
2,61,0.4765224090828916
2,62,0.4765224090828916
2,63,0.4765224090828916
2,64,0.4765224090828916
2,65,0.4765224090828916
2,66,0.4765224090828916
2,67,0.4765224090828916
2,68,0.4765224090828916
2,69,0.4765224090828916
2,70,0.4765224090828916
2,71,0.4765224022222812
2,72,0.47652239085774534
2,73,0.47652239085774534
2,74,0.47652239085774534
2,75,0.47652239085774534
2,76,0.47652239085774534
2,77,0.47652239085774534
2,78,0.47652239085774534
2,79,0.47652239085774534
2,80,0.47652239030533633
2,81,0.47652238966227833
2,82,0.47652238966227833
2,83,0.47652238391168555
2,84,0.47652238391168555
2,85,0.47652238391168555
2,86,0.47652238391168555
2,87,0.47652238391168555
2,88,0.47652238391168555
2,89,0.476522383594012
2,90,0.47652238340225184
2,91,0.47652238340225184
2,92,0.47652238340225184
2,93,0.47652238340225184
2,94,0.47652238340225184
2,95,0.4765223834014314
2,96,0.476522383386222
2,97,0.476522383386222
2,98,0.476522383386222
2,99,0.476522383374245
2,100,0.476522383374245
