island,iteration,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,r_hub_m,r_bottom_m,target_Lr,n_lines,density_profile,rotor_mask_proxy,bank_top,bank_bottom,lambda_top,lambda_bottom
1,1,0.027910150584290853,0.015,0.8351438879725785,0.9504655017587447,0.2,0.9486832980505138,1.731572790920719,6.5594643444174565,-0.12782806828675436,0.0,0.20555304809684394,15.151962385972354,0.45994261604803977,0.5378062174110154
1,2,0.027910150584290853,0.015,0.8351438879725785,0.9504655017587447,0.2,0.9486832980505138,1.731572790920719,6.5594643444174565,-0.12782806828675436,0.0,0.20555304809684394,15.151962385972354,0.45994261604803977,0.5378062174110154
1,3,0.016190842818894824,0.008003783201016938,0.44,0.7497186514189288,0.2,0.8229607891223647,4.183199999999999,11.941824378721622,-0.09070270286678783,17.16358010677242,0.0,13.743642795811468,0.7795455434230165,1.0
1,4,0.016190842818894824,0.008003783201016938,0.44,0.7497186514189288,0.2,0.8229607891223647,4.183199999999999,11.941824378721622,-0.09070270286678783,17.16358010677242,0.0,13.743642795811468,0.7795455434230165,1.0
1,5,0.00953061640099994,0.005,0.9668719696833824,0.4,0.2,0.31622776601683794,1.0,13.399240529718778,-0.27443955890256366,15.778186243300627,20.56344602844683,3.3368941875756764,0.10379999999999998,0.786874698035073
1,6,0.00953061640099994,0.005,0.9668719696833824,0.4,0.2,0.31622776601683794,1.0,13.399240529718778,-0.27443955890256366,15.778186243300627,20.56344602844683,3.3368941875756764,0.10379999999999998,0.786874698035073
1,7,0.009486832980505138,0.005,0.7525448945229192,0.4,0.20804347720579244,0.31622776601683794,2.677689574195475,15.303930703320804,-0.8,19.0,15.958366085851175,10.16901107810409,0.49990458543288985,0.1147997142594945
1,8,0.009486832980505138,0.005,0.7525448945229192,0.4,0.20804347720579244,0.31622776601683794,2.677689574195475,15.303930703320804,-0.8,19.0,15.958366085851175,10.16901107810409,0.49990458543288985,0.1147997142594945
1,9,0.009486832980505138,0.005,0.7525448945229192,0.4,0.20804347720579244,0.31622776601683794,2.677689574195475,15.303930703320804,-0.8,19.0,15.958366085851175,10.16901107810409,0.49990458543288985,0.1147997142594945
1,10,0.010703465043120027,0.009212361692359108,0.44,1.2431141565011974,0.2,0.9486832980505138,4.183199999999999,16.0,-0.1085076137944532,13.984624604297716,6.156014025497866,0.0,0.9131706301180212,0.09620107792126698
1,11,0.010703465043120027,0.009212361692359108,0.44,1.2431141565011974,0.2,0.9486832980505138,4.183199999999999,16.0,-0.1085076137944532,13.984624604297716,6.156014025497866,0.0,0.9131706301180212,0.09620107792126698
1,12,0.009489293580160872,0.0058885474450542565,0.6944952274531679,0.4,0.2,0.31622776601683794,2.6471623688072174,15.555063331966704,-0.21599740475942525,19.0,22.0,0.0,1.0,0.8839678285769106
1,13,0.009489293580160872,0.006687199779321869,0.6027841238292371,0.7140705854481244,0.2,0.31622776601683794,3.5710217401978994,16.0,0.41955512084304775,12.135228776078293,5.325974196749559,0.0,1.0,0.8839678285769106
1,14,0.009489293580160872,0.006687199779321869,0.6027841238292371,0.7140705854481244,0.2,0.31622776601683794,3.5710217401978994,16.0,0.41955512084304775,12.135228776078293,5.325974196749559,0.0,1.0,0.8839678285769106
1,15,0.009489293580160872,0.006687199779321869,0.6027841238292371,0.7140705854481244,0.2,0.31622776601683794,3.5710217401978994,16.0,0.41955512084304775,12.135228776078293,5.325974196749559,0.0,1.0,0.8839678285769106
1,16,0.009489293580160872,0.006687199779321869,0.6027841238292371,0.7140705854481244,0.2,0.31622776601683794,3.5710217401978994,16.0,0.41955512084304775,12.135228776078293,5.325974196749559,0.0,1.0,0.8839678285769106
1,17,0.009489293580160872,0.006687199779321869,0.6027841238292371,0.7140705854481244,0.2,0.31622776601683794,3.5710217401978994,16.0,0.41955512084304775,12.135228776078293,5.325974196749559,0.0,1.0,0.8839678285769106
1,18,0.009927024700160355,0.005919142123865347,0.5209325526627119,1.0142822844069994,0.20001804285948183,0.4470897311804487,2.2615866919982905,16.0,0.1143759321293471,13.984624604297716,0.0,0.0,0.10379999999999998,0.09620107792126698
1,19,0.009489293580160872,0.006574531703986129,0.5121057161354811,0.9064859223634332,0.2,0.5626006754056672,4.1586984546391,16.0,0.5312751846764392,4.570812623718895,13.437774739526427,3.541076732172251,0.9491418523641876,0.795622463531908
1,20,0.009489293580160872,0.006574531703986129,0.5121057161354811,0.9064859223634332,0.2,0.5626006754056672,4.1586984546391,16.0,0.5312751846764392,4.570812623718895,13.437774739526427,3.541076732172251,0.9491418523641876,0.795622463531908
1,21,0.009489293580160872,0.006574531703986129,0.5121057161354811,0.9064859223634332,0.2,0.5626006754056672,4.1586984546391,16.0,0.5312751846764392,4.570812623718895,13.437774739526427,3.541076732172251,0.9491418523641876,0.795622463531908
1,22,0.009489293580160872,0.006574531703986129,0.5121057161354811,0.9064859223634332,0.2,0.5626006754056672,4.1586984546391,16.0,0.5312751846764392,4.570812623718895,13.437774739526427,3.541076732172251,0.9491418523641876,0.795622463531908
1,23,0.009489293580160872,0.006574531703986129,0.5121057161354811,0.9064859223634332,0.2,0.5626006754056672,4.1586984546391,16.0,0.5312751846764392,4.570812623718895,13.437774739526427,3.541076732172251,0.9491418523641876,0.795622463531908
1,24,0.009489293580160872,0.006574531703986129,0.5121057161354811,0.9064859223634332,0.2,0.5626006754056672,4.1586984546391,16.0,0.5312751846764392,4.570812623718895,13.437774739526427,3.541076732172251,0.9491418523641876,0.795622463531908
1,25,0.009489293580160872,0.006574531703986129,0.5121057161354811,0.9064859223634332,0.2,0.5626006754056672,4.1586984546391,16.0,0.5312751846764392,4.570812623718895,13.437774739526427,3.541076732172251,0.9491418523641876,0.795622463531908
1,26,0.009489293580160872,0.006574531703986129,0.5121057161354811,0.9064859223634332,0.2,0.5626006754056672,4.1586984546391,16.0,0.5312751846764392,4.570812623718895,13.437774739526427,3.541076732172251,0.9491418523641876,0.795622463531908
1,27,0.009489293580160872,0.006574531703986129,0.5121057161354811,0.9064859223634332,0.2,0.5626006754056672,4.1586984546391,16.0,0.5312751846764392,4.570812623718895,13.437774739526427,3.541076732172251,0.9491418523641876,0.795622463531908
1,28,0.009489293580160872,0.006574531703986129,0.5121057161354811,0.9064859223634332,0.2,0.5626006754056672,4.1586984546391,16.0,0.5312751846764392,4.570812623718895,13.437774739526427,3.541076732172251,0.9491418523641876,0.795622463531908
1,29,0.009486832980505138,0.005,0.5174210129516347,1.3364970891012453,0.2,0.5946624187442467,2.7515590994991492,16.0,-0.019033548528044647,7.179664797484728,11.584478768402448,0.0,0.36266042436654805,0.2991011043383502
1,30,0.009486832980505138,0.005,0.5174210129516347,1.3364970891012453,0.2,0.5946624187442467,2.7515590994991492,16.0,-0.019033548528044647,7.179664797484728,11.584478768402448,0.0,0.36266042436654805,0.2991011043383502
1,31,0.009486832980505138,0.005,0.5174210129516347,1.3364970891012453,0.2,0.5946624187442467,2.7515590994991492,16.0,-0.019033548528044647,7.179664797484728,11.584478768402448,0.0,0.36266042436654805,0.2991011043383502
1,32,0.009486832980505138,0.005,0.5135791126137317,0.9929749364954771,0.20049904823976408,0.560761516732039,1.0,15.672653619507951,-0.18392477627959303,4.2887891223305274,13.564133205176299,1.0620252221535034,1.0,1.0
1,33,0.009486832980505138,0.005,0.5135791126137317,0.9929749364954771,0.20049904823976408,0.560761516732039,1.0,15.672653619507951,-0.18392477627959303,4.2887891223305274,13.564133205176299,1.0620252221535034,1.0,1.0
1,34,0.009486832980505138,0.005,0.5135791126137317,0.9929749364954771,0.20049904823976408,0.560761516732039,1.0,15.672653619507951,-0.18392477627959303,4.2887891223305274,13.564133205176299,1.0620252221535034,1.0,1.0
