island,iteration,mass_kg
1,1,56.583167887911756
1,2,56.583167887911756
1,3,56.583167887911756
1,4,56.583167887911756
1,5,56.583167887911756
1,6,56.583167887911756
1,7,56.583167887911756
1,8,56.583167887911756
1,9,56.583167887911756
1,10,56.583167887911756
1,11,56.583167887911756
1,12,56.583167887911756
1,13,56.583167887911756
1,14,56.583167887911756
1,15,56.583167887911756
1,16,56.583167887911756
1,17,56.583167887911756
1,18,56.583167887911756
1,19,56.583167887911756
1,20,56.583167887911756
1,21,56.583167887911756
1,22,56.583167887911756
1,23,56.583167887911756
1,24,56.583167887911756
1,25,56.583167887911756
1,26,56.583167887911756
1,27,56.583167887911756
1,28,54.181491078966474
1,29,54.181491078966474
1,30,54.181491078966474
1,31,54.181491078966474
1,32,54.181491078966474
1,33,54.181491078966474
1,34,53.3937580620968
1,35,53.3937580620968
1,36,53.3937580620968
1,37,53.3937580620968
1,38,53.19016946379786
1,39,53.19016946379786
1,40,53.19016946379786
1,41,53.19016946379786
1,42,53.19016946379786
1,43,53.19016946379786
1,44,52.97538353287229
1,45,52.97538353287229
1,46,50.31569869737534
1,47,50.31569869737534
1,48,50.31569869737534
1,49,50.31569869737534
1,50,50.31569869737534
1,51,50.31569869737534
1,52,48.7386395667194
1,53,46.39849734438368
1,54,33.506427135466176
1,55,33.506427135466176
1,56,33.506427135466176
1,57,33.506427135466176
1,58,33.506427135466176
1,59,31.617266743112793
1,60,31.617266743112793
1,61,31.617266743112793
1,62,31.201682273317854
1,63,31.201682273317854
1,64,31.201682273317854
1,65,30.137436021828986
1,66,30.137436021828986
1,67,30.137436021828986
1,68,30.137436021828986
1,69,30.137436021828986
1,70,30.137436021828986
1,71,26.393360630534538
1,72,26.393360630534538
1,73,26.393360630534538
1,74,26.393360630534538
1,75,26.393360630534538
1,76,26.393360630534538
1,77,26.393360630534538
1,78,26.393360630534538
1,79,26.393360630534538
1,80,26.393360630534538
1,81,26.393360630534538
1,82,26.393360630534538
1,83,26.393360630534538
1,84,26.385060777952067
1,85,25.37278336523667
1,86,25.37278336523667
1,87,25.37278336523667
1,88,25.37278336523667
1,89,25.16039533584297
1,90,25.16039533584297
1,91,25.16039533584297
1,92,25.16039533584297
1,93,24.976010171799693
1,94,24.976010171799693
1,95,24.83140284424529
1,96,24.57340872808075
1,97,24.57340872808075
1,98,24.57340872808075
1,99,24.57340872808075
1,100,24.57340872808075
2,1,121.69810552340329
2,2,112.89610261587228
2,3,109.99637823956257
2,4,109.99637823956257
2,5,109.27334954595926
2,6,109.27334954595926
2,7,107.9503701061669
2,8,107.91892277090707
2,9,107.91892277090707
2,10,107.91892277090707
2,11,107.8748704978588
2,12,107.11558582302328
2,13,107.11558582302328
2,14,106.90184730278266
2,15,106.90184730278266
2,16,106.90184730278266
2,17,106.8946142534833
2,18,106.85517817744412
2,19,106.60411224136483
2,20,106.60411224136483
2,21,106.5965828562932
2,22,106.5965828562932
2,23,106.55314413082824
2,24,106.54239782855511
2,25,106.54239782855511
2,26,106.54239782855511
2,27,106.50845900076631
2,28,106.50845900076631
2,29,106.41550735225925
2,30,106.41550735225925
2,31,106.41550735225925
2,32,106.41550735225925
2,33,106.41550735225925
2,34,106.41550735225925
2,35,106.41550735225925
2,36,106.41550735225925
2,37,106.41550735225925
2,38,106.41550735225925
2,39,106.41550735225925
2,40,106.40984832173078
2,41,106.38003511434314
2,42,106.38003511434314
2,43,106.36729827589069
2,44,106.36729827589069
2,45,106.36064657641114
2,46,106.36064657641114
2,47,106.35577025828395
2,48,106.35577025828395
2,49,106.35195767906926
2,50,106.34286759101867
2,51,106.34286759101867
2,52,106.34286759101867
2,53,106.34286759101867
2,54,106.34286759101867
2,55,106.34286759101867
2,56,106.34286759101867
2,57,106.34146765758528
2,58,106.34146765758528
2,59,106.34146765758528
2,60,106.34146765758528
2,61,106.34146765758528
2,62,106.34146765758528
2,63,106.34146765758528
2,64,106.34146765758528
2,65,106.34135266260385
2,66,106.34135266260385
2,67,106.34135266260385
2,68,106.34135266260385
2,69,106.34130164469936
2,70,106.34130164469936
2,71,106.34130164469936
2,72,106.34112847385587
2,73,106.34108279652514
2,74,106.34108279652514
2,75,106.34108279652514
2,76,106.34108279652514
2,77,106.34108279652514
2,78,106.34108279652514
2,79,106.34108279652514
2,80,106.34107784068719
2,81,106.34107391768676
2,82,106.34106289140598
2,83,106.34105260628155
2,84,106.34105260628155
2,85,106.34105260628155
2,86,106.34105260628155
2,87,106.34105260628155
2,88,106.34105260628155
2,89,106.34105206849493
2,90,106.34105206849493
2,91,106.34105206849493
2,92,106.34105206849493
2,93,106.34105152167042
2,94,106.34105138955482
2,95,106.34105138955482
2,96,106.34105138955482
2,97,106.34105138955482
2,98,106.34105138955482
2,99,106.34105116521718
2,100,106.34105116521718
3,1,119.33011203764434
3,2,112.47360805567881
3,3,110.6947336057434
3,4,109.02979904979198
3,5,109.02979904979198
3,6,109.02979904979198
3,7,108.74432522581965
3,8,108.14309313458483
3,9,108.14309313458483
3,10,107.5915731020099
3,11,106.58771931193358
3,12,106.46365300219013
3,13,106.46365300219013
3,14,106.46365300219013
3,15,106.46365300219013
3,16,106.46365300219013
3,17,106.37827657224646
3,18,106.37827657224646
3,19,106.37827657224646
3,20,106.37827657224646
3,21,106.37827657224646
3,22,106.37827657224646
3,23,106.37827657224646
3,24,106.37827657224646
3,25,106.37827657224646
3,26,106.37827657224646
3,27,106.37827657224646
3,28,106.37827657224646
3,29,106.37827657224646
3,30,106.37827657224646
3,31,106.3767371114205
3,32,106.3767371114205
3,33,106.35775278677768
3,34,106.35775278677768
3,35,106.35775278677768
3,36,106.35775278677768
3,37,106.35588239847327
3,38,106.35588239847327
3,39,106.35140201327795
3,40,106.35140201327795
3,41,106.35140201327795
3,42,106.35140201327795
3,43,106.34554028993759
3,44,106.34554028993759
3,45,106.34554028993759
3,46,106.34554028993759
3,47,106.34554028993759
3,48,106.34221019806147
3,49,106.34221019806147
3,50,106.34195258736221
3,51,106.34195258736221
3,52,106.34159976551297
3,53,106.34159976551297
3,54,106.34159976551297
3,55,106.34159976551297
3,56,106.34159976551297
3,57,106.34155095540486
3,58,106.34109356186269
3,59,106.34109356186269
3,60,106.34109356186269
3,61,106.34109356186269
3,62,106.34109356186269
3,63,106.34109356186269
3,64,106.34109356186269
3,65,106.34109356186269
3,66,106.34109356186269
3,67,106.34106803328766
3,68,106.34106803328766
3,69,106.34106803328766
3,70,106.34106803328766
3,71,106.34106803328766
3,72,106.34106803328766
3,73,106.34106480272258
3,74,106.34106282609139
3,75,106.34105353256776
3,76,106.34105353256776
3,77,106.34105353256776
3,78,106.34105167655572
3,79,106.34105167655572
3,80,106.34105167655572
3,81,106.34105130580706
3,82,106.34105112185996
3,83,106.34105112185996
3,84,106.34105112185996
3,85,106.34105112185996
3,86,106.34105112185996
3,87,106.34105112185996
3,88,106.34105112185996
3,89,106.34105112185996
3,90,106.34105111867332
3,91,106.34105111867332
3,92,106.34105111867332
3,93,106.34105111776367
3,94,106.34105111588586
3,95,106.34105111588586
3,96,106.34105111588586
3,97,106.34105111588586
3,98,106.34105111588586
3,99,106.34105111446111
3,100,106.34105111232807
4,1,141.37338769589576
4,2,131.249087391524
4,3,122.27483248808383
4,4,122.27483248808383
4,5,122.27483248808383
4,6,112.96583686210568
4,7,112.96583686210568
4,8,110.81110783794142
4,9,110.81110783794142
4,10,110.81110783794142
4,11,108.43391839775514
4,12,107.89792738296485
4,13,107.89792738296485
4,14,107.89792738296485
4,15,107.89792738296485
4,16,107.89792738296485
4,17,107.62878057598887
4,18,107.61023329918955
4,19,106.68882347078558
4,20,106.68882347078558
4,21,106.68882347078558
4,22,106.68882347078558
4,23,106.68882347078558
4,24,106.68882347078558
4,25,106.65139758224973
4,26,106.50126074451143
4,27,106.50126074451143
4,28,106.48314091513669
4,29,106.48031867264145
4,30,106.48031867264145
4,31,106.3929745141509
4,32,106.3929745141509
4,33,106.3929745141509
4,34,106.3929745141509
4,35,106.3929745141509
4,36,106.3929745141509
4,37,106.3929745141509
4,38,106.3929745141509
4,39,106.3929745141509
4,40,106.3929745141509
4,41,106.37123735628701
4,42,106.37123735628701
4,43,106.37123735628701
4,44,106.37123735628701
4,45,106.36922897654132
4,46,106.3540722264677
4,47,106.3540722264677
4,48,106.34841351049123
4,49,106.34841351049123
4,50,106.34841351049123
4,51,106.34841351049123
4,52,106.34841351049123
4,53,106.34841351049123
4,54,106.34575502071458
4,55,106.34575502071458
4,56,106.34575502071458
4,57,106.34575502071458
4,58,106.34575502071458
4,59,106.34244415939926
4,60,106.34244415939926
4,61,106.34244415939926
4,62,106.34161108020893
4,63,106.34121564290187
4,64,106.34121564290187
4,65,106.34121564290187
4,66,106.34121564290187
4,67,106.34121564290187
4,68,106.341207850034
4,69,106.341207850034
4,70,106.34115290139087
4,71,106.34115290139087
4,72,106.34115290139087
4,73,106.34115290139087
4,74,106.34114327410967
4,75,106.34114327410967
4,76,106.34114327410967
4,77,106.34109784076493
4,78,106.3410751951092
4,79,106.3410751951092
4,80,106.34106650751282
4,81,106.34106650751282
4,82,106.34105373740262
4,83,106.34105373740262
4,84,106.34105373740262
4,85,106.34105373740262
4,86,106.34105373740262
4,87,106.34105169998831
4,88,106.34105169998831
4,89,106.34105169998831
4,90,106.34105169998831
4,91,106.34105169998831
4,92,106.34105169998831
4,93,106.34105169998831
4,94,106.34105169998831
4,95,106.34105169998831
4,96,106.34105169998831
4,97,106.34105169998831
4,98,106.34105145375912
4,99,106.34105145375912
4,100,106.34105145375912
5,1,170.06168663725563
5,2,140.60100959843948
5,3,130.58875504934952
5,4,130.58875504934952
5,5,113.09678241527212
5,6,113.09678241527212
5,7,113.09678241527212
5,8,112.00355325723757
5,9,110.88639814320109
5,10,109.35950481536248
5,11,109.35950481536248
5,12,108.52509115527516
5,13,108.52509115527516
5,14,108.52509115527516
5,15,108.52509115527516
5,16,108.27097666870205
5,17,107.75599778153817
5,18,107.75599778153817
5,19,107.75238140608326
5,20,106.91638478326988
5,21,106.91638478326988
5,22,106.7878892287043
5,23,106.7878892287043
5,24,106.7878892287043
5,25,106.63609742540149
5,26,106.55887538135444
5,27,106.40920649429029
5,28,106.40920649429029
5,29,106.40920649429029
5,30,106.40920649429029
5,31,106.3800502724858
5,32,106.3800502724858
5,33,106.3800502724858
5,34,106.3800502724858
5,35,106.3800502724858
5,36,106.3800502724858
5,37,106.37661795806623
5,38,106.37661795806623
5,39,106.37661795806623
5,40,106.37661795806623
5,41,106.37661795806623
5,42,106.37661795806623
5,43,106.37661795806623
5,44,106.37661795806623
5,45,106.37661795806623
5,46,106.37661795806623
5,47,106.36810414723152
5,48,106.3530391715889
5,49,106.3530391715889
5,50,106.3530391715889
5,51,106.34887565692478
5,52,106.34887565692478
5,53,106.34887565692478
5,54,106.34887565692478
5,55,106.34887565692478
5,56,106.34413956220205
5,57,106.34413956220205
5,58,106.34413956220205
5,59,106.34413956220205
5,60,106.34413956220205
5,61,106.34413956220205
5,62,106.34413956220205
5,63,106.34413956220205
5,64,106.34371496071219
5,65,106.34371496071219
5,66,106.34363377360557
5,67,106.34363377360557
5,68,106.34123092826499
5,69,106.34123092826499
5,70,106.34123092826499
5,71,106.34123092826499
5,72,106.34123092826499
5,73,106.34123092826499
5,74,106.34123092826499
5,75,106.34123092826499
5,76,106.34123092826499
5,77,106.34123092826499
5,78,106.34123092826499
5,79,106.34123092826499
5,80,106.34123092826499
5,81,106.34123092826499
5,82,106.34123092826499
5,83,106.34123092826499
5,84,106.34123092826499
5,85,106.34123092826499
5,86,106.34123092826499
5,87,106.34123092826499
5,88,106.34123092826499
5,89,106.34115782244785
5,90,106.34109004237065
5,91,106.34109004237065
5,92,106.34109004237065
5,93,106.34109004237065
5,94,106.34109004237065
5,95,106.34109004237065
5,96,106.34109004237065
5,97,106.34109004237065
5,98,106.34109004237065
5,99,106.34109004237065
5,100,106.34106479029963
