blade,k,P_catalog,P_kickstart,omega_catalog,omega_kickstart
0.85,2.0,4.9212186149089225,167.47438958286824,126.62888178218948,391.467830560684
0.85,14.0,18.112897751294163,107.21363666314673,82.06710799326358,164.5592375543385
0.8,6.0,15.321824340851972,134.32686926988652,123.26373082960686,291.72008205618516
0.8,4.0,0.18797110753374244,131.21164675177283,17.956540348369153,410.8279253731619
