v_wind,device,T_mean_N,cv_pct,cv_rel_to_single
8.0,SingleKite,1089.505568176773,30.150000000000134,1.0
8.0,Stack×3,1086.0130405529833,30.2469598926766,1.003215916838357
8.0,Stack×5,1086.0130405529835,30.24695989267628,1.0032159168383465
8.0,RotaryLifter,376.3366472664682,2.039552262469207,0.06764684120959197
10.0,SingleKite,1702.352450276208,30.14999999999978,1.0
10.0,Stack×3,1698.8599226524182,30.211982572225544,1.0020558067073222
10.0,Stack×5,1698.8599226524184,30.211982572225537,1.002055806707322
10.0,RotaryLifter,390.6567640646512,3.069983402742798,0.10182366178251477
11.0,SingleKite,2059.846464834212,30.149999999999714,1.0
11.0,Stack×3,2056.3539372104215,30.20120699600976,1.0016984078278621
11.0,Stack×5,2056.353937210422,30.201206996009418,1.0016984078278508
11.0,RotaryLifter,399.01016553025784,3.636911942098875,0.12062726176115786
13.0,SingleKite,2876.975640966791,30.150000000000198,1.0
13.0,Stack×3,2873.4831133430007,30.186645319880107,1.0012154334951877
13.0,Stack×5,2873.4831133430016,30.186645319879858,1.0012154334951795
13.0,RotaryLifter,418.1036545945017,4.847681930186817,0.1607854703212864
