device,t_sim,hub_x,hub_y,hub_z,hub_r_xy,elev_deg,omega_hub,omega_gnd
SingleKite,1.02,25.97457431163152,-1.493929528893183e-12,15.002038061693733,0.0056508274124702496,30.009281184987884,-1.0405248357224121e-7,-1.9872256401111353e-7
SingleKite,1.04,25.97447441270115,-1.3831764323184511e-12,15.002094289999787,0.0057507263428426825,30.009469627998325,-1.1543970990267681e-7,-2.1721425327907228e-7
SingleKite,1.06,25.97437477693106,-1.2243998104801318e-12,15.002151982351462,0.005850362112930441,30.009660241967982,-1.2786543401481564e-7,-2.364399000679464e-7
SingleKite,1.08,25.9742753702359,-1.0095141253350473e-12,15.002211298432767,0.005949768808090283,30.009853323583446,-1.4139886919145436e-7,-2.56618335335446e-7
SingleKite,1.1,25.97417624096236,-7.296217763356176e-13,15.00227146484233,0.006048898081630227,30.010047547389597,-1.5614144928138732e-7,-2.7797153606389297e-7
SingleKite,1.12,25.974077409674354,-3.749317585032497e-13,15.00233218732155,0.006147729369637034,30.010242407009102,-1.7218962416060546e-7,-3.0068278372710626e-7
SingleKite,1.1400000000000001,25.973978895799124,6.527974196503429e-14,15.002393223574195,0.006246243244866889,30.010437483099555,-1.896423840371788e-7,-3.248760931790968e-7
SingleKite,1.16,25.973880707515452,6.027541627306999e-13,15.002454477093744,0.006344431528539474,30.010632608211235,-2.0859651373656247e-7,-3.5062363807717954e-7
SingleKite,1.18,25.973782836332944,1.2503218711128026e-12,15.002516074820246,0.0064423027110471764,30.01082800041619,-2.291415980822509e-7,-3.7798215753977475e-7
SingleKite,1.2,25.973685239312815,2.0222321495118374e-12,15.002578524728209,0.006539899731176746,30.01102454095618,-2.513524599610333e-7,-4.0704518680517103e-7
SingleKite,1.22,25.97358794412777,2.9341048818489765e-12,15.002641344766328,0.006637194916219613,30.011221406039237,-2.753581999180406e-7,-4.3797541285866333e-7
SingleKite,1.24,25.97349098989816,4.002547323330674e-12,15.002704066532795,0.006734149145831481,30.01141778351316,-3.0129792856758495e-7,-4.709969891689199e-7
SingleKite,1.26,25.973394329895402,5.245757090600399e-12,15.00276733660662,0.006830809148588912,30.011614787502165,-3.292513661741242e-7,-5.063911644469011e-7
SingleKite,1.28,25.973298002782233,6.683675762686478e-12,15.002830506222395,0.006927136261758449,30.011811307957316,-3.5938688797505893e-7,-5.444808768663664e-7
SingleKite,1.3,25.97320223050636,8.335670604809954e-12,15.00289085401623,0.007022908537631878,30.0120026314937,-3.920376462062626e-7,-5.855727820648787e-7
SingleKite,1.32,25.97310696505873,1.0221260998116656e-11,15.002949489221317,0.007118173985261933,30.01219063871851,-4.2725660348628986e-7,-6.299263479197202e-7
SingleKite,1.34,25.973012108182843,1.2362473600090229e-11,15.003007688975453,0.0072130308611484395,30.01237753597352,-4.6505828385689456e-7,-6.778028781509504e-7
SingleKite,1.36,25.972917656090114,1.478270087353968e-11,15.003065416325123,0.007307482953876843,30.012563265746532,-5.055603468084934e-7,-7.294883422186784e-7
SingleKite,1.38,25.97282357834701,1.750665962809683e-11,15.003123053588254,0.0074015606969801695,30.012748489486988,-5.488449824984179e-7,-7.853145091667946e-7
SingleKite,1.4,25.972729766344802,2.0562103823506574e-11,15.00318187588315,0.007495372699189318,30.012935420090784,-5.948964653181797e-7,-8.456864069084991e-7
SingleKite,1.42,25.97263623538327,2.3979354612970324e-11,15.00324140772166,0.007588903660721513,30.013123256443695,-6.439024806113592e-7,-9.110619523948465e-7
SingleKite,1.44,25.97254301996954,2.7789657995067808e-11,15.003301153896997,0.007682119074452487,30.013311146463185,-6.960726288374574e-7,-9.8187843189562e-7
SingleKite,1.46,25.972450042319924,3.20272217224022e-11,15.00336209495106,0.0077750967240675095,30.01350078634513,-7.514166117935966e-7,-1.0584956398036052e-6
