v_wind,device,T_line_N,elevation,F_vertical,lift_margin
6.0,SingleKite,612.8468820994348,81.46923439005187,606.0665604501226,2.4749999999999996
6.0,Stack×3,609.3543544756451,81.46923439005187,602.6126729195602,2.460895325371865
6.0,Stack×5,609.3543544756451,81.46923439005187,602.6126729195602,2.460895325371865
6.0,RotaryLifter,1449.3675727990833,78.10652309595957,1418.2532092142092,5.79173464082588
8.0,SingleKite,1089.505568176773,81.46923439005187,1077.4516630224402,4.4
8.0,Stack×3,1086.0130405529833,81.46923439005187,1073.9977754918777,4.385895325371864
8.0,Stack×5,1086.0130405529835,81.46923439005187,1073.997775491878,4.385895325371865
8.0,RotaryLifter,1493.5705289780797,78.10652309595957,1461.5072364424748,5.968371539107233
10.0,SingleKite,1702.352450276208,81.46923439005187,1683.5182234725628,6.875
10.0,Stack×3,1698.8599226524182,81.46923439005187,1680.0643359420005,6.860895325371866
10.0,Stack×5,1698.8599226524184,81.46923439005187,1680.0643359420008,6.8608953253718665
10.0,RotaryLifter,1550.4029012082174,78.10652309595957,1517.1195571645299,6.195476122611826
11.0,SingleKite,2059.846464834212,81.46923439005187,2037.0570504018015,8.318750000000001
11.0,Stack×3,2056.3539372104215,81.46923439005187,2033.6031628712383,8.304645325371864
11.0,Stack×5,2056.353937210422,81.46923439005187,2033.6031628712387,8.304645325371865
11.0,RotaryLifter,1583.5551183424639,78.10652309595957,1549.5600775857283,6.327953796322837
13.0,SingleKite,2876.975640966791,81.46923439005187,2845.145797668631,11.618749999999999
13.0,Stack×3,2873.4831133430007,81.46923439005187,2841.6919101380677,11.60464532537186
13.0,Stack×5,2873.4831133430016,81.46923439005187,2841.6919101380686,11.604645325371864
13.0,RotaryLifter,1659.3316146493141,78.10652309595957,1623.7098385484685,6.630759907662295
16.0,SingleKite,4358.022272707092,81.46923439005187,4309.806652089761,17.6
16.0,Stack×3,4354.529745083301,81.46923439005187,4306.352764559198,17.58589532537186
16.0,Stack×5,4354.529745083302,81.46923439005187,4306.3527645591985,17.585895325371865
16.0,RotaryLifter,1796.6765142054799,78.10652309595957,1758.1062802934348,7.1795959844650605
