device,hub_z_mean,hub_z_std,hub_r_std,elev_mean,elev_std
SingleKite,15.004210692440589,0.0020613129851952943,0.0032581065307575713,30.018846586707205,0.006512132559963519
Stack×3,15.00419477464759,0.002056649987623782,0.0032563137258776326,30.018815772328594,0.006502667717895985
RotaryLifter,14.995621886593408,0.0008040437909428554,0.0021931282337771265,30.00211234198138,0.0007744383391492387
NoLift,14.99354006407424,0.00148713253777931,0.001957398549987879,29.998170724417225,0.0005957557806018494
