k_mult,k_mppt,v_wind,twist_mean,twist_std,twist_lo_mean,twist_mid_mean,twist_hi_mean,omega_hub_mean,delta_omega_mean,P_kw_mean,T_max_mean,T_mean_mean,tau_over_T
0.5,5.5,8.0,180.97358659399106,1.7546388814542746,91.35340890988,53.52498732123209,36.095190362878995,7.99962774469244,0.09872213859303912,2.712650050558885,1008.7280753482735,348.20291429863545,7.790420634002765
0.5,5.5,10.0,198.4399898366101,1.5123966898984733,99.95148609458201,58.71895053486469,39.76955320716338,9.950984261143821,0.15041596486439113,5.177458570237779,1283.2627895538947,497.17135209858145,10.4138273187939
0.5,5.5,11.0,205.0640269302788,1.3885857993532258,103.215913925862,60.683659798168975,41.16445320624788,10.926407364263872,0.1807807121436752,6.824298828275508,1436.9905329138562,582.517763032841,11.715174403055906
0.5,5.5,13.0,215.15043106586327,1.139218397600982,108.17570725746646,63.67226898716949,43.30245482122739,12.876638955574172,0.25072585785096585,11.070089264002855,1782.7211998712758,776.1489480066554,14.262839784334513
0.75,8.25,8.0,208.60042561969695,2.2928568435234653,105.24122222655949,61.691225971134315,41.667977422003204,7.367329580851939,0.12710493477317056,3.1311975742043683,1092.707927519609,383.68196631715955,8.160911831363341
0.75,8.25,10.0,232.91596389325818,2.1415438173338233,117.54287399620668,68.84644068312825,46.52664921392333,9.170911251836364,0.19485084990803922,5.96638674306562,1372.6638667786387,537.9010250709695,11.091974840138665
0.75,8.25,11.0,242.83745364592687,2.0592938517114705,122.6004022580002,71.75344546306307,48.48360592486366,10.073061090431878,0.23476084809103742,7.8562313737911404,1526.6033220821407,624.8075367200066,12.5738392921207
0.75,8.25,13.0,259.2182004720293,1.8789673194807637,130.99753903337066,76.53706909185422,51.68359234680439,11.877887009806459,0.32699158699956576,12.71454881601446,1869.404123739859,818.8835462430881,15.526685612871798
1.0,11.0,8.0,226.34395098569868,2.6443516043502946,114.13047790949234,66.92480691006556,45.288666166140786,6.84842505802787,0.147800877426941,3.309320676987906,1145.2329347849036,407.0917612526312,8.129169006951887
1.0,11.0,10.0,255.25161016069205,2.5607287626509403,128.88974894056742,75.39448573155457,50.96737548857011,8.527529235348299,0.2275504273065116,6.28961078781021,1427.800243833237,565.2312509648269,11.127496599356196
1.0,11.0,11.0,267.42701223275475,2.5126504111103634,135.16270383785343,78.94399929271839,53.320309102182975,9.367890258378322,0.27467658361918024,8.270751348346927,1582.7609932580149,653.5963104298387,12.654217136915436
1.0,11.0,13.0,288.2229326480826,2.3980147865831185,145.95660295179738,84.98099521584079,57.28533448044438,11.049576954532428,0.3839205276600925,13.34613460831832,1923.3566799477867,849.214512628182,15.71585620949302
1.25,13.75,8.0,238.51707464071882,2.8958068432477932,120.21033632085495,70.51089101431428,47.79584730554963,6.401889222113819,0.16278504710156136,3.3394101566660503,1177.3485490126463,421.7607328218783,7.9177770097650315
1.25,13.75,10.0,270.72442050096583,2.8643203080428097,136.71937479300746,79.92503913748985,54.08000657046855,7.97179789116058,0.2513802478627486,6.327398847492559,1460.2445743538785,581.9148610213771,10.873406726414153
1.25,13.75,11.0,284.53746811176046,2.8432457011870285,143.8682926205649,83.94073648178083,56.72843900941469,8.757641869418883,0.30386359061358825,8.307212959935741,1614.4774351437422,670.9190089357573,12.381839238421767
1.25,13.75,13.0,308.5836904019247,2.78289985611074,156.4148100934565,90.89776605140561,61.27111425706263,10.330413749518815,0.4258537299374164,13.360056931330277,1952.1951541422104,866.8730673318198,15.41177827135681
1.5,16.5,8.0,246.9804891420987,3.0822230428367594,124.41933144207138,73.00299741447819,49.55816028554908,6.001810381982099,0.17300516262877877,3.2675552046199603,1194.9303175809557,429.3750399236111,7.610019643089553
1.5,16.5,10.0,281.6637922015395,3.092459333208914,142.2271462143955,83.12689612522013,56.30974986192379,7.4734358252997675,0.26779095152052756,6.17309026377467,1475.213755740747,589.7310417492378,10.467633752003916
1.5,16.5,11.0,296.7187116046629,3.0935030647048833,150.03377394250873,87.49629694010474,59.18864072204932,8.210206733694228,0.3240715608989367,8.092387578520654,1627.8474142492742,678.5189336807362,11.926544250798036
1.5,16.5,13.0,323.2557726271945,3.0785413096778305,163.91180461137907,95.15794908313902,64.18601893267636,9.684744544838122,0.45519823174562557,12.972540898884157,1961.3788366693725,873.2384873915703,14.85566631238901
2.5,27.5,8.0,258.75543036234944,3.4753004443009816,130.1007054177038,76.48401282796983,52.170712116675794,4.677350749813865,0.17964552610353351,2.502109174939486,1174.1111327147592,413.5506836592211,6.05030010322123
2.5,27.5,10.0,298.4435767948672,3.5886963206352576,150.43223144872283,88.0601598529616,59.95118549318277,5.813569940131615,0.2784734274273595,4.663462072063972,1427.6524724138037,560.1561978099177,8.32528561686039
2.5,27.5,11.0,316.1034367987302,3.647168466164424,159.56851693487593,93.18000777714767,63.354912086706605,6.382502799459637,0.3374673032247495,6.0747632952507145,1563.537492648426,640.6091282983213,9.48279008887604
2.5,27.5,13.0,348.03231495243773,3.753661429113664,176.23293311481862,102.3825667082173,69.41681512940167,7.519344637857685,0.47550820937339217,9.610822057916687,1860.6186781758563,815.1071243265969,11.790868383546613
4.0,44.0,8.0,215.76739684559496,3.2624355604696103,108.40484441673513,63.8380877568222,43.524464672037645,2.710474126451579,0.0998522702184402,0.7829023237359158,891.3368061716417,262.03390768017573,2.9876319273053995
4.0,44.0,10.0,248.27926054642288,3.341649566686224,124.68742794369705,73.43122228542308,50.1606103173027,3.2823310343825245,0.1448132420885713,1.3590148636257018,1039.292235845265,337.5609292428631,4.025863953570269
