t,v_wind,twist_deg,omega_hub,omega_gnd,delta_omega,P_kw,T_max_N
15.0,7.7,-0.013409521911306923,4.091090141491924e-5,8.567503386447874e-5,-4.476413244955949e-5,6.917601489027697e-15,0.5344542727335098
15.5,7.723333333333334,-0.013917647006363179,5.1907376007600594e-5,3.8827637594418234e-5,1.307973841318236e-5,6.438957926732842e-16,0.5675410736610679
16.0,7.746666666666667,-0.012471231682034274,6.524234801201391e-5,-2.5365945850737775e-5,9.060829386275169e-5,1.7953365324066815e-16,0.6001723045345981
16.5,7.77,-0.00858788163429763,8.142777538662557e-5,-0.00010111488571002038,0.00018254266109664596,1.1372029329256065e-14,0.6319766196858676
17.0,7.793333333333333,-0.001939684718928971,0.00010112542250480537,-0.00017985599659452514,0.0002809814190993305,6.399815470368403e-14,0.6630230710634328
17.5,7.816666666666666,0.007218675764989288,0.00012517264575684085,-0.00022837743925599989,0.00035355008501284074,1.3102443093882943e-13,0.6937858651351587
18.0,7.84,0.018257431472371126,0.00015464677350427204,-0.00026543405592852515,0.00042008082943279716,2.057134155575034e-13,0.7245318954122046
18.5,7.863333333333333,0.031398610577371366,0.0001909020687140338,-0.00030828357389073335,0.0004991856426047671,3.222877810481002e-13,0.7546604673873236
19.0,7.886666666666667,0.046964897931655536,0.00023561201417997198,-0.0003530177242199516,0.0005886297383999236,4.839296343712613e-13,0.7842688579047579
19.5,7.91,0.06509185737739237,0.0002908633736099672,-0.00038659941810507254,0.0006774627917150398,6.355888548582456e-13,0.8148002206707043
20.0,7.933333333333334,0.0860192615504243,0.0003593021790402507,-0.0004289256975161544,0.0007882278765564051,8.680382919411189e-13,0.8462780396258356
20.5,7.956666666666667,0.1105085076277144,0.00044426652356404587,-0.00048532426314554906,0.0009295907867095949,1.2574441265937693e-12,0.873353768059419
21.0,7.98,0.13988086766984614,0.0005499926092516931,-0.0005794102542874984,0.0011294028635391914,2.139691769532232e-12,0.89750863234333
21.5,8.003333333333334,0.17561326789674253,0.0006818190118888585,-0.0006896988423860853,0.0013715178542749438,3.608869487225886e-12,0.9219785918357871
22.0,8.026666666666667,0.21879989712147258,0.0008464165448250883,-0.0008026176201804597,0.001649034165005548,5.687465226599518e-12,0.9483909437950018
22.5,8.05,0.2703507894664114,0.0010522110374097415,-0.0009020912295205739,0.0019543022669303153,8.075028550939855e-12,0.9788252342278754
23.0,8.073333333333334,0.3310006406785841,0.0013101889194301155,-0.0009732776233486138,0.002283466542778729,1.0141516486509602e-11,1.0119824252944967
23.5,8.096666666666668,0.4012526783530173,0.0016342201808558687,-0.0009875193155621845,0.002621739496418053,1.0593256355592335e-11,1.0476280005996421
24.0,8.120000000000001,0.481254435047279,0.002041698201377536,-0.0009236311433743946,0.0029653293447519306,8.667391021208802e-12,1.086619760819047
24.5,8.143333333333333,0.5710534421700815,0.0025545464568913242,-0.0007352971977325649,0.003289843654623889,4.3730195379352945e-12,1.1307015973358119
25.0,8.166666666666666,0.6681962000392571,0.0032004781519099725,-0.0002814763611474105,0.003481954513057383,2.4531181685218593e-13,1.180024927206228
25.5,8.19,0.7708999611458854,0.004014647208268241,0.0003294114922115254,0.0036852357160567155,3.931958489765201e-13,1.2328787209942913
26.0,8.213333333333333,0.8792203724710601,0.005041620178500857,0.0011648173862095496,0.0038768027922913067,1.7384660672931498e-11,1.2939498190847563
26.5,8.236666666666666,0.9932167309231018,0.00633975850536436,0.002247600515424074,0.004092157989940286,1.248964384523909e-10,1.3616376219518758
27.0,8.26,1.1144522536866166,0.007983558550348166,0.003585334964749435,0.004398223585598731,5.069695725461828e-10,1.4290967739547855
27.5,8.283333333333333,1.2470224358255855,0.01006413339846104,0.005170240859127452,0.004893892539333588,1.5202850035823197e-9,1.510734563848402
28.0,8.306666666666667,1.3969263273256372,0.012696299957959472,0.00708130729049025,0.0056149926674692215,3.90600691359631e-9,1.6208337307311773
28.5,8.33,1.5713423765371337,0.01602514276574054,0.009393765466272162,0.006631377299468378,9.118256902419242e-9,1.735709772667679
29.0,8.353333333333333,1.7810874482937262,0.02023140977383337,0.012132163685516475,0.008099246088316896,1.9642984254405552e-8,1.9191739585106693
29.5,8.376666666666667,2.040899098132776,0.025540773600872167,0.015381163902589345,0.010159609698282822,4.0027667662674786e-8,2.2386260844668513
30.0,8.4,2.3704820913150253,0.03223200069817863,0.019227544986549102,0.013004455711629528,7.81923370256319e-8,2.7456804829580235
30.5,8.423333333333334,2.796147312890334,0.040638705560553795,0.023674612489981338,0.016964093070572457,1.45962509856952e-7,3.427807653512258
31.0,8.446666666666667,3.3572467171997076,0.0511985601697968,0.028879423001665676,0.022319137168131123,2.64946520925306e-7,4.351121435206529
31.5,8.47,4.076387408110522,0.06447160394977508,0.036535012472184956,0.027936591477590124,5.364391491166664e-7,5.4248898596381245
32.0,8.493333333333334,4.962071325053877,0.08115883171102724,0.04710064342381689,0.03405818828721035,1.1494053251118519e-6,6.565551698692526
32.5,8.516666666666666,6.0379020866930455,0.10214614615322404,0.060827024576302735,0.0413191215769213,2.475611001828194e-6,7.78886497053597
33.0,8.54,7.351184589347343,0.12854547181334622,0.07762618692103924,0.050919284892306974,5.145379906948544e-6,9.17222570172312
33.5,8.563333333333333,8.987447480567367,0.16174766469689736,0.09774481442312836,0.064002850273769,1.027244593899802e-5,10.884914464604893
34.0,8.586666666666666,11.059972577488036,0.20349081862828386,0.12189950635111471,0.08159131227716915,1.9925008980793177e-5,13.095303984634711
34.5,8.61,13.675484149091039,0.25594749757618335,0.155518864513763,0.10042863306242034,4.137537235696443e-5,15.969095705063047
35.0,8.633333333333333,16.858096065906484,0.3218107935523525,0.19910625206444374,0.12270454148790874,8.682551685548243e-5,20.11207348509113
35.5,8.656666666666666,20.727898305767958,0.4043913815807632,0.2572233896357981,0.1471679919449651,0.00018720785019717923,26.01758791599368
36.0,8.68,23.352808941387476,0.5076114082875359,0.45408016239805055,0.05353124588948538,0.0010298886511237563,35.281229326130436
36.5,8.703333333333333,24.557468530795507,0.6206084488039797,0.5794182904774475,0.04119015832653217,0.002139780800790414,40.22668124622494
37.0,8.726666666666667,25.819030320998248,0.7326347878054648,0.6820042383165338,0.050630549488930976,0.0034894253027146853,49.94166491973082
37.5,8.75,27.237406814413042,0.8426285897644226,0.7985530398254888,0.04407554993893381,0.0056014954413048275,67.58297485555751
38.0,8.773333333333333,28.32972561499371,0.9504068625699131,0.908054425908869,0.04235243666104416,0.008236227303444003,82.06345402680667
38.5,8.796666666666667,29.59991915433082,1.0557196337494157,1.0073816726670215,0.04833796108239419,0.01124539776245369,104.59228163392768
39.0,8.82,30.765640531346143,1.157978915503553,1.1159972040450525,0.04198171145850038,0.015289102942405352,123.61762147577056
39.5,8.843333333333334,32.02632569604507,1.257835942958378,1.2053598110114983,0.052476131946879834,0.019263837524917973,145.04876753297037
40.0,8.866666666666667,33.231859957819985,1.3541941392167218,1.3098810565447323,0.04431308267198952,0.024722265689081584,165.2495241394202
40.5,8.89,34.59062556912096,1.4493613971737558,1.3918398297154972,0.05752156745825854,0.029659270592013853,186.4380693298455
41.0,8.913333333333334,35.92729920779463,1.550997007412363,1.4963464486998113,0.054650558712551645,0.03685438402713639,210.77052729110096
41.5,8.936666666666667,37.52575055997064,1.6625567011819564,1.6000171401792815,0.06253956100267488,0.045057448017857646,240.86785920947042
42.0,8.96,39.12188435134695,1.785245269794492,1.7173419480481156,0.06790332174637648,0.05571383064693802,270.543777767153
42.5,8.983333333333334,40.808069597712155,1.922085719746278,1.8507572744697673,0.07132844527651061,0.06973343848659387,306.4467130578255
43.0,9.006666666666668,42.642135599873086,2.074803251513423,1.9979459155268966,0.07685733598652655,0.08772913922557589,346.57425160662757
43.5,9.03,44.61076979719925,2.2442766613306864,2.1599921353981397,0.08428452593254665,0.11085344513255632,391.7428096033272
44.0,9.053333333333333,46.73172742864496,2.433024271342128,2.340378339650517,0.09264593169161106,0.14101031906141753,443.0375699399496
44.5,9.076666666666666,49.0279630541671,2.6451882636006583,2.5429157051538027,0.10227255844685557,0.18087917864590944,503.21806301679413
45.0,9.1,51.51360101606335,2.8833221726451614,2.770736569837586,0.11258560280757557,0.23397981627885642,574.3455700425542
45.5,9.123333333333333,54.186472257966834,3.1469419140492723,3.02362797616267,0.12331393788660217,0.30407292386642853,655.1971870522829
46.0,9.146666666666667,57.02469786163215,3.4317164480727596,3.2979740148916976,0.13374243318106194,0.3945793686327999,737.8136889952019
46.5,9.17,59.984079934159446,3.729439848914142,3.5864441983801782,0.14299565053396357,0.5074402580213132,833.4046342742366
47.0,9.193333333333333,63.00281217296658,4.02897322541466,3.8783837342067367,0.1505894912079233,0.6417191733463656,929.9951951690049
47.5,9.216666666666667,66.01294760228835,4.318373043129364,4.1621816226112704,0.15619142051809387,0.7931508010078825,1029.581758297001
48.0,9.24,68.95400037401662,4.587523252317739,4.427530061980672,0.15999319033706705,0.9547226832210897,1108.9502127048756
48.5,9.263333333333334,71.7814306282813,4.829544018134942,4.66725658323339,0.16228743490155217,1.118349932893042,1176.08203338911
49.0,9.286666666666667,74.46835740123058,5.040883058897722,4.8774593620574285,0.1634236968402938,1.2763614069559803,1237.2552546645504
49.5,9.31,77.00351400660792,5.220854573972371,5.0571398447061355,0.16371472926623554,1.4226811427418595,1292.1163328839439
50.0,9.333333333333332,79.3869216731667,5.370811513339167,5.207408031389826,0.1634034819493415,1.5533077562659914,1342.4340706217106
50.5,9.356666666666666,81.6265756005169,5.493625390622362,5.330891138423019,0.16273425219934268,1.6664493833443121,1384.1187723461207
51.0,9.38,83.7345419657567,5.592779883158178,5.430979849311424,0.16180003384675423,1.7620866440972638,1411.8793894626951
51.5,9.403333333333332,85.72503331333348,5.67210353325711,5.51137103844613,0.16073249481098006,1.8414996233454768,1419.5791912860154
52.0,9.426666666666666,87.61080186569384,5.734907477743597,5.575313579618232,0.15959389812536529,1.9063409724832243,1401.9610979561523
52.5,9.45,89.40494159736721,5.7844629326994195,5.626064679163974,0.15839825353544512,1.958875557069654,1425.2001998928245
53.0,9.473333333333333,91.11715341437055,5.823108293831787,5.6659443988499225,0.15716389498186434,2.0008273270110775,1432.5412839560825
53.5,9.496666666666666,92.75733503360436,5.853229350973819,5.697282510679126,0.15594684029469263,2.0342107783252286,1408.1988606863167
54.0,9.52,94.33363492091841,5.876692404714468,5.721945832867137,0.15474657184733154,2.0607433725331705,1406.186367336668
54.5,9.543333333333333,95.85273215855355,5.89495546489168,5.741386311260333,0.15356915363134682,2.081819123820894,1413.313239149053
55.0,9.566666666666666,97.31970602329332,5.909017191576986,5.756610880273602,0.152406311303384,2.0984243045209223,1383.3945327481797
55.5,9.59,98.73924864034117,5.919796009300871,5.768526486098157,0.15126952320271414,2.1114818772088,1380.1076893761856
56.0,9.613333333333333,100.11544375396764,5.928047477416128,5.777878518629632,0.15016895878649628,2.12176804551423,1383.5310616523545
56.5,9.636666666666667,101.45177490461121,5.9343546547883355,5.785244215774808,0.14911043901352716,2.1298929476032447,1346.380580990805
