lin_damp,rate_hz,dt_label,dt,n_samples,P_mean,P_max,P_range,FoS_min,FoS_mean,n_betz,n_fos_dips,alive,converged,pmax_ratio,fmin_ratio
0.5,17329,DT,4.0e-5,301,7.082848365976795,23.248026747714498,21.21610963794182,0.07778734570852266,0.15160046018089135,0,142,true,false,0.7463070353945319,1.0041884814754847
0.5,17329,DT/2,2.0e-5,301,10.025351891716099,31.15075383876628,31.15075383876628,0.07746289381275052,0.3426374182437261,0,58,true,false,0.7463070353945319,1.0041884814754847
0.8,5579,DT,4.0e-5,301,10.38983407521232,49.09597518877303,48.16459316677056,0.08899742550985634,0.18764976549014725,5,75,true,true,1.121500289130264,1.0065815674851728
0.8,5579,DT/2,2.0e-5,301,13.307627892936608,43.777050852878084,42.09032785699729,0.08841551284532864,0.160525994644671,8,133,true,true,1.121500289130264,1.0065815674851728
0.9,2634,DT,4.0e-5,301,3.8788483952377777,11.988271305327899,11.988271305327899,0.15002004255650767,0.4181573865720855,0,0,true,false,0.8466419792874932,1.1351861556514995
0.9,2634,DT/2,2.0e-5,301,7.433850305019515,14.159788433142477,13.783550244127337,0.1321545737759716,0.1942351984443099,0,62,true,false,0.8466419792874932,1.1351861556514995
0.95,1282,DT,4.0e-5,301,0.6952135616221066,3.527145821634991,3.527145821634991,0.1995272170342638,0.49266310355263787,0,0,true,false,0.6516609805683994,1.1968108995006486
0.95,1282,DT/2,2.0e-5,301,1.1905406507918115,5.412547209069511,5.412547209069511,0.16671574190836125,0.43794894265492534,0,0,true,false,0.6516609805683994,1.1968108995006486
0.98,505,DT,4.0e-5,301,0.0013339512441245284,0.04614480929773113,0.04614480929773113,0.22670353758156456,1.3465884369578411,0,0,false,false,0.02347331991184051,1.5018353554403603
0.98,505,DT/2,2.0e-5,301,0.383204986379735,1.9658407703315361,1.9658407703315361,0.15095099257074804,0.9025323115280661,0,0,false,false,0.02347331991184051,1.5018353554403603
0.99,251,DT,4.0e-5,301,0.017161817578758787,0.16114415304744695,0.16114415304744695,0.28090325593312854,1.337242417687723,0,0,false,false,0.2558317980403622,1.3283041628719188
0.99,251,DT/2,2.0e-5,301,0.10061726038934345,0.6298832056131798,0.6298832056131798,0.21147510019526644,1.1925758328692195,0,0,false,false,0.2558317980403622,1.3283041628719188
0.995,125,DT,4.0e-5,301,0.3231123368528063,0.897869943081002,0.897869943081002,0.1720986535126952,0.8282037407022096,0,0,false,false,1.1920915987985652,0.9331453368521784
0.995,125,DT/2,2.0e-5,301,0.16875792724749053,0.7531887180363566,0.7531887180363566,0.18442856296452537,1.0804938446132497,0,0,false,false,1.1920915987985652,0.9331453368521784
0.999,25,DT,4.0e-5,301,0.33636572357555766,1.0068767485439787,1.0068767485439787,0.1563324129675755,0.7913186737956647,0,0,false,false,1.2418842184539505,0.8286808936581492
0.999,25,DT/2,2.0e-5,301,0.2602427741881059,0.8107653946979552,0.8107653946979552,0.18865212672812795,0.922686765214936,0,0,false,false,1.2418842184539505,0.8286808936581492
