protocol,ts,P_kW,FoS,omega
full,29.99999999954094,33.99601503162112,0.2788920801710003,6.986209219635008
full,30.999999999503082,0.0,0.3849882431159835,6.976635325727792
full,31.999999999465224,46.94339602237521,0.2710422000377642,7.779596725468867
full,32.99999999942737,0.0,0.1979989357873201,8.926536605521095
full,33.99999999938951,0.0,0.228213305114641,1.9416244498198993
full,34.99999999935165,0.0,0.17463630126062055,15.3890967696911
full,35.99999999931379,1894.155749625552,0.02707405806184955,30.30649199400883
full,36.999999999275936,0.0,0.22185089509195363,11.808870524085288
full,37.99999999923808,0.0,0.4364289544313018,4.190943054693015
full,38.99999999920022,24.17647099417792,0.18109822587765903,6.235862817628987
full,39.99999999916236,0.0,1.4880764383721963,0.22755347300866058
full,40.999999999124505,0.49859986215465957,0.6538029025783583,1.710079502233805
full,41.99999999908665,0.0,2.0991212487912345,1.2140024667876272
full,42.99999999904879,0.02899505188925213,0.6563513887527448,0.662532031669982
full,43.99999999901093,0.0,2.5971860472043087,1.2030719237078122
full,44.999999998973074,0.004890343494370789,0.4487019153067892,0.36605418095129527
full,45.999999998935216,0.0,1.2142531359975517,0.2561046820192075
full,46.99999999889736,0.0,0.5170998944625433,0.2733651989772064
full,47.9999999988595,0.0026054548685772137,1.0842304736337773,0.2967518498835914
full,48.99999999882164,0.0,0.8871601049008871,0.01943443409432588
full,49.999999998783785,0.007369743361862595,0.6519765381552541,0.4196781622904966
full,50.99999999874593,0.21462671287097967,0.44160845727222153,1.2911999722937977
full,51.99999999870807,0.8899300876706915,0.3335550146778685,2.0743604014751047
full,52.99999999867021,2.728624156100545,0.30025548424701504,3.0135621776597312
full,53.999999998632354,2.766664031388509,0.22025278831100353,3.027501669717794
full,54.9999999985945,5.96152709922512,0.14744370829893083,3.9103721470452477
full,55.99999999855664,11.52680745527346,0.17311589021812335,4.871566061705934
full,56.99999999851878,18.033917595408667,0.18042843565161135,5.655386319861185
full,57.999999998480924,19.783227408563114,0.19929088204598847,5.832632736869257
full,58.999999998443066,17.545073465291203,0.24169833982841374,5.603817464093269
full,59.99999999840521,25.858640964202856,0.26714804648986734,6.377260371076709
full,60.99999999836735,24.96054472096264,0.24085207824735863,6.302559237563982
full,61.99999999832949,21.65010231858108,0.2714641190835713,6.0106148646464375
full,62.999999998291635,27.762633064036805,0.2211297756663578,6.530089510692141
full,63.99999999825378,25.430917167047305,0.25085912757784684,6.341902940741376
full,64.99999999821593,32.672224939515374,0.23440457473298246,6.894326077173003
full,65.99999999817807,23.672380536103283,0.2357027736570123,6.192217862616173
full,66.99999999814021,33.553718853146364,0.23135803589499448,6.955779459254704
full,67.99999999810235,49.68515862020765,0.1747430274174538,7.928197801771381
full,68.9999999980645,15.947097995594898,0.2315638492369752,5.428245374977577
full,69.99999999802664,7.9560631125292565,0.2473622118746623,4.3052494823794945
full,70.99999999798878,10.00734690520574,0.31103362759003467,4.647348435387267
full,71.99999999795092,5.528060776549113,0.3630760200996257,3.813202359184142
full,72.99999999791306,17.603940798400362,0.27702454544059635,5.610077788123428
full,73.99999999787521,5.551955955636106,0.2704285358722625,3.8186886822624553
full,74.99999999783735,5.8472365960000525,0.36652284025105153,3.8852216995638784
full,75.99999999779949,13.779366826413316,0.39936523095872045,5.170215801156166
full,76.99999999776163,4.910618194080305,0.3094429043240819,3.665593537674971
full,77.99999999772378,7.667355173266373,0.36394807268592483,4.252530565429806
full,78.99999999768592,17.517202609074324,0.18780955117016548,5.600848616177406
full,79.99999999764806,11.705821094837699,0.20637723109446132,4.8966554259884845
full,80.9999999976102,8.430016526518534,0.3122595843757399,4.38909578452829
full,81.99999999757235,12.199226295256107,0.2284320300639777,4.964509497253388
full,82.99999999753449,25.133344833298683,0.07417126125403473,6.3170698630718904
full,83.99999999749663,10.96671221792071,0.15963040106365445,4.791348189415761
full,84.99999999745877,7.048265228675405,0.23451399086822625,4.134849081491653
full,85.99999999742091,18.572499446144,0.1815783059002315,5.711134235656162
full,86.99999999738306,15.945384730689419,0.13280931814676933,5.428050974814221
full,87.9999999973452,9.192853402903738,0.27799363168248026,4.517682387148557
full,88.99999999730734,8.099799016873186,0.29718903333781604,4.331021412810744
full,89.99999999726948,30.96942199913568,0.14517776052557985,6.772410639464309
full,90.99999999723163,12.72545341194973,0.1236042485281123,5.034890213256522
full,91.99999999719377,1.9357181852118608,0.30364248047393316,2.6876927926398215
full,92.99999999715591,18.538399522655176,0.18253960543324765,5.707636796657845
full,93.99999999711805,8.908257392690361,0.11567222652598788,4.470572774691293
full,94.9999999970802,3.0756735270857742,0.15533148021914112,3.1362619435312773
full,95.99999999704234,16.39656261015036,0.18290831116940767,5.478771491222645
full,96.99999999700448,5.932019024585337,0.11128597375841241,3.9039096832951685
full,97.99999999696662,1.3071483979942262,0.1453641989636955,2.3579823410374665
full,98.99999999692876,16.892052528275464,0.22499904514332583,5.533412639294695
full,99.9999999968909,5.192218281635644,0.36625916816930487,3.734363280282656
full,100.99999999685305,14.83965451079686,0.20905677178598064,5.299564472927821
full,101.99999999681519,6.981580576105994,0.2685035304570219,4.1217676048461485
full,102.99999999677733,3.8274938115371557,0.5063339564420933,3.373420002570709
full,103.99999999673948,0.004185395740942336,0.1932639705099093,0.3475450382740028
full,104.99999999670162,2.375011871707641,1.8074757171056008,2.8773156747006596
full,105.99999999666376,5.93086366503815,0.2990653249907595,3.9036562163522732
full,106.9999999966259,0.0,0.2527998951770881,3.0212961881234897
full,107.99999999658804,0.36246409970408267,0.4818634880860296,1.5376373373122758
full,108.99999999655019,0.0,0.30343755005120315,3.841611866793644
full,109.99999999651233,0.0,1.036934386471562,1.4129421421565844
full,110.99999999647447,1.183246062867496,1.6592155014171397,2.2809929310136696
full,111.99999999643661,0.0,0.6431827479995642,0.32004829775458893
full,112.99999999639876,13.989155507918953,0.49406426644759927,5.196322329503237
full,113.9999999963609,0.0,0.2776780195568886,4.29269428847502
full,114.99999999632304,0.00022509709665713927,0.35470970402333124,0.1311864201702922
full,115.99999999628518,0.35934684342078865,0.8837180652858051,1.5332166544484962
full,116.99999999624733,0.0,0.6767388935145379,2.098397010209307
full,117.99999999620947,1.807854144877649,0.6265266215929962,2.62716114931417
full,118.99999999617161,0.0,0.4350481371694037,1.8256315663498177
full,119.99999999613375,0.003148449542139836,0.2972142331959004,0.3160805913583671
full,120.9999999960959,4.157280600171319e-5,0.5240105044973521,0.07470827284704575
full,121.99999999605804,0.0,0.8480592425313555,0.31230232084300263
full,122.99999999602018,0.013197498604365929,1.3217091642983154,0.5096391604286945
full,123.99999999598232,1.0540070318525119,0.9268683142545288,2.1947248757236726
full,124.99999999594446,0.0,0.6492732268278495,4.126429963116618
full,125.9999999959066,0.2778229647433444,0.7288335807043583,1.4071972049858537
full,126.99999999586875,0.05794034448054707,0.6614535208017339,0.8344992313464479
full,127.99999999583089,0.0,3.510533431674054,0.11479452749811934
