genome_hash,physics_era,git_hash,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,n_lines,n_active,f_v11,k_chosen,P_mean_kw,FoS_min,omega_eq_rpm,P_range_kw,drift_flag,stationary,util_axial,util_bending,lift_tension_N,f_feas,tier,gen,timestamp
0a5bf18e11930e1c7adca13f052f117b4349f3943fe7ac07f26fca4817a7df12,post-1d76492_design-aware-lift,4894787,0.2,0.01,1.0,0.7941309703770956,5.366563145999496,1.5,3.0,14.279337206343069,0.24407663490043902,19.0,25.0,25.0,0.9605152904734601,0.1,1.7393060670167177,14,3,-36.07234261826984,1000.0,36.07234261826984,653.790279570464,37.61435357147503,34.13841302407319,true,false,1.6415641048015443e-5,0.0015131268303649789,1.5,-0.7214468523653969,feasible,3,2026-08-06T19:27:46.167
133532c4b1fe4b231457b4111975ccd99d0243e05367195463002537e42654f0,post-1d76492_design-aware-lift,4894787,0.2,0.092355519490195,1.0,0.7068213627705191,5.366563145999496,5.044949662160738,3.0,10.396720624538945,-0.8,19.0,25.0,13.473995513212868,1.200293663966971,0.9702285860953549,-2.0,10,2,-13.317328720756478,1000.0,13.317328720756478,124.39479123784842,31.57979919442217,5.52961028241231,true,false,8.64351108379058e-5,0.007952486696490466,1.5,10.467306851169742,stalled,3,2026-08-06T20:25:52.392
1c3a8c43613ba05a5161c5ca71ad65149d72657f6b6439a7ced4575472ef9f94,post-1d76492_design-aware-lift,4894787,0.20513188999709125,0.05700739163359502,1.0,0.5884708479632278,12.562342099582366,6.2731643129004215,2.594340449097131,11.311443525340799,0.6409087506894315,12.670104845119994,25.0,25.0,0.5657796039582932,1.6337797604062048,2.5681183297723726,11,1,12.0,98.41975395646163,0.0,Inf,0.0,0.0,true,false,-1.0,-1.0,1.5,12.0,stalled,1,2026-08-06T17:48:10.313
1c678f412b655e44ea42347e7868b71496d260928e17b36c423d4365021ac2a6,post-1d76492_design-aware-lift,4894787,0.2,0.026114236529407794,1.0,0.0,28.62167011199731,8.0,2.6847999474905806,10.762312553057349,0.8,0.0,20.478575524947075,25.0,0.6304272815988239,2.0,3.0,11,1,12.0,122.19619928866076,0.0,Inf,0.0,0.0,true,false,-1.0,-1.0,1.5,12.0,stalled,1,2026-08-06T17:34:25.146
227fac4def4e9e6a69d738235deebbd2d9d50060e59a286422d3225fbcd6680b,post-1d76492_design-aware-lift,4894787,0.2,0.01,1.0,0.9178612953598748,5.366563145999496,2.4556759637140626,3.0,10.909764467161112,-0.8,19.0,25.0,25.0,0.9419427537871707,0.8773189236159334,-2.0,11,3,-11.246687385968425,1000.0,11.246687385968425,323.13903547438605,35.07821630429344,5.170910853939395,true,false,0.0,0.003094643141865991,1.5,10.550132504561264,stalled,4,2026-08-06T21:04:42.322
23a51eb49fe8a8bbe0ca7d8b3c96a22d461852edeff77ed818bfa6a16ba7ae46,post-1d76492_design-aware-lift,4894787,0.2,0.01,1.0,1.0,10.32626654330831,1.5,2.260057225559213,16.0,0.20133476825742613,19.0,16.43170906021541,25.0,0.37273745351304943,0.1,3.0,16,3,-0.0007920738961310306,170.86525512007418,0.0007920738961310306,206.35441010617902,38.13721770921031,0.0035950880332698163,true,false,1.591343722673095e-5,0.0048301182006987835,1.5,10.999968317044155,stalled,5,2026-08-06T22:50:16.977
28c79a1d7f25e46782a215e931a44a09c7b6af55ec5dd14531b65a0fcc66dc8a,post-1d76492_design-aware-lift,4894787,0.2,0.01,1.0,1.0,5.366563145999496,3.680247272065257,2.103200787268932,15.142823598646448,-0.08175325097104941,18.646436889188166,24.168555353545788,25.0,0.7467015497299523,0.5545851211272853,-0.9190936403306973,15,3,-0.0010254871287542283,685.7120746970687,0.0010254871287542283,3198.8906441245854,38.573772781004756,0.000369945185238428,false,false,3.846219071970673e-6,0.0003087621540328442,1.5,10.99995898051485,stalled,4,2026-08-06T21:51:31.04
32db59f46279a21c7f94897a8db5274732f44a1890d2484635bf2b208b4de1b6,post-1d76492_design-aware-lift,4894787,0.2267104731568735,0.11602882960227176,1.0,0.5421261390721955,16.84101969949187,5.489472432790706,2.58222857036674,14.931805811394074,0.26651358541974846,17.727110693674806,24.808922033509752,23.202857381080506,0.7100276982910902,0.8060750308827708,0.008282749908363751,15,2,12.0,155.00234987116184,0.0,Inf,0.0,0.0,true,false,-1.0,-1.0,1.5,12.0,stalled,0,2026-08-06T17:30:49.885
34adb29918226e3763d46fbd06b6c4c0552159a5dfeeefdfc7c61b05864b1fb5,post-1d76492_design-aware-lift,4894787,0.22235365901769916,0.14739227243538827,1.0,0.7439975230503699,19.142672100377066,7.075160351898944,2.2713335843527545,6.618250438297967,-0.38612042860576123,5.299498784079754,3.583715340594229,6.206500356599537,1.7999157686908225,1.6096837879133403,-1.7823335783410315,7,1,12.0,996.0750544256422,0.0,Inf,0.0,0.0,true,false,-1.0,-1.0,1.5,12.0,stalled,0,2026-08-06T17:18:46.241
42819d67cc605d34ab3e9b20201dbe3b754a49190b4c54659f44fe9dba6ea46d,post-1d76492_design-aware-lift,4894787,0.2,0.07764760659674066,1.0,0.8353047763016764,10.32626654330831,1.5,2.7452827749782607,13.207866704651128,-0.8,17.19698136040581,14.896446676078178,12.908122011169684,1.1291356097130087,0.796182868876284,2.0898192190172304,13,1,-9.887302359030127,1000.0,9.887302359030127,75.02526755255721,19.978624123757758,2.273824779459714,false,false,0.0,0.013328842836841244,1.5,10.604507905638794,stalled,5,2026-08-06T22:35:35.708
42e11b6e11f80ab8c18a1478428c22e796d5918d1cef06d13f1ec8326e1a96f6,post-1d76492_design-aware-lift,4894787,0.2,0.03823743421280247,1.0,0.7068212412869521,5.366563145999496,5.08893832355995,3.0,8.163013988259847,-0.8,19.0,25.0,25.0,1.2091052535894775,0.9702285860953549,-2.0,8,2,-13.001294315194064,1000.0,13.001294315194064,159.13368706525566,34.12900677602493,8.016374598559404,true,false,0.00011858357108488664,0.006165441002479678,1.5,10.479948227392237,stalled,4,2026-08-06T21:10:21.026
4500ef117343cd69091221e823af65f7cf90f392372fbda9ecd5c39251a801a4,post-1d76492_design-aware-lift,4894787,0.2,0.01,1.0,0.9178611738763078,5.366563145999496,2.855675978013242,3.0,8.676057830882014,-0.8,17.19698136040581,25.0,25.0,0.702551894001663,0.1,-1.5810042688239982,9,2,-0.0023331351175224376,607.0221093512208,0.0023331351175224376,1027.6475664272873,45.36825662289852,0.002084836262331083,true,false,6.130327021834022e-6,0.0009669659295835248,1.5,10.9999066745953,stalled,4,2026-08-06T21:18:41.021
