index,source,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,r_hub_m,r_bottom_m,target_Lr,n_lines,density_profile,rotor_mask,bank_top,bank_bottom,lambda_top,lambda_bottom,log10_k,f_v10,f_v11,k_best,P_mean,FoS_min,omega_eq,P_range,drift
1,lhs,0.13772772840811925,0.13556577515286145,1.4060607025260519,0.5440546925994508,1.1144271350460153,1.469142292527171,2.284324597597656,7.0,-0.12275060914387359,10.901485465428078,18.45276494122022,21.574807603111008,0.4124477279248736,1.3061701116056101,1.6206286999350752,1.0055282915165857e6,-661.9660727184946,104.605742636377,NaN,NaN,NaN,NaN,false
2,lhs,0.05723531515163691,0.019198174173778854,0.24118219411869124,0.5144596728240205,19.906786091688343,1.0082605894793937,0.46107680516589383,4.0,-0.432389007878568,0.14442062442712392,6.27511052846588,5.707374944615486,1.9659986317469496,0.7644117477215912,1.1142093192533284,1.0000242685665333e6,1.0e9,1000.0,NaN,NaN,NaN,NaN,false
3,lhs,0.10049617136884711,0.0253950358594455,0.35486957950884246,0.9023201157806693,10.848532728509603,2.2869511799588333,0.9879269207026693,4.0,-0.2764002287292937,6.987522446170138,19.031175860846037,1.4413729691514114,1.5722390571424794,1.4943023291863538,2.817376063932331,1.0020706668913323e6,1.0e9,1000.0,NaN,NaN,NaN,NaN,false
4,lhs,0.15033224302580397,0.023114454859796255,1.0981692340168092,0.056015144393871695,28.595150036014843,3.4965037610379923,0.6425858945336889,8.0,0.251507898086216,1.0159004338890463,8.499773755480385,0.27542175400463675,1.3488994255999442,0.9129038336930243,1.6575306119740048,1.0000237178440993e6,1.0e9,1000.0,NaN,NaN,NaN,NaN,false
5,lhs,0.0957139930795561,0.10233410693223123,1.0378989700926566,0.30586935334064397,22.467022957077752,1.9932106406714196,1.5476617557114216,15.0,-0.721177367181948,17.51754611414468,2.0130681247266997,19.25068794112972,0.9819061778904538,0.21102192876326784,0.16362540779204826,1.0000117670765583e6,1.0e9,592.8675509136456,NaN,NaN,NaN,NaN,false
6,lhs,0.12906064891070448,0.10885488437908959,0.6509250903054036,0.184835703194348,5.701380197413759,3.9486612593936448,1.35378601409458,8.0,0.02304218120774526,5.297263857438157,11.730424985363392,12.187423021026788,0.1103254452100115,0.04540989758762229,1.4674466201343543,1.000001e6,1.0e9,7.484608239547154,NaN,NaN,NaN,NaN,false
7,lhs,0.14211296882772595,0.029856559008773237,1.4666562965547925,0.4992158904297498,26.42580911700111,3.0280424400792305,1.7369927778912102,9.0,-0.1966360888790879,13.088432636058078,1.067136101257462,20.39335187705762,0.7429692883498458,0.5857152942229864,1.8839729811622927,1.0000209530567055e6,1.0e9,339.4371872211122,NaN,NaN,NaN,NaN,false
8,lhs,0.13318145712119933,0.04087382578793156,0.9715344106925732,0.861286611610287,23.73686088790196,2.1289396482126755,2.35878905264264,12.0,-0.06281779434210977,11.38405204288927,14.84488089248128,24.37591575161666,1.2536653463429044,1.606736564585963,-1.3485874147304848,1.000034238287671e6,1.0e9,966.4534453332291,NaN,NaN,NaN,NaN,false
9,lhs,0.06127416880474455,0.11523895648754794,0.1686016471258187,0.9771750390763042,5.976707306448906,0.6970318496805328,0.9073977558795392,15.0,-0.3105550953993403,4.59950147797699,20.53865878230313,15.56518069975565,0.9126363004887452,1.516296265695277,-1.7485109884151717,1.0017400736830909e6,1.0e9,512.168865104889,NaN,NaN,NaN,NaN,false
10,lhs,0.08269350091319039,0.12375911637306275,1.0077153936264278,0.9586850810783091,12.098920626812653,4.000956350084257,2.5719465514174926,3.0,0.20508965448677197,17.7734497773963,22.991920781116708,17.53775517660193,0.603016539595775,0.4704066797287667,-0.6492416488019677,1.0000017512506394e6,-0.20584536709432205,223.60223713766027,NaN,NaN,NaN,NaN,false
11,lhs,0.06921244936973052,0.08179114839511065,1.0650648901340094,0.25320593234227295,1.8785585075026292,3.6481284169506853,2.048617272677138,8.0,-0.33629314314576614,12.428188008065533,8.75910148533875,10.980384769626909,1.4209627886568765,0.7951735712767524,-0.14245310021174862,1.0006110010525435e6,-825.3209902486549,1000.0,NaN,NaN,NaN,NaN,false
12,lhs,0.10861547271634055,0.0497137096344235,1.291699533966394,0.20935935802127856,25.704559611684942,4.684708232286262,1.64578853221388,5.0,0.3406978445572917,0.7040905165189616,7.151117283229766,16.399249006497644,0.35640265478545896,1.5866168116092034,0.45277964653783354,1.0000933032179334e6,1.0e9,78.10872644408931,NaN,NaN,NaN,NaN,false
13,lhs,0.09877063832774205,0.06949318460044734,1.3739928648931679,0.8341193602751824,15.050536008864935,1.314079530819375,1.1897946491678084,16.0,0.18956122192670155,9.712187479544395,10.790969284458216,6.658220988190205,0.22757321806284475,1.9677870479416286,1.8491413541183954,1.0006160552386823e6,1.0e9,31.84637447892187,NaN,NaN,NaN,NaN,false
14,lhs,0.15298683759315385,0.14724196674002474,0.9232058297903073,0.028265911754384743,3.78247064249794,3.253552570893984,1.299767020135776,5.0,0.6399132999935901,16.985497948662882,19.939967606259927,2.4202913515275735,1.0626621583842968,1.2533108268158624,2.557806535054471,1.0079916976608426e6,-35.045164036333844,694.3974655776572,NaN,NaN,NaN,NaN,false
15,lhs,0.1228312060322292,0.09460837776912481,0.744006773243215,0.9438804017392333,17.05659003639424,4.943145264528043,2.8571971935305482,15.0,0.38094594969676754,4.964842692444248,23.975831327206162,17.4251215484556,1.1451402308445058,1.3278075461489054,2.057596367495381,1.0000279999099732e6,-231.98325251007284,806.371260647757,NaN,NaN,NaN,NaN,false
16,lhs,0.15731388917765898,0.09241002095443,1.3315482556298537,0.12343588117180815,9.962319088560513,2.5175949049884787,0.7365387164226733,7.0,0.5333000583613123,14.152236531858133,1.6168870710416856,19.92721623063261,0.8026371165938265,0.3932700323665306,-0.5873420664412565,1.000001566677018e6,1.0e9,396.14682008673617,NaN,NaN,NaN,NaN,false
17,lhs,0.08504487916528233,0.042168036802398036,0.5861462695756162,0.4561948493493807,16.633215149615875,1.9423219134646743,2.6570860086762136,13.0,0.5799855271297714,7.939666956212343,4.640667206353576,10.181634186231417,0.17675825211157137,1.3668162051930535,1.2092557755317266,1.0003037282436488e6,-4.864868077781807,19.212199720846165,NaN,NaN,NaN,NaN,false
18,lhs,0.06021889607883768,0.11210435592068392,0.4112521531302701,0.744916208471748,4.160464361424146,2.6996315311055734,1.8971165581471505,12.0,0.08464912120768664,11.915370749974802,10.363811785848478,14.63696633523126,1.6573399882291449,0.7025679432747277,2.311751117834512,1.0018748106529182e6,-2988.183305488922,1000.0,NaN,NaN,NaN,NaN,false
19,lhs,0.08965042337230447,0.03780911612132952,0.8261839450694679,0.7682990027037233,10.099530111619751,4.51978075623757,1.1632277049719417,6.0,0.7669836153436549,1.9479040099235312,3.148831455539166,2.768856754390685,1.95011559316864,0.3127130069302264,2.699118134287727,1.0010729776346778e6,1.0e9,1000.0,NaN,NaN,NaN,NaN,false
20,lhs,0.10543134834174654,0.1395642392684278,0.5326371760856962,0.3325215525806363,18.283231531561714,0.9086840682333479,2.500109246169458,10.0,-0.5660328941934947,3.927493418547317,13.925190127622827,5.397789017037188,0.07012634969538759,1.7763966400685156,-0.9104154255612253,1.000001e6,1.0e9,3.0239886869451587,NaN,NaN,NaN,NaN,false
