# Re-scored under corrected Part A rules
# Source commit: e796673
# Changes:
#   A1: util split co-located with FoS_min (old columns were independent maxima)
#   A2: Betz physical-admissibility guard (10% tolerance)
#   A3: n_rings < 5 model-validity gate
#   A5: non-finite FoS routed to rejection band ≥ 12.0
# New columns:
#   A_projected_m2  — total projected swept area (bank-corrected)
#   Betz_ceiling_kW — 0.593 × ½ρv³ × A_projected
#   betz_flag       — P_mean > 1.1× ceiling
#   n_rings          — ring count (flag if < 5)
#   f_feas_new       — objective_feasibility(P_mean, FoS_min) under corrected rules
#   tier_new         — stalled / feasibility / feasible / rejected
#   util_flag        — A1 caveat: old util_a/util_b are independent maxima, identity may fail
#
genome_hash,physics_era,git_hash,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,n_lines,n_active,f_v11,k_chosen,P_mean_kw,FoS_min,omega_eq_rpm,P_range_kw,drift_flag,stationary,util_axial,util_bending,f_feas,tier,gen,timestamp,A_projected_m2,Betz_ceiling_kW,betz_flag,n_rings,f_feas_new,tier_new,util_flag
065032b5cb56c96a051d18081cbb38f4f4e94e4e4b188679536debe5b649c3c8,post-234a722_corrected-physics_ON,fd4c47b,0.4101605529685003,0.01,1.0,0.6865043666937927,14.439670785397325,5.1511847647538245,2.4593509357497654,11.921802534935113,-0.16999493445640756,19.0,16.13156457735766,14.363251698518889,0.8841924944125106,0.1,0.6598215488439136,12,2,-0.59464943697931,961.4824018616404,2.7590541827559765,0.32328982918993854,25.35671044805031,21.158748766192854,false,true,0.5194946112590054,2.8138735578746097,10.889637832689761,stalled,9,2026-07-25T01:54:59.389,558.04,269.78,false,4,10.8896,stalled,identity_broken_0.078
08f9e1b7be3924c292221958a368542602019a26b76cef776e45b863ca0a116d,post-234a722_corrected-physics_ON,fd4c47b,0.3162669388949523,0.011942039855548939,1.0,0.6072513122017873,13.612301758725097,3.6326883029321673,3.0,16.0,-0.2714936222185928,12.188442138780147,25.0,11.53177646143844,0.41208433981052495,0.1,1.3017714882534974,12,1,-0.09154007263588737,208.8429950569351,0.22020292490333038,0.6235616943512923,29.417079792368817,1.670466904424303,true,false,0.2663038929126467,1.4420065794459964,10.991191883003866,stalled,8,2026-07-25T00:59:31.424,470.99,227.69,false,4,10.9912,stalled,identity_broken_0.065
099ca549b7eb9d5d28fab85874eb716399a540abecb77a054893aa3524c31b4d,post-234a722_corrected-physics_ON,fd4c47b,0.3364964625357745,0.01,1.0,0.8065270996568688,14.630647230402467,4.760480413740585,3.0,16.0,-0.1057490393509195,0.0,25.0,11.294857544042815,0.1,0.1,0.23797325559361737,12,1,-1.6704239918943112e-7,12.298373876248846,1.6704239918943112e-7,21.322578141200452,36.43563486724791,1.4563002903698156e-6,false,false,6.81672307987336e-5,0.04689864393404448,10.999999993318305,stalled,10,2026-07-25T03:03:29.407,397.31,192.07,false,4,11.0,stalled,
09e80a74247c2d568ff3cc44db26f39db903de83c85c191efb46ff72d8d825d0,post-234a722_corrected-physics_ON,fd4c47b,0.3927717621368676,0.08024451623633737,1.0,0.5567204596602741,6.9499648502698665,6.577153319950783,1.5478115648812405,7.04106642508872,0.30024756219070914,17.036539540129585,25.0,21.203812629654266,2.0,1.681406848373907,-0.7900592663217799,7,2,-1.1171346049718418,1000.0,17.51282770073429,0.09568425705390242,28.110332653268234,62.83076168940705,true,true,3.052738089349469,7.511050509042375,10.299486891970629,stalled,11,2026-07-25T03:42:03.574,2619.61,1266.41,false,7,10.2995,stalled,identity_broken_0.011
0d8212542d7dd048a2ed114f4759d2c353192020d844b846475262b5ee1f8842,post-234a722_corrected-physics_ON,fd4c47b,0.366859942367201,0.050200504793192595,1.0,0.7964774158950219,10.023550608818159,7.043420730552306,2.99,9.316431589208467,-0.7152328739858117,16.704203566147513,8.840939485145713,1.1051332072100362,0.8841924944125106,0.1,-0.2820236135447596,9,1,-1.5020962320027724,480.7412009308202,28.3754376010318,0.07940474362665789,29.470167247486387,811.3099773677808,false,false,1.939839560918326,12.593706047358591,1.4205952563733422,feasibility,1,2026-07-24T18:36:13.12,658.25,318.22,false,4,1.4206,feasibility,identity_broken_0.154
10c53d5b2f2ba636a6acdf66e6c6e28a860f4050b2cd6abb026822b9ce85444d,post-234a722_corrected-physics_ON,fd4c47b,0.3323644746974525,0.03674768515097067,1.0,0.30490022631123226,11.089163096968853,2.381729708885818,3.0,10.170144537697912,0.0,19.0,25.0,23.88821313153606,1.6090308132433018,1.1147261258391425,1.7824551725998783,10,2,-0.4920364027162947,1000.0,14.820361583772565,0.04980004029608623,26.794985191016266,77.78457951716138,false,false,2.668654266702186,18.565309505500537,10.407185536649097,stalled,8,2026-07-25T00:21:47.264,1320.82,638.53,false,5,10.4072,stalled,identity_broken_0.057
12c3e58ca26eb7e84cd06eafc0321a33e991c3d526e3c42932154c9b398ea5f8,post-234a722_corrected-physics_ON,fd4c47b,0.2152114355049399,0.1345031689146333,1.0,0.5082604669223717,5.71264339226096,5.476295429669749,1.824623885777361,13.12,-0.3940033984583714,0.22097465687221574,18.760548545082848,4.361727240759823,1.0026975618302083,1.4759369635940944,0.22424025343563136,12,1,-8.499647913596942,1000.0,205.1538832872403,0.062145895881213255,35.96971455972018,2602.3379732245226,true,false,5.383471312145941,14.988748745930183,1.4378541041187867,feasibility,12,2026-07-25T05:16:52.028,811.95,392.52,false,8,1.4379,feasibility,identity_broken_0.266
135bb674a77ed6d08f011e9900ac527a0bf098db1acabf04beb0d48101b22631,post-234a722_corrected-physics_ON,fd4c47b,0.44,0.01,1.0,1.0,22.099347267439214,8.0,3.0,9.409576860575239,0.0,19.0,3.9136910732622825,0.0,1.2143142326327048,0.1,-1.3076425043805673,9,1,-1.9241863372991808,906.7339284030904,10.425758254876632,0.27684120765016956,17.421449862758383,206.12027864576632,true,false,0.8314766934261223,3.265010160343122,10.582969669804935,stalled,2,2026-07-24T19:35:21.883,898.4,434.32,false,3,10.583,stalled,identity_broken_0.134
15611aa4d78930610bb66687120e8aa0be3304d8032bb5e44fc3841ee17a87a0,post-234a722_corrected-physics_ON,fd4c47b,0.2303634798314265,0.11055393617792694,1.0,0.7847354628303981,6.963427110119449,6.471969709356455,3.0,4.254576126906377,-0.8,15.560296817301213,2.313691073262281,0.0,0.884137797984635,0.1,0.26307680222605234,4,1,-3.0777456070989158,480.68172516443093,38.25574358406816,0.12067778529786549,42.78811225944321,713.4289882160456,true,false,4.752558656976567,3.5339956879908683,1.3793222147021345,feasibility,5,2026-07-24T22:26:18.17,566.76,273.99,false,4,1.3793,feasibility,
167dbe8b65cf8f091114fdbb8d27d928e69081f6f963896ba2dc47b4ed6095ef,post-234a722_corrected-physics_ON,fd4c47b,0.4219504082899096,0.07682625236177609,1.0,0.39525370322447007,5.922522962776849,5.526549343591004,3.0,9.333543374990825,0.5913155763068537,0.0,25.0,7.0587467997672295,0.8141168035759931,1.494220581297587,-0.42163308581422443,9,1,-2.749570206475343,815.1192117004189,22.675050087275693,0.1818895788030666,40.67502727261033,269.9534435361246,true,false,2.8792583112939316,4.447586975581727,10.092997996508972,stalled,13,2026-07-25T06:40:36.967,599.19,289.67,false,5,10.093,stalled,identity_broken_0.333
