t,hub_z,omega_hub,P_kw,FoS_min,FoS_ring1,FoS_ringN,tau_aero_Nm,tau_gen_Nm,TSR,wind_hub_ms,tether_max_N,T_lift_N,lift_margin
47.9999999988595,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
48.99999999882164,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
49.999999998783785,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
50.99999999874593,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
51.99999999870807,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
52.99999999867021,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
53.999999998632354,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
54.9999999985945,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
55.99999999855664,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
56.99999999851878,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
57.999999998480924,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
58.999999998443066,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
59.99999999840521,NaN,9.981437875658419e141,0.0,Inf,Inf,Inf,NaN,0.0,0.0,NaN,NaN,NaN,NaN
