x15,omega_eq_rpm,stationary,genome_hash,x8,util_bending,tier,x12,drift_flag,timestamp,util_axial,f_feas,x7,n_active,P_mean_kw,n_lines,git_hash,x9,physics_era,gen,x6,x5,k_chosen,x3,x10,x14,x1,f_v11,P_range_kw,x2,x13,x11,FoS_min,x4,lift_tension_N
3.304236205188228,27.878815026662863,false,0889f82ab55a072a363f970ecb2031f4d116369dd171aa37ade329906ac086db,7.027053421501665,0.0011447970162292965,stalled,25.0,true,2026-08-09T01:40:09.878,2.4291677446228632e-5,10.69100977188574,2.2800236949991914,1,7.724755702856498,7,5f96735,-0.7125464660711641,post-4894787_f4b-taper-reconcile_nrings1_decayck,4,5.5175447479660695,8.000129358695713,2014.8197772250396,1.0,12.115218337799735,0.6592032626448212,0.44,-6.312956344267509,2.6355316552262433,0.0222554069265653,1.2799536901120037,0.0,855.367095250983,0.6105512153570676,56246.41727081342
2.4079681438343434,29.45981158334535,false,0f36d6d7961c992db956107e59257e5b9a3d6a8e685e365ce2da4c603c4c2b3f,11.425292184417115,0.011122569040337742,decay_30s,21.963924024909307,true,2026-08-08T17:37:06.084,0.0,10.975224299417317,2.0980795001234873,2,0.6193925145670721,11,Inf,-0.6823940164486194,post-4894787_f4b-taper-reconcile_nrings1_decayck,0,7.455080608742955,11.118010475417812,255.83982175936754,1.0,9.64884777284179,0.6601597017267857,0.4151395577504432,9.348953633775468,0.7413104016031018,0.057387527589229125,0.4561001615695537,24.70361671154386,89.90728638081211,0.9146835443695722,121787.69501653558
1.0898476916622533,23.00270830419101,false,2576c0032c27887860312735b562c5477c5563778362699ce9185b1ded39b966,16.0,0.08957516041421726,decay_30s,25.0,true,2026-08-08T20:09:04.795,0.0002876869543611542,10.998388574076108,2.302283417188265,2,0.040285648097305095,16,Inf,0.7607007601842426,post-4894787_f4b-taper-reconcile_nrings1_decayck,1,3.6666556320608055,8.102880200530178,12.298373876248846,1.0,19.0,1.4473397080616868,0.2,-0.040285648097305095,0.021272592883773398,0.038105696530131065,0.1,25.0,11.128069377753343,1.0,16329.848284569764
3.089847691662253,27.038240489790557,false,2e854bf8635666650acd6f975f09e810242d4261d333c8feea1dcb07cd844b30,8.447193014715392,0.00981980535870702,stalled,19.44350463880711,false,2026-08-08T22:44:36.098,6.687571205177465e-5,11.0,1.8337092123362921,3,0.0,8,Inf,-0.5210040362659627,post-4894787_f4b-taper-reconcile_nrings1_decayck,2,5.321657481208494,5.366563145999496,1229.8373876248843,1.0,7.065532594784953,1.4836261789624137,0.2761436857702648,0.0,0.0,0.01,2.0,1.8095825586032603,101.14617765486905,0.22309492927160546,16916.786542607344
3.4619785028041923,30.60283268930704,false,327e69151e8114c0d214527adf0ceedec43cd81f5bcf3bc7a4302748aa3be89d,6.953185902885629,0.007089113343945605,stalled,17.75425706194372,true,2026-08-08T17:28:56.771,4.847460470072136e-5,10.77358998195273,2.0831457537356326,2,5.66025045118176,7,Inf,-0.6787754654469929,post-4894787_f4b-taper-reconcile_nrings1_decayck,0,4.746761068666949,7.69761415725446,2897.2001752852602,1.0,6.556506323590501,0.7055177903526942,0.4222334313117697,10.556330677811047,10.311041155437067,0.0222554069265653,1.5348481164256373,2.1977614358704542,140.10335244830912,0.5402604347337325,55802.4276895166
3.6919076829902155,23.835037470700946,false,3745ad502f1ef9a1166965461e3ab885ad42f7868fc6154475c1a7fc1e546f6b,8.076217335378926,0.0266100316613106,feasible,11.881086953158801,true,2026-08-09T02:22:19.160,0.0,-0.3929104456507022,1.7076527606804481,1,27.553180282814775,8,5f96735,-0.45291804034911587,post-4894787_f4b-taper-reconcile_nrings1_decayck,4,5.53384336330759,5.638852196104059,4919.349550499537,1.0,0.0,1.3111268908878944,0.26865954543163584,-19.64552228253511,27.298748706217772,0.01,2.0,22.627191295685595,37.57981248304715,0.3984713896320225,15127.587552588435
3.586125365424648,34.08330448274944,false,432c933474f74091262a50ca36a81f41fcaeebed653e37bbba4a075df02acd53,5.961372183399192,0.004979113819255057,feasible,3.939258502998946,true,2026-08-08T21:50:44.441,0.0,-0.7675863601777804,2.184621192028171,3,41.8218890943519,6,Inf,-0.5238988770672639,post-4894787_f4b-taper-reconcile_nrings1_decayck,2,2.6040637083530727,7.2593278648811,3855.8964766746153,1.0,5.288789320248747,0.8273149107320392,0.38934267402862266,-38.379318008889015,22.761860432435537,0.029288999044771925,1.7706749238171993,19.814266779141985,200.83895172928854,0.13958975736739632,72331.79323732312
3.381205808975718,28.60514641102514,false,50f1d9750f4952528b85de74fbdf954afbe79186a5b7140c479245952afc9e70,7.297538788249869,0.002503548000028436,stalled,0.0,true,2026-08-09T00:12:20.048,2.751323488352893e-5,10.484710988196024,2.3165332087106636,1,12.882225295099374,7,Inf,-0.5766660655425315,post-4894787_f4b-taper-reconcile_nrings1_decayck,3,1.5,6.9832288627179615,2405.5024799583657,1.0,0.0,0.1,0.44,-4.940462126319785,12.807203297073976,0.039093324586024165,1.3985534169577092,19.852134787561862,395.0911918710579,0.44792469334057183,85344.0997158779
2.8409930116387008,25.372045615469027,false,58873d0a78aafe38c8afa22f4a49850d24196df19d15b0d696ca74d9e7982aa2,10.185525035059069,0.007290065754334677,decay_30s,19.44350463880711,false,2026-08-08T20:24:49.647,1.0186629092213964e-5,11.0,1.8337092123362921,3,0.0,10,Inf,-0.5210040362659627,post-4894787_f4b-taper-reconcile_nrings1_decayck,1,5.321657481208494,5.366563145999496,693.4146479860618,1.0,8.064201518664598,1.4836261789624137,0.2761436857702648,0.0,0.0,0.01,0.7508836708090062,1.8095825586032603,136.98156549631221,0.22309492927160546,17463.07895923001
3.1490677002921683,36.07792784749663,false,5a2e9295a5e27662457d102dc4d6ed49b25780cd9028c3f84c95e6da0742229b,7.027053421501665,0.0027150271353807024,stalled,17.799510999246728,true,2026-08-08T21:47:38.582,0.0,10.242753711319008,2.4922429752524815,2,18.9311572170248,7,Inf,-0.5766660655425315,post-4894787_f4b-taper-reconcile_nrings1_decayck,2,3.8084132072579484,7.830444024344156,1409.5085034935125,1.0,13.974276842450674,0.7549484611884877,0.44,-13.96897878386618,13.18020944911052,0.04136999488617171,1.0705575146836503,0.0,368.3204440090355,0.24941910209135737,110459.89978882085
