genome_hash,physics_era,git_hash,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,n_lines,n_active,f_v11,k_chosen,P_mean_kw,FoS_min,omega_eq_rpm,P_range_kw,drift_flag,stationary,util_axial,util_bending,f_feas,tier,gen,timestamp
026a4d28374a82b4515a3e0072cdeadea087b879aa9de28137b40116ea1c5817,post-234a722_corrected-physics_ON,54b9d91,0.22,0.15,1.0,0.0,8.167625343458848,8.0,2.1401598878726014,3.0,0.16205585543608103,5.283251746812278,0.0,0.0,1.4545807623777909,2.0,-1.6253496426674756,3,2,-3.2488027946317617,1000.0,18.43066526355879,0.26440739508101035,33.79356896800072,140.17743745979828,false,false,3.781944550943219,9.793119425249303e-5,10.262773389457648,stalled,4,2026-07-24T16:32:20.212
036dd2bc1d5df6f38c7919d89b1f06fdd4bca27fada9bb9862b05d1877c8deaa,post-234a722_corrected-physics_ON,54b9d91,0.22,0.15,1.0,0.0,6.955476670390821,8.0,2.2418476702980814,3.9216146340840066,0.18915822521928155,0.40588446963064406,21.17336705941441,0.0,1.443099001743691,2.0,-0.6133637505679853,4,1,-0.42338868961019044,1000.0,9.482419833754856,0.06697478550301701,37.167285902512496,163.99189905557193,true,false,11.536551785226314,4.519895180402677,10.620703206649805,stalled,4,2026-07-24T16:44:57.294
10184e59b5287ad7facbe20610470c266a200e746f27354fa0a82c8e02a45c10,post-234a722_corrected-physics_ON,54b9d91,0.15139389252689406,0.15,1.0,0.0,5.366563145999496,4.614419652935544,2.9080319775745203,4.713827605299246,-0.6100139603776057,4.760140740669934,0.0,1.9054381870798693,0.6267522208756773,1.5259814862927432,3.0,5,2,-0.6065238607344396,241.55134445699883,6.083155026031606,0.14955821234349922,46.75063061978707,51.81048398377094,false,false,2.3534524475634595,4.332907226910589,10.756673798958737,stalled,4,2026-07-24T16:49:16.452
1140d677034a70353c562cf46fcc20e4367e7d37606277e910b6e7a077906c77,post-234a722_corrected-physics_ON,54b9d91,0.05,0.01,1.0,0.9999998,9.18682023459176,1.5,3.0,16.0,0.0,18.204482979999998,25.0,25.0,0.14495128823113934,0.1,3.0,12,2,-0.01616409670344298,6.459990200548278,0.3391516919649142,0.0714905619803683,46.955826963854605,5.374555914158815,false,false,5.807361355376364,9.707937545102538,10.986433932321404,stalled,2,2026-07-24T15:34:37.579
12f18f3cf7d062e8e02c572c321780144fbba397565709a78951af89d05547e6,post-234a722_corrected-physics_ON,54b9d91,0.1765716432037327,0.15,1.0,0.0,5.366563145999496,4.1030213956346255,3.0,3.1422845066240574,-0.22762281651511496,7.608707924685337,21.17336705941441,2.3817977338498366,0.9973844157821642,1.407476857865929,2.6750702792983496,3,2,-1.6441572413270258,1000.0,28.381123568434237,0.08689704817512969,48.86049203679467,534.9801587208816,true,false,11.507674977632282,0.0001958381004174905,1.4131029518248703,feasibility,1,2026-07-24T14:13:57.281
1ee82fd7bd5e271237226ccfab62fa89d3c3876d32017ab9b45654895c3b9632,post-234a722_corrected-physics_ON,54b9d91,0.1167311374739958,0.12252411244107608,1.0,0.0,8.882731007581926,1.7621772011752714,2.969559872127399,5.721614634084007,-0.21648815108399777,0.0,25.0,16.538321668244112,0.9098643762202255,0.9139446454365704,2.725591517792603,6,1,-1.9246290060858517,1000.0,11.373929641925438,0.25382111548213,35.846121863986085,242.82682677864298,true,false,1.3279718581961346,3.208436090218992,10.545042814322983,stalled,3,2026-07-24T15:51:05.444
21b38d125ebfa6c96ffd6412bec2b079827ee643adeb3358e7cb3559e9a0808f,post-234a722_corrected-physics_ON,54b9d91,0.12303954466325695,0.04307035928978765,1.0,1.0,5.366563145999496,7.8302712770507785,2.012106120596162,6.4799999999999995,0.16428278852230446,18.577940281638885,7.080567902429388,17.0,0.9412339965273904,1.1984300227006435,-1.8920070321163907,6,3,-1.4521756290968113,1000.0,18.190767270856934,0.11974555065277369,42.239782318904524,46.777325666049855,true,false,1.6804630983861748,7.309518318782675,10.272369309165722,stalled,4,2026-07-24T16:55:08.182
26fe1b2e953c0b9a285dbbc7848297f7f3a344e96d6b36d425e868c08ea0d995,post-234a722_corrected-physics_ON,54b9d91,0.05,0.01,1.0,1.0,5.366563145999496,1.5,3.0,9.095677073183198,-0.24359052086719823,19.0,25.0,25.0,0.7088441820630162,0.7384509644705649,0.9787355961079034,9,3,-0.08795576901475298,308.9720926703676,0.9695360098816904,0.13607916794986186,53.44198132762167,7.736571645422407,true,false,0.707437971716249,6.666933494634434,10.961218559604733,stalled,2,2026-07-24T15:24:32.236
295265b2e7a9a0591db701215329ab2323bb98d89d40f36836a1aee9a6166a5c,post-234a722_corrected-physics_ON,54b9d91,0.19257729322108247,0.15,1.0,0.33086053334451404,5.366563145999496,7.977966550272811,1.9130501598407514,3.0,0.2706101888549972,5.0,1.6807094178889566,1.8270979146948585,0.9867674122544934,0.524745478836397,1.0,3,3,-0.5204061686126629,1000.0,3.518482591754719,0.22185963197552527,52.86343165853531,99.47381314771738,false,false,4.5072417868027275,0.00014435012517830084,10.85926069632981,stalled,1,2026-07-24T14:23:15.019
2bd60f4bca00edc8375f99b40f9d1d290a8d22fa22d9520fb8be5674b61492f9,post-234a722_corrected-physics_ON,54b9d91,0.150765503931104,0.10866205088776544,0.7167270015708715,0.092673792190061,8.867890892823686,4.341142044479746,2.5,4.0,0.0,5.0,15.0,10.0,1.001247590679272,0.9667588546933132,1.0,4,2,-1.3972509779440887,1000.0,9.909827550690085,0.2114947466235357,43.1748672613733,68.22957155491451,true,false,2.5614011523347315,4.227305467157852,10.603606897972396,stalled,0,2026-07-24T13:26:47.873
2fd4ca264cc4f0629d0cb78865a3e4c9c62e70906610b88725cced37f3552577,post-234a722_corrected-physics_ON,54b9d91,0.07836678131249093,0.039794340690147575,1.0,1.0,5.366563145999496,5.356937633561345,2.305050159840752,3.0479817073949915,0.0,19.0,9.680709417888956,0.0,0.8433593873961077,1.0937893595523114,-1.7161654007095684,3,2,-1.7781697803158982,874.7280603862204,8.810034516638256,0.30275189789967155,51.86126675038921,212.89708241272163,false,false,3.302967012452266,7.23570201035054e-5,10.64759861933447,stalled,1,2026-07-24T14:11:15.406
