t,hub_z,hub_z_delta,omega_hub,omega_gnd,P_kw,V_hub,tsr,tau_aero,tau_gen,tau_net,T_max,T_lift,lift_margin,FoS_min
0.49999999999993694,30.795813751169746,0.0,1.9681937647273489,8.847910272121739,0.06783820118388083,10.866630213577961,0.9056136658943595,251.19709949024607,7.6671438901937625,243.52995560005232,2771.5364837288607,3448.3129039709393,0.0,2.217962771504421
1.000000000000437,32.906885748487966,0.0,1.1721684550715266,-3.6679547316616605,0.0,10.970046640463039,0.5342586469723751,256.00107648822177,0.0,256.00107648822177,11173.795431835983,3514.2595884912453,0.0,0.5701783122167937
1.500000000000937,32.93591132636564,0.0,1.5375602840349092,3.0954287606339874,0.0029047892899038623,10.971428425263845,0.7007110762780797,256.06557223495525,0.9384125801392762,255.12715965481598,9349.08709993533,3515.144955066591,0.0,1.4042430392209266
2.000000000001437,32.93559894382532,0.0,1.7758741359834878,2.280076434447867,0.0011609149721974004,10.971413559611666,0.809318747458803,256.06487832728794,0.5091561645294239,255.5557221627585,3529.4604207208936,3515.1354294360463,0.0,2.3990598621897132
2.4999999999991616,33.39522893184755,0.0,1.778176108284178,1.5432136229174596,0.00035994018839451695,10.993156807656664,0.8087650069021528,257.08082748946254,0.23324067585280042,256.8475868136097,3900.9807269137405,3529.081890652416,0.0,3.846124185663316
2.999999999996886,33.2497474089131,0.0,1.8413662463975817,4.076108633559262,0.0066326861004487835,10.986302555741805,0.838028188762753,256.7603467668171,1.6272103363096866,255.13313643050745,4399.8436760143095,3524.6824855095433,0.0,1.5458994780825466
3.4999999999946105,33.152596552162066,0.0,1.9169874911086633,1.6144248757318982,0.00041210294346786147,10.981711037890925,0.8728091116650012,256.54577533007165,0.25526300397287605,256.2905123260988,3305.7750412004216,3521.736952079203,0.0,2.133076286992633
3.999999999992335,33.28746849983586,0.0,1.8804948432749977,0.8497907185539824,6.0101892103226516e-5,10.988082221112547,0.8556974754256057,256.843538451325,0.07072552193261991,256.7728129293924,2701.081768187142,3525.8245009220377,0.0,2.2573707823111753
4.499999999995611,33.27774061377131,0.0,1.7942609756345616,0.024699621319865497,1.475784957055686e-9,10.987623428974539,0.8164918406755125,256.82209060743537,5.9749294855331916e-5,256.8220308581405,4843.708357116824,3525.5300752419753,0.0,2.9032582575787473
4.999999999998886,33.18675196809582,0.0,1.8579334764386135,3.562492165725991,0.004428064601143825,10.98332659503983,0.8457972456530943,256.6212635388877,1.2429682354800184,255.3782953034077,3312.1146127596553,3522.7732178843653,0.0,3.1138575574414653
5.500000000002162,33.28528397753624,0.0,1.8336281302914845,2.070326366854046,0.0008690977664258684,10.987979203426804,0.8343791412162638,256.8387224511599,0.41978780753611405,256.4189346436238,4109.866394856749,3525.7583891892646,0.0,2.404080191793335
6.000000000005437,33.16503304493216,0.0,1.869750246778824,1.2873675550903732,0.00020895841873725204,10.982299451263803,0.8512562669940947,256.57326813308083,0.16231449822625302,256.4109536348546,2965.488367866809,3522.1143600491814,0.0,3.166945912203628
6.500000000008713,33.29464418441721,0.0,1.7985141583979196,2.0847678674753807,0.0008874120226178667,10.988420571215642,0.8183679113580521,256.85935638459944,0.42566466821675836,256.43369171638267,4359.6983164508765,3526.041641898326,0.0,2.5152664934213367
7.000000000011989,33.20278920049532,0.0,1.8687384652470869,2.978272418058739,0.00258729204238132,10.98408466729928,0.8506573473575402,256.6566889034901,0.868722426697198,255.7879664767929,3011.2629814426027,3523.25952024269,0.0,4.052195108772134
7.500000000015264,33.17348801830213,0.0,1.8533264491864798,0.4166708761342149,7.084865855827421e-6,10.982699377232638,0.8437481467572825,256.59195496302834,0.017003506272286948,256.5749514567561,3553.4576537880675,3522.370883858463,0.0,3.4078740125319813
8.00000000001854,33.238055148668415,0.0,1.780486412425466,1.3151016702695795,0.00022275639578363404,10.985750568425658,0.8103617505857059,256.7345464771313,0.16938340268244945,256.56516307444883,4500.937549217126,3524.328311548019,0.0,5.724909629772542
8.500000000021815,33.14699397009009,0.0,1.847567225316645,3.765405501994902,0.005228624491771696,10.98144589858999,0.8412222044247704,256.53338754347595,1.3885953289762774,255.1447922144997,3499.4658062614685,3521.5668985059083,0.0,4.091452151677839
9.000000000025091,33.150426394356046,0.0,1.8522455511280764,1.0693446229200565,0.00011975820121550468,10.981608340851754,0.8433398340376492,256.540977103592,0.11199214794617032,256.42898495564583,3352.8354472979813,3521.671084335031,0.0,2.9873884165290185
9.500000000028367,33.18412414802074,0.0,1.8038826775331287,0.7046609226114824,3.426831565270417e-5,10.983202349309632,0.821200693642194,256.6154576629252,0.04863092950536458,256.5668267334199,3889.2653035596295,3522.6935176129814,0.0,4.46344133646923
10.000000000031642,33.15012025161712,0.0,1.833865762361171,3.3856122048429413,0.003800702085363234,10.981593852983973,0.8349724943901763,256.5403002028705,1.1226040832220914,255.41769611964844,3437.746501496175,3521.6617921676557,0.0,4.600830350357319
10.500000000034918,33.11170618853801,0.0,1.8463949420482457,1.6336455039831546,0.0004269978220747997,10.979775039114747,0.8408163807867565,256.45532885493975,0.26137728230126644,256.19395157263847,3679.379154038503,3520.4953463920788,0.0,2.5659405413754994
11.000000000038193,33.13235231125092,0.0,1.7928643040860275,-0.07055463088766169,0.0,10.980752808242654,0.8163667534434533,256.50100652454677,0.0,256.50100652454677,3930.534424673576,3521.122387460025,0.0,5.325041354017297
11.500000000041469,33.11253631903839,0.0,1.8142205469516852,3.377947865437429,0.0037749484183942873,10.979814362920932,0.8261617578336966,256.45716583569214,1.1175271403738638,255.33963869531829,3639.7099790085413,3520.5205635798798,0.0,5.682633365632195
12.000000000044745,33.065508845060215,0.0,1.8429571339224171,1.979099641436098,0.0007591982085853647,10.977585308579966,0.839418270100794,256.35304769439296,0.38360787536420665,255.96943981902874,3725.1703554671435,3519.0912798385143,0.0,3.06119563215755
12.50000000004802,33.09415286012989,0.0,1.7789427334231454,-0.2647806735931882,0.0,10.978943328945196,0.8101611785958903,256.41647770803456,0.0,256.41647770803456,4004.771049337269,3519.9620165428146,0.0,5.189520883750586
13.000000000051296,33.07869189719535,0.0,1.8034282682589164,3.295367664601508,0.0035048046960686973,10.97821044578151,0.8213671422886151,256.3822454433254,1.0635549816540775,255.31869046167134,3670.8647386654798,3519.492092485696,0.0,5.872782203547544
