label,dt_factor,dt,n_samples,n_betz,n_fos_dips,P_mean,P_max,FoS_min
DT,1.0,4.0e-5,301,0,0,0.22547338061646183,0.7905576466278319,0.18911264187862764
DT/2,2.0,2.0e-5,301,0,0,0.23438807460942496,0.8115367157965173,0.17729176353256623
DT/4,4.0,1.0e-5,301,0,0,0.2240545646861176,0.7996712303790621,0.18706080476551973
