t,hub_z,hub_z_delta,omega_hub,omega_gnd,P_kw,V_hub,tsr,tau_aero,tau_gen,tau_net,T_max,T_lift,lift_margin,FoS_min
0.49999999999993694,31.048303764975618,0.0,4.39671284347905,-4.234938305137242,0.0,10.879313400431084,2.0206756996745927,886.452207481022,0.0,886.452207481022,9628.252435543189,3214.4512871012607,0.0,0.6885198868844167
1.000000000000437,31.343630045768563,0.0,1.8159357759973158,-0.64009471254874,0.0,10.894036662479659,0.8334540410771757,252.46577282244934,0.0,252.46577282244934,4522.320502705569,3223.157577926739,0.0,0.6176326541966911
1.500000000000937,31.35220777662402,0.0,0.20177150457533266,1.7235307808428473,5.10458431703912e-5,10.894462518689016,0.09260278064622356,101.8887630243105,0.029617018586362915,101.85914600572414,404.4322015680711,3223.409574232396,0.0,6.217582728812072
2.000000000001437,30.971376104196175,0.0,0.09931646591656766,1.2411335441153253,1.90615753560553e-5,10.875458530585798,0.04566081771966357,49.977122768610016,0.015358198516536196,49.96176457009348,528.6791373378644,3212.1737360141465,0.0,16.508395973077356
2.4999999999991616,31.356513824953502,0.0,0.07994829027459882,0.80800337502643,5.259479594011587e-6,10.894676262219413,0.036691448350715895,40.373154058705865,0.006509229734145044,40.36664482897172,622.4002472024099,3223.536058618362,0.0,5.6479746233398345
2.999999999996886,31.491940257852402,0.0,0.07572249413303386,0.4608473956833658,9.758311171033657e-7,10.90138575195996,0.03473067362991889,38.286279433343815,0.002117471263250513,38.28416196208057,286.8662425125782,3227.5077125684147,0.0,7.34413795660511
3.4999999999946105,31.26707840793969,0.0,0.06554295422763166,0.1303552344080084,2.2084556120750118e-8,10.890231694386628,0.030092543513750857,33.071591198109324,0.00016941825329104966,33.07142177985603,380.0135575817108,3220.906461946028,0.0,6.6639983913460314
3.999999999992335,31.300563106548577,0.0,0.08331705029785261,-0.02637152811103523,0.0,10.891897019112657,0.038247263149684234,42.05288332379102,0.0,42.05288332379102,282.1672156767917,3221.8916136746357,0.0,6.033023091407276
4.499999999995611,31.443539330804605,0.0,0.07979942135108431,-0.1021429507051894,0.0,10.898990649096618,0.03660862914755259,40.329899636833105,0.0,40.329899636833105,329.25887755273766,3226.0896609644165,0.0,5.006332652256589
4.999999999998886,31.44790903507762,0.0,0.06913714267179581,-0.1305262590272145,0.0,10.899207012097788,0.03171659304895103,34.942668549731266,0.0,34.942668549731266,353.53930984907447,3226.2177486730593,0.0,4.888092772834582
