label,lin_damp,dt_factor,P_mean,FoS_min,P_range,n_betz,n_fos_dips,omega_eq,P_min
10kW_fos034,0.05,1.0,6.113268236540557,0.05388521062395684,74.54534144658011,0,400306,2.01528704805267,0.0
10kW_fos034,0.05,2.0,7.011694999802182,0.027568128714293667,119.6982310790945,3058,1520095,2.01528704805267,0.0
10kW_fos034,0.5,1.0,6.280565308510147,0.16595158853357977,48.40664087695346,0,778863,2.01528704805267,0.0
10kW_fos034,0.5,2.0,6.159984716578506,0.14046545654474885,54.62549719603059,0,1528185,2.01528704805267,0.0
10kW_fos034,0.8,1.0,5.276439507351187,0.17514537430860982,30.301525445526188,0,748961,2.01528704805267,0.022878511608258087
10kW_fos034,0.8,2.0,5.380098384361623,0.1786652416103976,31.181141903699785,0,1375829,2.01528704805267,0.012618314509886002
