label,dt_factor,dt,n_samples,n_betz,n_fos_dips,P_mean,P_max,FoS_min
DT,1.0,4.0e-5,301,0,6,0.3621172494440115,5.744132069475818,0.06930499432962893
DT/2,2.0,2.0e-5,301,66,114,72.04814559782976,2215.648301624777,0.018405083118982625
DT/4,4.0,1.0e-5,301,60,120,104.77914383072559,5224.378795749231,0.006828370995113577
