island,gen,idx,status,fitness,n_lines,rings,n_active,r_hub,r_bot,tether,m_airborne_kg,T_mass_1p5_N,T_rotary_actual_N,ratio
1,0,1,ok,-2.333,6,6,2,0.914,0.914,18.0,79.09312691086166,1238.5490071422964,2224.412579644859,1.7959826916960233
1,0,2,clearance_reject,1.0e9,13,5,2,1.491,1.491,18.0,164.1101803766304,2569.863007142101,2224.412579644859,0.8655763258441501
1,0,3,ok,-2.448,9,4,1,2.128,1.5,18.0,115.63071770020862,1810.7048765962659,2224.412579644859,1.2284788141876959
1,0,4,clearance_reject,1.0e9,9,4,2,1.896,1.5,18.0,115.66260068164247,1811.2041441880522,2224.412579644859,1.228140177783242
1,0,5,ok,0.134,7,5,1,0.982,0.982,18.0,90.69839456605388,1420.280256030182,2224.412579644859,1.5661786258032642
1,0,6,ok,-4.343,14,4,1,1.285,1.285,18.0,176.42426549981025,2762.693895221273,2224.412579644859,0.8051607105269614
1,0,7,clearance_reject,1.0e9,3,5,2,0.996,0.996,18.0,42.78326092804302,669.9591660405149,2224.412579644859,3.3202211304775857
1,0,8,ok,8.088,6,4,1,1.337,1.337,18.0,78.51974501856373,1229.570204543945,2224.412579644859,1.8090976598362734
1,0,9,ok,-3.1,7,4,1,1.232,1.232,18.0,90.5696006704306,1418.2634240021607,2224.412579644859,1.5684057996559249
1,0,10,clearance_reject,1.0e9,12,4,2,1.751,1.5,18.0,153.2116907875462,2399.199461684813,2224.412579644859,0.9271478320867863
1,1,1,reject,1.0e9,16,11,2,0.914,0.914,18.0,200.92550584170857,3146.368028289915,2224.412579644859,0.7069778740581251
1,1,2,ok,5.096,3,6,2,0.764,0.764,18.0,42.587961225265836,666.9008945772754,2224.412579644859,3.3354469872991164
1,1,3,clearance_reject,1.0e9,14,4,2,1.218,1.218,18.0,177.16136780818525,2774.236457361079,2224.412579644859,0.8018107374166563
1,1,4,ok,3.139,9,6,1,1.033,1.033,18.0,116.45617055175127,1823.630953104445,2224.412579644859,1.2197712348861736
1,1,5,ok,4.342,8,4,1,1.482,1.482,18.0,102.70868834517952,1608.3539612509649,2224.412579644859,1.3830367153227443
