t_s,P_kw,ω_rpm,min_fos,worst_ring,fos_worst,n_failing,collapse_margin_deg,max_twist_deg,T_max_kN
1.000000000000437,0.2995691803233038,29.661054538940785,9.765983285108591,20,9.765983285108591,0,37.20069204925052,13.280656395002257,1.6867991366022874
2.000000000001437,1.5134060020139681,54.11176897272524,11.196585055498781,12,11.196585055498781,0,39.665059544195074,10.816288900057707,3.144622052123101
2.999999999996886,7.976155576531135,75.92320963669053,6.614987548659576,12,6.614987548659576,0,39.32405016719739,11.157298277055391,4.439721197193539
3.999999999992335,25.227711559159985,100.80938973487723,7.418405267068279,12,7.418405267068279,0,41.539736155799865,8.941612288452918,6.213770931478335
4.999999999998886,50.1240331746755,131.26985780804918,10.955499670272639,12,10.955499670272639,0,41.65231939644745,8.829029047805328,9.799218503051161
6.000000000005437,77.58397344834515,159.02423752260515,12.95599217548046,19,12.95599217548046,0,42.811698073350975,7.669650370901805,14.440768904822665
7.000000000011989,105.53645331754329,177.51251177622862,16.352134802781876,12,16.352134802781876,0,46.26205000499216,4.219298439260621,18.198863745108778
8.00000000001854,128.8656316355369,189.32436428856474,19.195411600706578,12,19.195411600706578,0,47.3003723964776,3.1809760477751854,20.88628983343833
9.000000000025091,144.70119013490637,197.797559858826,20.16659449554435,12,20.16659449554435,0,47.5113744451423,2.96997399911048,22.757767498775305
10.000000000031642,156.36855801233483,202.22690933492393,21.226414830896967,12,21.226414830896967,0,47.63599567783027,2.8453527664225042,23.970717557819913
11.000000000038193,162.81441781822807,205.5621651200958,22.560671149058592,12,22.560671149058592,0,47.72813438232904,2.753214061923739,24.721826036894267
12.000000000044745,167.5105136534974,207.19593628051976,23.33374015367041,12,23.33374015367041,0,47.75210907529851,2.729239368954268,25.18736703768809
13.000000000051296,170.02517141473717,208.32994420128398,23.484901048570887,12,23.484901048570887,0,47.7984939795814,2.682854464671379,25.501648827787527
14.000000000057847,171.63217053552506,209.06215760523673,23.91502275825209,12,23.91502275825209,0,47.787700973421906,2.693647470830872,25.672822015787514
15.000000000064398,172.7886450301419,209.33523741239088,24.15310071946774,12,24.15310071946774,0,47.81168700099344,2.6696614432593466,25.831237552603724
16.000000000070948,173.1975565641243,209.74683291056726,24.355410160969434,12,24.355410160969434,0,47.80629662049916,2.6750518237536216,25.88390897072939
17.00000000003309,173.8302080251579,209.75575964151093,24.592011399939985,12,24.592011399939985,0,47.810436882395074,2.6709115618577077,25.971688737960985
17.999999999995232,173.88769483508415,209.9834511225378,24.771690050469267,12,24.771690050469267,0,47.81558830676293,2.6657601374898467,25.97750526605846
18.999999999957375,174.22157026504246,209.9727374966542,24.988556848185944,12,24.988556848185944,0,47.80938994009686,2.6719585041559246,26.04316423946841
