t_s,P_kw,ω_rpm,min_fos,worst_ring,fos_worst,n_failing,collapse_margin_deg,max_twist_deg,T_max_kN
1.000000000000437,0.27728063123799895,30.201589642776693,10.106575056462402,21,10.106575056462402,0,34.488959338067104,19.91480773259297,1.7727234987361447
2.000000000001437,1.1057051783370362,57.242046343880624,3.8375537155153503,2,3.8375537155153503,0,36.19913653568429,24.90991106388417,3.3939144758826774
2.999999999996886,5.79031369262309,83.34820978999852,1.6877439899585267,2,1.6877439899585267,0,41.923986720370635,31.018337246179225,5.198247776053621
3.999999999992335,22.846599729034278,102.43064693099193,1.1726031819133071,2,1.1726031819133071,2,38.48055094215785,34.46177302439201,6.308858460882853
4.999999999998886,49.66736957067505,127.18974646759091,1.2427544578042982,2,1.2427544578042982,2,41.35883914409362,31.255055686209815,7.821189898507627
6.000000000005437,78.13697651025052,155.0222382901748,1.5546464792628139,2,1.5546464792628139,0,40.117026003523854,23.45229989050633,10.703650060801111
7.000000000011989,107.0486946571594,176.68477173410156,1.9968310032432475,2,1.9968310032432475,0,42.86690423221943,17.480490822137444,14.253249386878771
8.00000000001854,131.07164399573423,193.25380057651054,2.366106716295534,2,2.366106716295534,0,44.85961514272096,14.422057029495583,17.37070800908941
9.000000000025091,150.91712547881048,204.3907090451594,2.4671284787867624,2,2.4671284787867624,0,46.80509502891661,13.249721577262157,19.59263409782038
10.000000000031642,167.46652160671928,210.40003822127886,2.5391420508470084,2,2.5391420508470084,0,47.9554418052622,12.597668196864499,21.077531891365155
11.000000000038193,177.7990730996263,214.71491157006818,2.6701622746457003,2,2.6701622746457003,0,48.09294946229043,11.989674327169158,22.01159647457904
12.000000000044745,183.73453527390814,218.21508582451528,2.69208339032161,2,2.69208339032161,0,48.57109754410903,11.739523201402955,22.76066086242419
13.000000000051296,189.08506311356095,219.80355593075808,2.662175049204565,2,2.662175049204565,0,48.14360904177073,11.681456863384462,23.252823692173976
14.000000000057847,192.51359393036972,220.6781284796545,2.707343298360336,2,2.707343298360336,0,48.19669829896923,11.507079409669615,23.535864398789332
15.000000000064398,193.72551440990605,221.7877757746709,2.7285097744675455,2,2.7285097744675455,0,48.167671533618964,11.4082494675608,23.731523174374477
16.000000000070948,195.16715211504555,222.29605816101034,2.6988789766935355,2,2.6988789766935355,0,47.90685074324311,11.437199691429834,23.86158133923902
17.00000000003309,196.47009418727103,222.36641954742555,2.715964789403965,2,2.715964789403965,0,47.92363725019438,11.394058732018724,23.896105888151443
17.999999999995232,196.6605249115253,222.71531401638745,2.749651763529081,2,2.749651763529081,0,48.00112914449021,11.337111002034343,24.003686532976467
18.999999999957375,196.9376208631534,222.95836881911205,2.7190433130672855,2,2.7190433130672855,0,47.88652085371927,11.360376456861761,24.129967549089113
19.999999999919517,197.52754604966958,222.90707714900256,2.6933373397016607,2,2.6933373397016607,0,47.86429110156538,11.36038795549698,24.21808264503616
20.99999999988166,197.5999927705866,222.99680199707709,2.6902694583724336,2,2.6902694583724336,0,47.93761431740584,11.326219776455932,24.263346694778928
21.9999999998438,197.58194939610553,223.14387088690913,2.677051967116459,2,2.677051967116459,0,47.90312661688994,11.333852080120485,24.273877348268556
22.999999999805944,197.9138118468323,223.1297064513131,2.6604070043491284,2,2.6604070043491284,0,47.875382424049825,11.332421931156325,24.274282501647406
23.999999999768086,198.0925775662428,223.1686628780675,2.6894391802266413,2,2.6894391802266413,0,47.90899049639748,11.303449535636332,24.336554253341422
24.99999999973023,198.18363041624494,223.30580683175853,2.7447550369212714,2,2.7447550369212714,0,47.89513269119054,11.416112576193253,24.461412373080744
25.99999999969237,198.49801917078233,223.36145222589184,2.574518029621063,2,2.574518029621063,0,47.923582341639005,11.614086989187175,24.600812618495503
26.999999999654513,198.6967874755611,223.38334904121578,2.5286759572950097,2,2.5286759572950097,0,48.05316663405852,11.468487410246563,24.4975030183344
27.999999999616655,198.67175245820738,223.44301608260645,2.538300700519502,2,2.538300700519502,0,48.14384358143652,11.155657064967812,24.5163369875127
28.999999999578797,198.65449137588627,223.4458322844527,2.58343898180681,2,2.58343898180681,0,48.091168766728245,10.875366522821698,24.718485730476445
29.99999999954094,198.59383823592472,223.39182290288616,2.719161437377463,2,2.719161437377463,0,47.88145953807539,10.828547406836167,25.12245570418057
30.999999999503082,198.5428838029062,223.37069771075755,2.8307519823162304,2,2.8307519823162304,0,47.74011612693589,11.384052335269185,25.597353874531457
31.999999999465224,198.63398552064098,223.346519914051,2.5143241350022048,2,2.5143241350022048,0,47.91540348421467,12.207603139150455,25.81851870164483
32.99999999942737,198.51987800035647,223.27499284328874,2.2025877073775244,2,2.2025877073775244,0,48.30832272116436,12.18523140407833,24.995402292487157
33.99999999938951,198.04013008338165,223.16871705636086,2.227620447777935,2,2.227620447777935,0,48.618190787776186,11.12509279775945,24.860439121429398
34.99999999935165,197.50531579774537,223.05164697368298,2.410161908284064,2,2.410161908284064,0,48.60969188156078,10.263821743822117,25.17499152286061
35.99999999931379,197.1204722598389,222.94870765780746,2.7052463285746233,2,2.7052463285746233,0,48.20901400495524,10.056960656287638,25.70265033331707
36.999999999275936,197.03929056137616,222.9157864531169,2.991773775385736,2,2.991773775385736,0,47.78217637898553,10.675702492951066,26.091380243547285
37.99999999923808,197.36460140852955,222.97434469301265,2.9095781876080657,2,2.9095781876080657,0,47.77478619990762,11.909801411871372,26.78900732243738
38.99999999920022,197.93743988961904,223.07274332036351,2.217359747131357,2,2.217359747131357,0,48.17710767610614,12.902979616403721,26.72039206882641
39.99999999916236,198.23459106307294,223.1978556223698,1.9719109772096537,2,1.9719109772096537,0,48.54979121640328,12.506580484959171,25.32837433534487
