round,tether_mm,r_bottom,blade_scale,k_mppt,P_kw,omega_rpm,min_fos,rings_failing,rings_airborne,T_max_kN,pass,status
1,4.0,1.3,0.69,2.0,0.0,22.455530535695228,20.13096147860156,0,19,4.563739709912123,false,ok
1,4.0,1.3,0.69,4.0,0.16634447266592267,23.178767871598467,44.56570933504576,0,19,1.4748342509344752,false,ok
1,4.0,1.3,0.69,6.0,0.2274171203188992,16.04762682105347,16.76613172375168,0,19,3.8454143417132696,false,ok
1,4.0,1.3,0.69,8.0,0.0,7.478907769568535,83.59703803132514,0,19,0.8634069130326163,false,ok
1,4.0,1.3,0.69,10.0,3.345334358974306,57.977675369971664,15.298860527361523,0,19,0.9544230850337216,false,ok
1,4.0,1.3,0.69,14.0,2.3872776278302326e-8,29.23816260786597,17.688200920012115,0,19,0.4324389788437065,false,ok
1,4.0,1.3,0.8,2.0,0.0,-9.894788665644523,183.0741420648162,0,19,0.9776689478477163,false,ok
1,4.0,1.3,0.8,4.0,0.18797110753374244,17.956540348369153,12.389293429927738,0,19,6.294819650472265,false,ok
1,4.0,1.3,0.8,6.0,15.321824340851972,123.26373082960686,4.0460309691792995,0,19,35.83092021626439,false,ok
1,4.0,1.3,0.8,8.0,0.0010569190185764229,25.085350638466824,31.887795872863332,0,19,1.3956491551559242,false,ok
1,4.0,1.3,0.8,10.0,0.0,1.7213836439381067,47.43861397294506,0,19,1.624549447914036,false,ok
1,4.0,1.3,0.8,14.0,132.85477424246574,200.85959355859438,6.194360958126536,0,19,22.733840245477488,true,ok
1,4.0,1.3,0.85,2.0,4.9212186149089225,126.62888178218948,4.461378934399538,0,19,43.65047788174497,false,ok
1,4.0,1.3,0.85,4.0,0.0,-15.007555545744479,132.98306597512874,0,19,0.696020355394373,false,ok
1,4.0,1.3,0.85,6.0,0.002442110384572329,2.339218123576829,29.36131341671344,0,19,2.0003199579543236,false,ok
1,4.0,1.3,0.85,8.0,0.0,-0.47307489834676186,38.84826680250471,0,19,3.249480985908644,false,ok
1,4.0,1.3,0.85,10.0,0.2015213590489134,12.279457696367672,52.688773946140735,0,19,0.18039859446009995,false,ok
1,4.0,1.3,0.85,14.0,18.112897751294163,82.06710799326358,42.85157302042686,0,19,2.578934920130202,false,ok
1,4.0,1.3,0.9,2.0,6.714226939659016,239.7012209258042,2.3525876375720225,0,19,52.12248407291736,false,ok
1,4.0,1.3,0.9,4.0,0.0,-4.576982397337299,95.84902035627513,0,19,0.5022198362253786,false,ok
1,4.0,1.3,0.9,6.0,81.45927266894765,168.32572316616537,11.280200283503513,0,19,17.747735006922493,true,ok
1,4.0,1.3,0.95,2.0,0.11306731177141663,23.24397127757218,59.26252026631542,0,19,0.3411712078620291,false,ok
1,4.0,1.3,0.95,4.0,198.89072816795792,257.4117695216057,5.184492047005287,0,19,18.78068930036035,true,ok
1,4.0,1.3,1.0,2.0,0.0,-4.028633946950146,23.799961769757534,0,19,2.8062905723909974,false,ok
1,4.0,1.3,1.0,4.0,145.81506758941748,206.42023957010738,3.912199376023686,0,19,51.16636964208995,true,ok
1,4.0,1.3,1.05,2.0,0.0002884170196053448,8.834218827734636,27.567606754560927,0,19,1.541129209152527,false,ok
1,4.0,1.3,1.05,4.0,86.09556617525132,189.9818114372253,2.13766713756162,0,19,101.30690248555234,true,ok
1,4.0,1.3,1.1,2.0,51.40639435569531,350.4058347811169,1.1141173807945581,0,19,130.13343259287953,false,ok
1,4.0,1.3,1.1,4.0,296.91754255381505,272.0906042782349,2.2981682118628464,0,19,121.45736975125939,true,ok
2,4.0,1.15,0.9,2.0,6.714226939659016,239.7012209258042,2.3525876375720225,0,19,52.12248407291736,false,ok
2,4.0,1.15,0.9,4.0,0.0,-4.576982397337299,95.84902035627513,0,19,0.5022198362253786,false,ok
2,4.0,1.15,0.9,6.0,81.45927266894765,168.32572316616537,11.280200283503513,0,19,17.747735006922493,true,ok
2,4.0,1.15,0.95,2.0,0.11306731177141663,23.24397127757218,59.26252026631542,0,19,0.3411712078620291,false,ok
2,4.0,1.15,0.95,4.0,198.89072816795792,257.4117695216057,5.184492047005287,0,19,18.78068930036035,true,ok
2,4.0,1.15,1.0,2.0,0.0,-4.028633946950146,23.799961769757534,0,19,2.8062905723909974,false,ok
2,4.0,1.15,1.0,4.0,145.81506758941748,206.42023957010738,3.912199376023686,0,19,51.16636964208995,true,ok
2,4.0,1.15,1.05,2.0,0.0002884170196053448,8.834218827734636,27.567606754560927,0,19,1.541129209152527,false,ok
2,4.0,1.15,1.05,4.0,86.09556617525132,189.9818114372253,2.13766713756162,0,19,101.30690248555234,true,ok
2,4.0,1.15,1.1,2.0,51.40639435569531,350.4058347811169,1.1141173807945581,0,19,130.13343259287953,false,ok
2,4.0,1.15,1.1,4.0,296.91754255381505,272.0906042782349,2.2981682118628464,0,19,121.45736975125939,true,ok
3,4.0,1.0,0.95,2.0,146.86146546380695,454.9927078540494,8.626308366822464,0,21,52.49053958821525,true,ok
3,4.0,1.0,1.0,2.0,70.09638415717384,326.2860979055517,4.688940043505388,0,21,37.29034699881975,true,ok
3,4.0,1.0,1.05,2.0,195.62515699531357,407.77694949740516,3.5348726280223137,0,21,59.43019593732275,true,ok
3,4.0,1.0,1.1,2.0,189.81372181570546,397.5187821422112,6.13640032712006,0,21,90.57408764046701,true,ok
