t_s,P_kw,ω_rpm,min_fos,worst_ring,fos_worst,n_failing,collapse_margin_deg,max_twist_deg,T_max_kN
1.000000000000437,5.533115866093523,106.50932920605884,129.2862763282009,13,129.2862763282009,0,45.76486297292793,12.949935920179284,2.5695667302836642
2.000000000001437,7.664037993983829,115.50907452741927,75.37277406039263,2,75.37277406039263,0,45.171941986964775,15.6291649567054,2.534583038346422
2.999999999996886,8.892728549401756,120.33081840655697,56.42608397927423,2,56.42608397927423,0,44.8248459095542,17.1399948400434,2.5059872300195063
3.999999999992335,9.607737608505538,122.86276804644172,49.78974960303755,2,49.78974960303755,0,44.61628062710553,18.08779910801756,2.4409711060766357
4.999999999998886,10.006108885832903,124.15588964954794,48.227832506505564,2,48.227832506505564,0,44.49360679051039,18.674370009994917,2.337197243396112
6.000000000005437,10.219237475246326,124.7914657337297,48.64511284464421,2,48.64511284464421,0,44.42429752313502,19.0249735975371,2.3791253383953648
7.000000000011989,10.329153034434093,125.09030008110179,49.06909816069228,2,49.06909816069228,0,44.38736178317463,19.22513302690835,2.3149109125472527
8.00000000001854,10.384161671065206,125.22517184012047,50.32047872123455,2,50.32047872123455,0,44.36933026475432,19.332852936569488,2.2989191172311636
9.000000000025091,10.411484937107138,125.2855868305567,47.87508438272875,2,47.87508438272875,0,44.361970581439664,19.386244670669647,2.2774475068148785
10.000000000031642,10.425632788573413,125.31546244245077,46.07777104111354,2,46.07777104111354,0,44.36038256924743,19.409233985734463,2.2285958819070544
11.000000000038193,10.433877449639532,125.334779388252,43.97887089491487,2,43.97887089491487,0,44.3616801982775,19.416061190702685,2.234076808500885
12.000000000044745,10.439725106276372,125.35165235427819,43.33629701368538,2,43.33629701368538,0,44.36431689088358,19.41482732118426,2.1673334937516002
13.000000000051296,10.444719745945045,125.368726134671,41.3605156655485,2,41.3605156655485,0,44.36750850971349,19.409933868055383,2.18990288295763
14.000000000057847,10.449398717970864,125.38638789295584,41.35321360112698,2,41.35321360112698,0,44.370851556996996,19.403592849981784,2.1749924197320882
15.000000000064398,10.453913536246954,125.40428011847702,39.169271377170894,2,39.169271377170894,0,44.37414458463645,19.396857343066312,2.201314034437895
16.000000000070948,10.458288576911904,125.42193460491956,39.18835911410601,2,39.18835911410601,0,44.377331916338385,19.390197959921533,2.200403208321977
17.00000000003309,10.46248279347215,125.43897711093537,37.52985784750723,2,37.52985784750723,0,44.3803862460233,19.38380151529755,2.2401624295384197
17.999999999995232,10.466445692310295,125.45517273843569,37.35431632010272,2,37.35431632010272,0,44.38329342307792,19.377710317672445,2.2230356442780383
18.999999999957375,10.470166867652928,125.47040479879722,36.41150110784224,2,36.41150110784224,0,44.386056692119936,19.371930961102876,2.272489168501049
19.999999999919517,10.47364315876672,125.48463852883162,35.60576547224763,2,35.60576547224763,0,44.38868486503596,19.366457312570745,2.2487037521540176
20.99999999988166,10.4768725697004,125.49788641610466,35.65747028029898,2,35.65747028029898,0,44.39118138744578,19.36127158779844,2.297991526342632
21.9999999998438,10.479863366198767,125.51018920974502,34.21885402045162,2,34.21885402045162,0,44.39354363090399,19.356361595938296,2.28331896898176
22.999999999805944,10.482634674609493,125.52160192137738,35.289965498980635,2,35.289965498980635,0,44.395784010592706,19.351713383667917,2.316759319634708
23.999999999768086,10.485200327915654,125.5321826651252,33.15946730334296,2,33.15946730334296,0,44.39790124814105,19.347325593382855,2.3159083615136447
