blade_scale,k_mppt,P_kw,omega_rpm,min_fos,T_max_kN,wind_ms,status
0.69,2.0,94.9651267931493,387.117329187619,6.547413309918177,35.94574666905269,11.0,ok
0.69,4.0,0.004257224098773569,-10.018982975980181,222.80957066541382,0.595692300101062,11.0,ok
0.69,6.0,3.5849645267981043e-6,33.261358894980354,59.40795995283239,0.3454362393999739,11.0,ok
0.69,8.0,13.820798928950795,164.26597691386246,14.047489107151488,2.9845680042947444,11.0,ok
0.69,10.0,5.2732690015106416e-5,0.28810403770172527,432.0899466766127,0.29607320216575017,11.0,ok
0.69,14.0,2.3599884090389952e-5,11.775816735038909,155.5367174357346,1.3664030798008722,11.0,ok
0.75,2.0,99.49831987458528,313.57600695556084,19.06258074274148,16.720314793326345,11.0,ok
0.75,4.0,173.4363181165214,342.2768735095222,5.9631322259076995,57.61606951129188,11.0,ok
0.75,6.0,160.69714738391693,273.49936812984816,19.77679314753677,15.200681741275318,11.0,ok
0.75,8.0,4.482823592845182,216.9782043211211,29.524690408747322,6.453476362408282,11.0,ok
0.75,10.0,24.178905648253917,65.39889795505322,18.840967813670062,6.139794142039655,11.0,ok
0.75,14.0,7.667994614135587e-7,16.87260861618778,101.28485157191872,0.23686161204998518,11.0,ok
0.8,2.0,118.08412980440376,350.9174261791814,3.821352727217723,41.56747807034194,11.0,ok
0.8,4.0,131.21164675177283,410.8279253731619,2.210746996655194,35.56015498142493,11.0,ok
0.8,6.0,134.32686926988652,291.72008205618516,10.054637927334847,55.0142218889039,11.0,ok
0.8,8.0,76.96175462999777,197.79651561480762,12.855040679226569,19.408114292031023,11.0,ok
0.8,10.0,160.7860381766999,242.71743077408456,6.0098441461855945,44.96151034710489,11.0,ok
0.8,14.0,0.0,102.91644902945622,10.80341289742634,6.513012769942004,11.0,ok
0.85,2.0,167.47438958286824,391.467830560684,12.943601545353884,34.697388738888236,11.0,ok
0.85,4.0,187.08661042825756,329.5604023026694,5.52722768691369,31.349242251867416,11.0,ok
0.85,6.0,129.2435644682616,262.8420293736834,17.443448096232693,24.255493001274555,11.0,ok
0.85,8.0,184.28627451994828,277.0551290064256,26.163415059547003,26.549060237493695,11.0,ok
0.85,10.0,2.0660480888855273,125.03166377367137,12.22076432576775,19.102006301370498,11.0,ok
0.85,14.0,107.21363666314673,164.5592375543385,11.513736541601371,12.836578953491456,11.0,ok
