# wind_sweep_triangle3_90s.csv — deliberate triangle3 (build_phantom_triangle), 90 s MPPT re-run
# git=dbc24b16af8b890c8e67d2071a89dabb64747be4  supersedes wind_sweep_triangle3.csv (30 s rows not converged at 11 m/s)
# protocol: settle(seed k) -> kick omega=30 rad/s -> 30.0s k=0 -> 90.0s MPPT, checkpoints 30/60/90 s, 1 Hz window stats t in [30.0,90.0] s
# CAVEAT: no rated-power curtailment modeled — quote nothing above ~50 kW without the 'no power limiter' caveat
# geometry_fingerprint
# n_lines=3 n_rings=22 tether_length=67.08m
# r_hub=2.9879m r_bottom=2.9879m taper=none
# blade_scale=0.85 hub_disk_radius=4.25m
# rotor1: ring=20 n_blades=3 tip=2.37m chord=0.383m span=3.386m area=3.886m² bank=18.0° mass=0.33kg
# rotor2: ring=17 n_blades=3 tip=2.36m chord=0.381m span=3.371m area=3.853m² bank=11.0° mass=0.329kg
# rotor3: ring=14 n_blades=3 tip=2.366m chord=0.382m span=3.379m area=3.871m² bank=4.0° mass=0.33kg
# total_blade_area=11.611m² total_blade_mass=2.965kg n_rotors=3
# swept_hub_disk: r=4.250m area=56.75m2 eff(cos^2.65 elev)=38.76m2
# swept_rotor1: r_tip=2.370m r_hub=-1.016m annulus=14.41m2 bank=18.0deg eff=13.70m2
# swept_rotor2: r_tip=2.360m r_hub=-1.011m annulus=14.28m2 bank=11.0deg eff=14.02m2
# swept_rotor3: r_tip=2.366m r_hub=-1.014m annulus=14.35m2 bank=4.0deg eff=14.32m2
# swept_total: raw=99.78m2 effective=80.80m2  betz_ceiling@15m/s(hub-height,no shear)=99.0kW
blade_scale,k_mppt,wind_ms,P_30,P_60,P_90,P_aero_30,P_aero_60,P_aero_90,omega_30_rpm,omega_60_rpm,omega_90_rpm,fos_90,fos_min_window,T_max_window_kN,P_min_window,P_max_window,drift_60_90_pct,verdict,git,status
0.85,4.0,5.0,0.0,3.5539855875506704e-8,5.008837413375332e-10,2.572388516583837,0.11980063430873497,0.46028833377294276,9.64080003325478,2.996609375447112,-2.030725792692187,288.9171166704815,61.44537480863974,0.9395874275729028,0.0,2.3068748571101673e-6,3.503897213416917,converged,dbc24b16,ok
0.85,4.0,7.0,0.0,9.991329149532154e-7,9.56784779101214e-9,0.17321939971408618,0.023664492523984025,0.31427848551320736,-0.3314884950478192,0.45151690595565447,3.6718993324605864,286.40074776706723,16.809957017421837,7.475663599536784,0.0,0.010104082912644112,98.95650671622033,DRIFTING,dbc24b16,ok
0.85,4.0,9.0,127.88095424140657,111.40033862558508,0.7256476990329996,104.33188207607037,92.82263636298268,93.45798997237878,301.93882670700924,297.95125416968403,22.361603205694344,10.10775415957888,1.2229358234578211,75.75930915302229,0.7256476990329996,183.58968292523252,99.3486126631339,DRIFTING,dbc24b16,ok
0.85,4.0,11.0,107.11374991441588,187.08661042825756,127.48568702254025,214.06889132568733,138.10047187153543,209.34543207613171,252.18645109512119,329.5604023026694,315.63657115072925,18.64916484249688,1.2163527726921906,92.08874523112185,86.31138960525969,331.37317172979994,31.857396565839537,DRIFTING,dbc24b16,ok
0.85,4.0,13.0,211.32578593447823,270.70000434949634,207.28313889979935,346.5968181298829,346.37581509431465,71.75602621699551,365.58396992556715,379.0197877781517,369.95942047790555,1.6825194948936364,1.6825194948936364,84.57977474761189,151.19485464875567,427.94249844555395,23.42699092380527,DRIFTING,dbc24b16,ok
0.85,4.0,15.0,431.3977901708601,301.8877478176638,456.68430416863805,504.06634213188784,532.4086285331462,482.2714788442946,444.20729464748075,428.3924524274165,490.2308612551322,2.3903956360180003,1.7046639447303642,115.47205788686193,215.88490990758845,559.2037899509853,51.276197020247835,DRIFTING,dbc24b16,ok
0.85,8.0,5.0,0.0,1.2321885311046738e-6,5.039666430212449e-5,2.672476250458652,0.09571037933823869,0.16477147860310531,9.205682617180624,5.404976246972666,8.933596802535316,236.68092291734015,53.09685055491728,1.9615841215346936,0.0,0.00012417352883185924,3990.0124477658624,DRIFTING,dbc24b16,ok
0.85,8.0,7.0,0.0,4.152453367374384e-7,0.0,0.15701725625355573,0.12089933395620342,0.15292367441536658,0.3851001720868389,0.604053277886315,-5.676641322542677,147.84697623040617,62.85281328514639,1.288567669492617,0.0,0.1172792680434582,41.52453367374384,DRIFTING,dbc24b16,ok
0.85,8.0,9.0,44.04294039645355,8.406640978032739,40.38176349670395,74.54585775160746,33.115262832496754,68.9003015119363,185.98835003234532,80.81108874224363,171.19868480635975,32.54693562491348,3.6110581652930014,80.15299919495459,0.003780193263559269,93.75145028822665,380.3555141967511,DRIFTING,dbc24b16,ok
0.85,8.0,11.0,85.88381379965,184.28627451994828,202.3355412402532,118.37854598512018,176.0564599649566,154.9742703275201,97.22811530667326,277.0551290064256,281.7675823724939,21.753813005998023,2.3834699448416976,97.64887487262419,85.88381379965,287.4955478898924,9.79414596519567,DRIFTING,dbc24b16,ok
0.85,8.0,13.0,182.55469164208057,192.24702396713133,172.95902243648618,244.2326775726198,262.79946138428477,348.0958451091737,266.5648949396349,290.2070701382292,272.5922570938169,9.569192242685743,2.3334243546710414,91.07381777204544,142.79871407310605,438.9805087482058,10.032925936966825,DRIFTING,dbc24b16,ok
0.85,8.0,15.0,361.67430002435293,290.3873142243904,449.608531125017,408.0010931883236,412.6354201654003,359.4331981978048,337.46567026887726,324.62093316879134,358.8392882572109,12.941979580931054,3.365371910216282,76.16474827588452,189.9576246836147,585.5665662271426,54.830637945014324,DRIFTING,dbc24b16,ok
