# wind_sweep_triangle3_90s_induction.csv — deliberate triangle3 (build_phantom_triangle), 90 s MPPT re-run
# git=de37cbee936dd3d522b7ef8bd9b0d1affb77b4e2  supersedes wind_sweep_triangle3.csv (30 s rows not converged at 11 m/s)
# protocol: settle(seed k) -> kick omega=30 rad/s -> 30.0s k=0 -> 90.0s MPPT, checkpoints 30/60/90 s, 1 Hz window stats t in [30.0,90.0] s
# CAVEAT: no rated-power curtailment modeled — quote nothing above ~50 kW without the 'no power limiter' caveat
# geometry_fingerprint
# n_lines=3 n_rings=22 tether_length=67.08m
# r_hub=2.9879m r_bottom=2.9879m taper=none
# blade_scale=0.85 hub_disk_radius=4.25m
# rotor1: ring=20 n_blades=3 tip=2.37m chord=0.383m span=3.386m area=3.886m² bank=18.0° mass=0.33kg
# rotor2: ring=17 n_blades=3 tip=2.36m chord=0.381m span=3.371m area=3.853m² bank=11.0° mass=0.329kg
# rotor3: ring=14 n_blades=3 tip=2.366m chord=0.382m span=3.379m area=3.871m² bank=4.0° mass=0.33kg
# total_blade_area=11.611m² total_blade_mass=2.965kg n_rotors=3
# swept_hub_disk: r=4.250m area=56.75m2 eff(cos^2.65 elev)=38.76m2
# swept_rotor1: r_tip=2.370m r_hub=-1.016m annulus=14.41m2 bank=18.0deg eff=13.70m2
# swept_rotor2: r_tip=2.360m r_hub=-1.011m annulus=14.28m2 bank=11.0deg eff=14.02m2
# swept_rotor3: r_tip=2.366m r_hub=-1.014m annulus=14.35m2 bank=4.0deg eff=14.32m2
# swept_total: raw=99.78m2 effective=80.80m2  betz_ceiling@15m/s(hub-height,no shear)=99.0kW
blade_scale,k_mppt,wind_ms,P_30,P_60,P_90,P_aero_30,P_aero_60,P_aero_90,omega_30_rpm,omega_60_rpm,omega_90_rpm,fos_90,fos_min_window,T_max_window_kN,P_min_window,P_max_window,drift_60_90_pct,verdict,git,status
0.85,4.0,5.0,0.0,0.00023707571647492407,0.0006432733076244692,0.05962434770809866,0.0942351168863794,0.3033937790610528,2.8598021355469783,-0.537305825164367,3.742696660834362,302.6716050970537,31.284620424278085,0.8684327445647594,0.0,0.006175225775533785,171.33665024376688,DRIFTING,de37cbee,ok
0.85,4.0,7.0,2.436425784141971e-6,2.2040674258433573e-5,0.0006578564321604606,0.4802735281483335,0.36710575912985227,0.572809181194408,-13.108747330428239,7.782160650861426,5.2372145524153275,219.67988272324564,19.96774553218516,2.91586089363047,0.0,0.003340471564074065,2884.7382364391165,DRIFTING,de37cbee,ok
0.85,4.0,9.0,2.0383044061484643,0.03315368629910943,0.0,12.813655708379526,1.0697916226129096,2.8380341383872114,51.12411496210921,12.75940744536734,15.337900204718878,118.03667010743465,6.808474524452932,23.37329022259065,0.0,2.0383044061484643,100.0,DRIFTING,de37cbee,ok
0.85,4.0,11.0,3.9166589116476827,3.163590380903534,4.83105417793012,19.519658651010243,27.00684044786754,25.707408492757672,101.58899395434364,132.45803743073355,122.89451964741198,29.521569783606743,5.388590509954516,20.598043613094152,2.245784083310304,9.64605437156937,52.70795508457551,DRIFTING,de37cbee,ok
0.85,4.0,13.0,11.046966388657605,2.4126436772113444,12.557667968836626,23.143037867128605,37.45259652208961,24.75184959938025,126.6465695293693,161.12936037937428,123.51403800624742,24.355069795401672,3.159815850144901,36.72076102086575,0.0005192009513473305,12.96864718969952,420.4940989608302,DRIFTING,de37cbee,ok
0.85,4.0,15.0,8.512690936179588,22.459839927572624,7.951704507624901,59.27506248809668,34.88740829365035,18.061948349026448,169.21632613666264,141.520401080647,152.59752195290372,375.0960067031563,5.46805903718387,26.59890598891427,0.15355356551560193,34.23620348626161,64.59589857600427,DRIFTING,de37cbee,ok
0.85,8.0,5.0,0.0,0.00035970561442939255,0.00031490618039524496,0.3540755015179294,0.23122628331945172,0.22408500236748785,-2.231286345837002,2.512096567218139,2.4899051794330935,322.7124663197326,19.924403211352185,1.4258562730418232,0.0,0.005219575419396768,12.45447172272074,DRIFTING,de37cbee,ok
0.85,8.0,7.0,0.0016559138675316966,1.9468433089203627e-5,0.0,4.477006683366039,0.030253032894724863,1.6289177891842384,6.044175253709342,1.6277329530175555,-17.88729689245555,179.71875584755915,18.73656748435983,3.0786113369921266,0.0,0.7198001335513254,100.0,DRIFTING,de37cbee,ok
0.85,8.0,9.0,2.3190071338921756,1.2036231694546147,2.9331099586193625,8.27605139604232,13.28667939967512,12.075798369789581,91.03840783908547,42.32230779556163,43.90207749316324,24.77034813188301,4.039870453992703,26.122635544252603,0.0,7.391361488473425,143.69005458314768,DRIFTING,de37cbee,ok
0.85,8.0,11.0,0.09367535422172625,0.06107668179257783,0.0,20.43352089058798,7.569827811639283,1.4091499022300837,92.24204965954769,19.76299747969763,-4.227536113597426,193.3255711283351,2.865247463966069,31.412796243152364,0.0,14.793913853705499,100.0,DRIFTING,de37cbee,ok
0.85,8.0,13.0,12.589519060593078,12.385119262948283,8.903405797542264,30.93081398654635,33.64300257600873,9.45728535684863,110.02159982791538,42.93467880477743,44.5378798397195,29.645752911243566,2.4500375555862264,65.10244175644534,0.0,33.05019294418925,28.112070554072282,DRIFTING,de37cbee,ok
0.85,8.0,15.0,27.89695714403129,32.0561145534857,12.804215653026086,44.89914856841218,53.88344043028432,29.179988296609107,132.61001069071548,144.55965472160528,188.58687833990507,13.489318904810188,2.8830902932690328,64.79653547672159,0.5696548188357388,47.35738970550217,60.0568695508552,DRIFTING,de37cbee,ok
