v_wind,k_mppt,P_kw,ω_rpm,min_fos,collapse_margin_deg,max_twist_deg,T_max_kN,reached_rated,status
5.0,240.74819522279444,1.6993037579507797,189.15991222297438,Inf,Inf,0.0,0.0,false,underpowered
7.0,115.91938700606549,8.228041973196818,392.2524652829781,Inf,Inf,0.0,0.0,false,underpowered
9.0,115.91938700606549,28.247246510557215,589.0308906626151,Inf,Inf,0.0,0.0,false,underpowered
11.0,16.423672406928894,159.47486147551226,204.03691764836995,1.9702056365920417,45.331121631176124,5.150226813076656,32.00306915959579,true,ok
13.0,4.514332641748613,125.51471898236365,290.2320352365164,2.2477157460615755,44.59775432270007,5.883594121552711,53.14695705658299,true,ok
15.0,2.0,110.91147063375121,376.93886058187246,7.177531107404153,42.255163701879745,8.226184742373036,81.39905219933482,true,ok
