# script:hunt_gate2 @ a6f7c56 · builder:gate2_reinforced · date:2026-07-06T23:20:42.595 · gate2:true · spokes:7mm_SWL19.8kN
v_wind,k_mppt,P_kw,P_windowed,ω_rpm,min_fos,cm_deg,n_spokes,max_T_spoke_N,min_fos_spoke,spoke_drag_kW,tip_mach,stability
5.0,12.9400270199972,14.783268153351935,15.193892995526507,99.89569635354906,37.43432464108784,47.20513183905612,0,0.0,Inf,0.8801327755466061,0.16731070506203818,ok
7.0,12.9400270199972,38.300293589129225,39.546615876172766,137.28239231656147,14.300743017390657,46.952190448624734,0,0.0,Inf,2.2842959741372604,0.22992796175919744,ok
9.0,12.9400270199972,74.78151491126017,80.79983294065126,172.17583733998086,9.469231837365943,46.565552698268746,0,0.0,Inf,4.506345330693405,0.28836938718607324,marginal
11.0,26.87460856772399,121.16911944656647,127.55712450341323,158.3318686399354,4.115552906189019,44.56274802266858,0,0.0,Inf,3.504393534177173,0.26518276104890937,marginal
13.0,26.87460856772399,196.07923678570023,207.20840450601835,185.67957900908831,3.311914844241012,44.48026544867587,0,0.0,Inf,5.6519757080643895,0.3109861827248705,marginal
15.0,26.87460856772399,300.98950448722337,312.38089417961294,213.04957717682788,2.261444411221133,44.192581229567175,0,0.0,Inf,8.537876887212699,0.35682693320909803,marginal
