node_id,type,x,y,z,vx,vy,vz,tension_N
1,ring,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,rope,1.2273549132074937,0.02009276544110391,-0.3645939268599272,-0.05996726546612251,3.0866414562778446,-0.013144562000487645,64.2983270061943
3,rope,1.680233763492659,0.008108986513050096,-0.1527502471934932,0.03825319165394263,3.0774664687709525,0.017826886671051187,64.2983270061943
4,rope,2.131050426654963,0.005029387266093478,0.06359203218576448,-0.049530261847909686,3.068621516981131,-0.03909751243160163,64.2983270061943
5,rope,0.6752732728311652,0.9625097746944248,0.03997380151532187,-2.37008711019578,0.9299033110260821,1.74580526405601,15.58039835238364
6,rope,1.1281982486325903,0.9794732796527723,0.25129663799062335,-2.337634195825508,0.9416832273986296,1.7479781567137667,15.58039835238364
7,rope,1.5779806860581875,0.9748070182726071,0.4697944484851983,-2.3623277685700126,0.9537375328588382,1.7224894454950301,15.58039835238364
8,rope,-0.21297121033616734,0.5702259544105297,0.6914115721805771,-1.433309636758801,-2.512491833594641,1.0792109679682733,0.0
9,rope,0.2302080573541374,0.585529429150064,0.922559636944596,-1.4391692640489724,-2.4956612787081163,1.0834112556265507,0.0
10,rope,0.6764830385672275,0.590665827413363,1.1481309006190672,-1.4450312962720444,-2.4788357746002747,1.0876162622050316,0.0
11,rope,-0.1868052768022064,-0.6112969158353904,0.706092293015225,1.484841017102191,-2.482689450592731,-1.078583044169737,0.0
12,rope,0.2519067801963817,-0.6168993770873168,0.9455642329455557,1.470185632057008,-2.4843463395503003,-1.067734252450055,0.0
13,rope,0.6902769729697917,-0.6170064360475944,1.183069801773402,1.4555306074832026,-2.486005954439875,-1.056886170247129,0.0
14,rope,0.6964755346702332,-0.9498083276751478,0.045391842182525954,2.3411520197320184,0.979021328096084,-1.7508051179579174,14.08318339645563
15,rope,1.137053263782986,-0.9802833358330357,0.28001412267913667,2.351756579252329,0.9601671612034707,-1.7412610336778993,14.08318339645563
16,rope,1.5791174953190847,-0.992181088074992,0.5134877923470631,2.3402040077423143,0.9425200857223494,-1.7431712879074737,14.08318339645563
