island,mass_kg,fos,feasible
1,10.587222895183208,1.8000000000000007,true
2,10.587222895183208,1.8000000000000007,true
3,10.587222895183208,1.8000000000000007,true
4,10.587222895183208,1.8000000000000007,true
5,10.587222895183208,1.8000000000000007,true
6,10.587222895183208,1.8000000000000007,true
7,10.587222895183208,1.8000000000000007,true
8,10.587222895183208,1.8000000000000007,true
9,10.587222895183208,1.8000000000000007,true
10,10.587222895183208,1.8000000000000007,true
11,10.5872228951832,1.800000000000002,true
12,10.587222895183203,1.8000000000000005,true
13,10.587222895183203,1.800000000000002,true
14,10.5872228951832,1.800000000000002,true
15,10.587222895183203,1.800000000000002,true
16,10.5872228951832,1.800000000000002,true
17,10.5872228951832,1.8000000000000005,true
18,10.587222895183205,1.800000000000002,true
19,10.587222895183205,1.800000000000002,true
20,10.5872228951832,1.800000000000002,true
21,70.78322113919116,1.8,true
22,70.78322113919116,1.8,true
23,70.78322113919117,1.8,true
24,70.78322113919116,1.8,true
25,70.78322113919116,1.8,true
26,70.78322113919116,1.8,true
27,70.78322113919116,1.8,true
28,70.78322113919116,1.8,true
29,70.78322113919116,1.8,true
30,70.78322113919116,1.8,true
31,79.51342288746577,1.8,true
32,79.51342288746577,1.8,true
33,79.51342288746577,1.8,true
34,79.51342288746577,1.8,true
35,79.51342288746578,1.8000000000000016,true
36,79.51342288746577,1.8,true
37,79.51342288746577,1.8,true
38,79.51342288746577,1.8,true
39,79.51342288746577,1.8,true
40,79.51342288746577,1.8,true
41,79.51342288746574,1.8,true
42,79.51342288746574,1.8,true
43,79.51342288746574,1.8,true
44,79.51342288746574,1.8,true
45,79.51342288746574,1.8,true
46,79.51342288746574,1.8,true
47,79.51342288746574,1.8,true
48,79.51342288746574,1.8,true
49,79.51342288746575,1.8,true
50,79.51342288746574,1.8,true
51,749.4976337048095,1.8,true
52,749.4976337048095,1.8,true
53,749.4976337048095,1.8000000000000005,true
54,749.4976337048095,1.8,true
55,749.4976337048095,1.8000000000000005,true
56,749.4976337048095,1.8000000000000005,true
57,749.4976337048095,1.8000000000000003,true
58,749.4976337048095,1.8000000000000005,true
59,749.4976337048095,1.8000000000000005,true
60,749.4976337048095,1.8,true
