island,iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,1000,0.01634764036427697,0.018011886554563372,0.9971720883431293,0.0,7.1438837404651,4.999545478236621,0.8678188298204755,3.0747541462174923,-0.045864824043841804,11.728529964485896,34.53876573583593,0.021172436772510028
1,2000,0.01634029763655298,0.03052155163563644,1.000008565165485,0.0,7.104483574043018,4.999997897202376,0.8932637098263594,3.109847970677311,-0.029396027080020325,11.842432707817416,35.0,0.021657144817195592
1,3000,0.016340438861467,0.03059879678635639,1.0000000752754794,0.0,7.104266227795264,4.999999992831588,0.8434559558390915,3.0,-0.029302815663292958,12.0,34.99996596400872,0.021659538538947757
1,4000,0.02257755271539218,0.012472644639071443,0.4463760096196593,0.0022782082637068622,7.2687742218251215,5.0,0.8594407994645933,3.0600467748752482,-0.08036269853273104,11.779028483051608,30.917961754845187,0.02
1,5000,0.016344409731007002,0.028112160283146947,0.9995903616702685,0.00018054197448262683,7.109628675150601,4.99999640789959,0.8673604064488576,3.137663044457864,-0.03170277557905681,12.0,34.92540789462671,0.02158992270609934
1,6000,0.016340764642898613,0.030586039330867922,0.9999685415310985,4.6403540536532475e-7,7.104267875760603,5.0,0.8936024401785381,3.0473937510006417,-0.029298714157267747,11.522453119783222,34.999976629213066,0.02165972075433108
1,7000,0.07021756690585564,0.011193956670579281,1.2408237897951513,0.3602620332789019,5.396543945697816,1.3527557876057692,2.023666091676164,3.0,-0.033884153803903874,12.0,20.707396035781294,0.09611137606384455
1,8000,0.016405748207634775,0.01858382236078106,0.9938247575077646,0.0,7.124075669931884,4.999572387798508,0.8559001978420843,3.0637520442620816,-0.03702869781956377,11.877258635952407,34.29024729687126,0.02134946741071763
1,9000,0.016339205465088436,0.030504157782544408,1.0001261964130856,0.0,7.104739319006456,5.0,0.8811255509552818,3.2768430836568383,-0.029466473457594396,11.987296115370953,34.99281883038165,0.02165405555144357
1,10000,0.01634046548659414,0.030597891125515402,0.9999982205156969,0.0,7.1042607270911,5.0,0.8881656421544057,3.4237689395286464,-0.029300386046764295,11.956106660645746,35.0,0.02165961079275896
2,1000,0.01638622687098885,0.01286004197514098,0.9992300103085417,0.0,7.132009559894217,5.0,0.8786339239656334,3.2290439199070917,-0.03271568726163113,11.521688571964653,35.0,0.021523414271200754
2,2000,0.016344690027297357,0.0305652798992369,0.9994273752224929,0.0,7.10461712138803,5.0,0.8552751254616325,3.2592226262724564,-0.02943539997128221,11.908377180457636,35.0,0.021655719739779315
2,3000,0.016340460172520006,0.030598596973234825,0.9999977922271358,2.671850948200547e-9,7.104264692007522,4.9999999272543105,0.8659432770555735,3.2338072511929465,-0.02930233582713064,11.73472293497491,34.99996790474898,0.021659553444903404
2,4000,0.015954503485526527,0.02466254561774022,1.022977870380024,0.0,7.253012803441592,5.0,0.8294043065656951,3.21018785772162,-0.09369445319812297,11.681357911336155,34.7409604552464,0.02
2,5000,0.01610632441156442,0.031037305958287575,0.9999990806534268,0.0,7.255598871371836,4.999999647937556,0.8697423103961223,3.0,-0.09469446885000643,12.0,34.99692380250935,0.02
2,6000,0.010603207008669806,0.11724917970549263,0.43625315346215937,0.0016171475955992533,7.197948007147255,5.0,0.8557974357709958,3.1930749053584617,-0.07536895184101244,11.757548445987224,29.909564635610298,0.02
2,7000,0.010603207008669806,0.09050239487774954,0.7247428533007458,2.5381549792752823e-6,7.250180973642573,4.999996685721356,0.8324047218931097,3.212185783422067,-0.09695962866817069,11.949074511151583,34.99687527621573,0.02
2,8000,0.010603207008669806,0.0830880511744512,0.8476070945563485,0.0,7.24972890359797,4.999999296030186,0.8841935192872646,3.087191262221977,-0.09649103296310743,12.0,34.930488507529276,0.02
2,9000,0.010603207008669806,0.07517426820287317,1.008001009092953,0.0,7.250994931386782,4.9999980614924215,0.8314533757653892,3.4722543441863283,-0.09654135406440922,11.924357177620653,34.98998030994879,0.02
2,10000,0.010603207008669806,0.07384292095983752,1.038893364982829,0.0,7.251062635842736,4.999999935108542,0.8640124715405091,3.2835234444893193,-0.09658336811390018,12.0,34.9975462437532,0.02
3,1000,0.024343132798477968,0.01796380943506011,0.32814280917493,0.0,7.223529507654435,5.0,0.8537343868440243,3.013735593446277,-0.07319598261816604,11.70240136835927,34.767466783493845,0.02047918307984732
3,2000,0.01723832576635543,0.027174640733227503,0.8967458878250751,0.00016837504105170526,7.104364870566152,4.999730726391851,0.8425552103149458,3.2704483133559235,-0.029517472571917294,11.60217614375895,34.9977780945239,0.02165993718573407
3,3000,0.016342650888970457,0.030529971258089,0.9997002077159242,1.975780700573819e-5,7.10461532984157,5.0,0.8487001829009926,3.0,-0.029456977646670428,11.914488891834237,34.99868341808397,0.02165537153177441
3,4000,0.016340436671355416,0.0305981640702605,1.0000015681491583,1.5182503788508723e-8,7.104262173233745,4.999999959211923,0.867147982594448,3.121501923207033,-0.02930118193091931,11.543452943033664,34.99998647751016,0.021659587363404086
3,5000,0.016548289366219198,0.028110145821682333,0.9748420839481906,1.2695281549272113e-5,7.1159742364293495,4.999383607141087,0.8419247824520332,3.070029880389005,-0.03211791060327461,11.576347512891573,34.63615147235932,0.02151303966236761
3,6000,0.01634024670830491,0.03055317822349998,1.0000145656768515,4.1735961216642855e-6,7.104450614638785,5.0,0.8451771695644943,3.0,-0.029385033066558888,11.812918128251603,35.0,0.02165751379017835
