island,mass_kg,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,24.397761455600033,0.01634046548659414,0.030597891125515402,0.9999982205156969,0.0,7.1042607270911,5.0,0.8881656421544057,3.4237689395286464,-0.029300386046764295,11.956106660645746,35.0,0.02165961079275896
2,24.500458505545232,0.010603207008669806,0.07384292095983752,1.038893364982829,0.0,7.251062635842736,4.999999935108542,0.8640124715405091,3.2835234444893193,-0.09658336811390018,12.0,34.9975462437532,0.02
3,24.39776713516838,0.016340441271414527,0.030592321602696787,1.000001120750906,0.0,7.104273048573015,4.99999999975518,0.8883007403447647,3.1506498618150363,-0.029305767465315692,11.683588979855678,34.999896887264356,0.021659446576322253
4,27.38203636084849,0.0190305326136818,0.02832048708389397,1.0111328695484627,0.010129351205039105,7.183945650951913,4.909121135951151,0.9012588299286505,3.0,-0.041766099085758845,11.994948637825832,35.0,0.02520694168290674
5,24.397940722706366,0.016338839985696737,0.030542603870129175,1.0002400238027687,4.98925896010598e-6,7.10427784964466,4.999990240599473,0.8374247548704231,3.2402973553740844,-0.0293005290415618,11.89560266397362,34.99803336784477,0.02165965908233555
6,24.397912236528164,0.01634033201298358,0.03055733439278848,0.999961354549127,0.0,7.1046591909488335,4.999999031839328,0.863196320122473,3.2039825282959433,-0.029465807869494473,11.850215630866664,34.999802698180034,0.02165519844169718
7,24.411838868530147,0.016459251318121888,0.029639992889614566,0.9850446823723217,0.0,7.114592300654096,5.0,0.8817532889362328,3.3953490598920704,-0.033652370972255145,12.0,34.42433658574825,0.021471643131531267
8,24.39779665844165,0.016340227389838285,0.03059163168316304,1.0000116451727983,5.142985108502644e-8,7.104363105794547,5.0,0.8468080969037604,3.0,-0.02934674674909802,11.922053441720895,34.99669819209839,0.021657922773896946
9,24.431153241850424,0.015922292442568542,0.018969228485047,1.0487094423751697,0.0,7.160786796589262,4.9996894279401625,0.8902991769981696,3.023830731643722,-0.05256943885059295,11.75341616938022,34.5513903172475,0.021000298032789723
10,24.42764956366942,0.01610625096370576,0.031040972469617616,0.999999833611019,1.3544195373923045e-7,7.255623741274324,4.99999999477814,0.8799458141790054,3.2143645584123473,-0.09470681804602359,11.594109966605137,34.999525681698415,0.02
11,24.39784694246093,0.016339746018235998,0.03047652213918575,1.0001338660676171,0.0,7.104284908792799,5.0,0.8698382938094573,3.461874750943902,-0.029308580567019914,11.612477914181468,34.9996484484469,0.02165939194956082
12,24.397763566169623,0.01634048510104849,0.030597867289870524,0.999996421054964,0.0,7.104259271210381,5.0,0.8585731821368969,3.0,-0.02929921334749511,11.881553676427552,34.99999737332338,0.021659641462587358
13,24.397761742457583,0.01634046193845285,0.030598340309536027,0.999998274545366,0.0,7.104261961554311,4.999999946534466,0.8319109870628616,3.2236316481424114,-0.029300987670317146,11.764335374652473,34.99996837029454,0.02165959024500179
14,24.45053048207837,0.012669471712824829,0.05211393196843356,1.0066795431560571,2.811867214765118e-6,7.097748680428324,5.0,0.8758297234654108,3.083483434918465,-0.029154282721823282,11.962936959558816,34.9989555638607,0.021696186403066278
15,24.39776265028793,0.016340495309296835,0.030598640213047142,0.9999937877059704,8.187588632075509e-8,7.104263504171434,4.999999973317485,0.8751052891848391,3.0259390095503296,-0.029301839318281248,11.773282875187164,34.99999652158947,0.021659571891999824
16,24.39813136259413,0.016340770686445103,0.03043285460410776,0.9998568110186602,0.0,7.105230331772331,5.0,0.8803683280931885,3.167908322811719,-0.029676959469490477,11.749704067205554,34.99626783670405,0.021648934176345405
17,24.398536218116874,0.01633613741276638,0.030119366387193796,1.0006616130747705,0.0,7.1048773630239355,4.999995768871108,0.8370607722467155,3.0,-0.029523732547217733,11.723301297638088,35.0,0.021653128954360317
