tension_seg_5_line_4,tau_gen,tension_seg_1_line_5,omega_ring_14,omega_ring_4,tension_seg_1_line_1,tension_seg_3_line_5,omega_ring_1,omega_ring_5,backline_payout,omega_ring_12,tension_seg_8_line_1,tension_seg_11_line_2,tension_seg_4_line_2,tension_seg_13_line_3,tension_seg_10_line_1,tension_seg_5_line_2,tension_seg_4_line_3,tension_seg_5_line_5,omega_ring_6,tension_seg_12_line_1,tension_seg_8_line_5,tension_seg_13_line_2,tension_seg_2_line_4,tension_seg_3_line_3,tension_seg_6_line_1,tension_seg_6_line_4,delta_omega,tension_seg_2_line_3,tension_seg_3_line_2,delta_alpha_deg,tension_seg_12_line_3,tension_seg_2_line_1,tension_seg_2_line_2,tension_seg_9_line_3,tension_seg_6_line_5,tension_seg_15_line_3,hub_y,omega_ring_15,tension_seg_1_line_4,tension_seg_5_line_3,tension_seg_15_line_2,tension_seg_9_line_1,tension_seg_11_line_4,tension_seg_14_line_3,tension_seg_9_line_4,tension_seg_4_line_4,hub_z,tension_seg_3_line_4,tension_seg_7_line_1,tension_seg_2_line_5,tension_seg_10_line_3,tension_seg_13_line_4,tension_seg_3_line_1,tension_seg_13_line_1,tension_seg_12_line_4,tension_seg_9_line_5,tension_seg_12_line_5,tension_seg_8_line_2,tension_seg_10_line_2,omega_ring_9,tension_seg_7_line_5,tension_seg_15_line_1,omega_ring_10,tension_seg_6_line_2,tension_seg_11_line_3,tension_seg_11_line_1,tension_seg_1_line_3,tension_seg_14_line_2,tension_seg_11_line_5,omega_ring_11,tension_seg_1_line_2,tension_seg_14_line_4,omega_ring_3,tension_seg_13_line_5,P_kw,omega_ring_16,tension_seg_10_line_4,tension_seg_4_line_5,tension_seg_15_line_4,tension_seg_10_line_5,tension_seg_5_line_1,tension_seg_12_line_2,tension_seg_8_line_3,omega_ring_8,tension_seg_6_line_3,tension_seg_7_line_2,tension_seg_15_line_5,tension_seg_9_line_2,tension_seg_14_line_5,tension_seg_7_line_3,tension_seg_8_line_4,hub_x,omega_ring_2,omega_ring_13,tension_seg_4_line_1,tension_seg_7_line_4,t,tension_seg_14_line_1,omega_ring_7
2108.7419687739725,1021.9339758130352,2224.024080709249,9.498314112257923,10.871044849811119,2226.377497773704,2142.6999296204663,12.456504195727804,10.35163219022646,0.0,9.581936262777827,1943.1978236464015,1534.9227235609098,2130.135014789472,1070.3144258148457,1705.6547505028516,2108.9979916604048,2129.7976896552514,2109.1538672198662,10.081925635301648,1326.6008625354045,1943.1218270103614,1071.096303556059,2152.842154889733,2142.335548759265,2073.944881956365,2073.343820023547,-2.9584193037090465,2152.927696684674,2142.6942393381573,79.27959348602649,1324.4850196488342,2154.0710972409174,2153.687224987735,1838.7471531580127,2073.809482574037,438.1646931742368,-2.2191435115890583e-7,9.482032231973024,2220.6125569653673,2108.6456323281695,436.84202462769616,1839.8865208172579,1535.086914007819,770.9072595907704,1839.147812930008,2129.8448442588656,15.005818703128812,2142.3390655489084,2019.880257693254,2153.548815599054,1704.2969164656083,1071.7606139174168,2142.91943900325,1073.0257156617538,1325.5172955321007,1839.851980687608,1326.824957190736,1942.6396827280528,1704.8024284724083,9.757528916026562,2019.7716080862099,434.1311226499146,9.69287895158139,2073.5629009561844,1534.3484917449543,1536.016039403754,2220.8575465167637,771.5548237848677,1536.1175145277534,9.63493984993372,2224.4204801805536,772.2817824771145,11.777998623669156,1073.4362809985591,12.729724857471869,9.498084892018758,1704.8368156977376,2130.211312502789,436.2712522806789,1705.6760029518016,2109.312097983939,1325.1547020583635,1942.2187357175612,9.833609460808557,2073.19142411308,2019.4188888578597,433.778364640965,1839.2037000889832,773.7788451632397,2019.0250973634127,1942.5167174879523,25.991687713916406,12.972338051505838,9.534760745150558,2130.390647674775,2019.2430899766487,0.010000000000000023,773.3295610216088,9.93222647563241
1653.4528286140728,1010.5513073696569,1927.8898266415163,9.4300913567215,12.132120622277261,1929.485190665134,1789.1574910238055,10.902349907008485,11.430990115771468,0.0,9.487827138235534,1349.1434397201674,896.8459566865378,1726.30382449702,519.5090171107923,1064.1965787098952,1652.900956038913,1727.309593728053,1652.2923006958654,10.829749776954406,717.0194430567948,1349.1485612513854,521.5676681684618,1842.2696838787647,1790.394597721838,1566.2732652345587,1567.600881227078,-1.383385825103236,1842.2790943551267,1789.3549096000636,77.83838849774745,713.5818596802881,1841.0446448523776,1841.521978859381,1216.1593444642372,1566.4909040303128,139.45256889421395,-1.4001012763918717e-6,9.461886643943942,1925.067143396259,1653.8289977484594,143.51330597044708,1215.1263800653408,896.8937846870012,324.3340309082967,1215.6971755121317,1727.0541455314258,14.995512840328184,1790.2725865173384,1465.942090101261,1841.5067523726732,1064.5523183707587,524.1332962690008,1788.5903347460508,527.4642388827107,715.3574938655247,1215.0587681653435,717.4820338703049,1350.0148946607253,1064.4707814841556,9.853149659985375,1466.0457946561892,155.36247900117434,9.692416547607396,1567.248734776411,896.5106996563356,897.4362415838553,1924.9179978943132,327.04603947718005,897.4658008890284,9.572688224103423,1927.648505095502,333.1789611869303,12.716105062984095,529.0498721313522,11.017383951928883,9.51896408190525,1064.3285082110488,1725.890500000378,148.79216685000551,1064.10864896224,1651.9512241793036,714.6090038083681,1350.558604417636,10.07295053438649,1568.0692457483403,1466.8967285664794,158.62494442251113,1215.8065737612271,341.35732710133794,1467.590431270439,1350.0231814603765,25.976356560872528,12.771951972188068,9.438957467932104,1725.4267754304994,1467.0645258281972,0.019999999999999858,337.5670231463882,10.384631764203036
1310.2426468231808,990.217063008068,1602.129766969645,9.320530305112204,11.99675666302918,1602.646681980576,1459.4085957357147,8.538449197325246,11.706271127459726,0.0,9.358740228711364,1047.771693844542,771.7570016747031,1388.3035984506287,579.7794144949697,863.9886029422919,1308.9382059921122,1391.492500709137,1306.4505852141797,11.202782613215252,676.448884697944,1047.572568503334,581.2106462834248,1523.073032702814,1464.0462747741244,1222.331450935719,1226.3068628027384,0.9970718671400167,1523.444674624289,1460.7263629565737,77.60564712401008,676.3824476824988,1518.683499122624,1520.731798310921,960.8417694213806,1222.7512388108585,369.8220858144411,-5.563089101888812e-6,9.387228799075235,1601.3738068341197,1311.7800738136998,382.693600596867,956.8605276142332,770.7204780620035,478.66631754017277,958.9070156009166,1390.2712392216292,14.990095217023299,1463.2318539491375,1136.2972962439246,1520.1304666497383,867.1916022276878,582.5614993341369,1457.8601098320644,584.8772704613198,675.9775176545835,956.4464687645316,676.018578012821,1050.7749746476572,866.317866741849,9.883236259818405,1136.3774944107195,436.2363182650114,9.632570358803783,1225.6276350391747,772.1631390617093,770.0633325081038,1601.4235132763602,482.45786852391404,769.4227243322133,9.462391148738115,1602.2101935949065,492.04232879229926,11.805019967378854,585.7121395367387,8.454918086819,9.535521064465263,865.4023407695762,1386.3275459051808,415.4112293676489,863.4227750501045,1305.6443924111034,676.6737684061902,1052.4319739166262,10.230045927504719,1228.084565889312,1139.4977222071584,456.4555728373049,959.5769744433139,504.10046688559675,1141.555884577674,1050.4527844164197,25.971091122324243,10.899545131182332,9.312629583836399,1385.1114709045573,1139.6274849756794,0.02999999999999945,498.17706098038246,10.678977909276567
1163.7610906795728,976.1782738281495,1414.9868937627286,9.238060579479702,10.866502788467917,1414.5275305971575,1292.984530997015,6.877325862982482,11.14136513132172,0.0,9.26354973581841,933.5680547679337,728.8015060961277,1233.7629364140705,580.5518400757262,792.1879996301923,1162.1902331560607,1240.1686416555212,1155.493997499026,11.02240345237404,650.9162295080939,932.4375925689427,581.2352192616343,1353.2184164414368,1305.062086700908,1080.2190769913004,1088.4134626623509,2.6710623760120997,1355.2759928519235,1297.9521751328425,78.56463474651883,657.8850231500822,1342.4057415235984,1348.593431144237,873.3259214268303,1080.4607947051888,330.59596530748496,-1.5394581160903095e-5,9.346399196040789,1417.8168602505532,1167.8995510656755,350.13010279919695,862.439105795624,724.7523096065921,482.39262148607605,867.4543535023238,1236.5457753984033,14.985130902293067,1301.9919487186369,1006.1712894939739,1345.2641681737803,802.0152075207085,578.4902619533918,1290.487784576532,579.5959955964904,652.495341367071,860.7258953581193,648.1883653282497,941.5048902956682,799.6075796455877,9.906598316730017,1005.7047389727051,473.6143095426915,9.607131602964946,1088.0223595367306,730.5390729475176,721.9408422572693,1419.1065098777815,486.13286901667396,719.4382796706789,9.393605189967676,1417.0735978565874,505.95851364875534,10.089856076312262,577.8995160076266,6.713496089479928,9.548388238994582,796.0836601129308,1227.9009533757328,442.01265949251933,790.0100768210851,1154.5231432327764,656.9090861997424,945.2796382269224,10.280188110730588,1093.0867237721563,1014.0886771834347,530.3923483870435,870.2263577924534,524.2626893591556,1018.5153055226045,939.675783642031,25.967910341629263,8.830933170423826,9.212020084443303,1226.1810445918236,1013.3337908721908,0.03999999999999904,512.0101497750375,10.6840574415491
1100.6578209229922,967.6847593754659,1312.9543696996254,9.237758992188,9.404235689163823,1311.4485799636625,1210.6876382327812,5.770873086043948,10.063595240311434,0.0,9.248279079886977,871.4085229191107,678.3724396290319,1166.353303784,531.778492081587,732.5872083135779,1100.5382591199568,1175.8658666332199,1087.4458794476839,10.364581765800038,600.636048061634,868.6243411612404,533.6932572495837,1268.5176194163082,1232.686433789487,1016.3921530345376,1027.794624177598,3.790357005163412,1274.0785470742112,1221.9134228334933,80.29858877479631,610.6260628429006,1249.9802154533486,1262.621948612069,817.9968820958302,1015.5140214816062,265.76466848746327,-3.3633402892886935e-5,9.357172034392578,1322.9270553091858,1108.7492341296277,271.539176872909,801.0337021548345,669.2246207248346,426.9406192540695,807.7472089616153,1168.1844198144236,14.979796957026869,1225.748643917826,943.5744720617722,1253.6240112414437,748.7426401556004,535.2975180163955,1208.3172932827422,538.3956551366599,601.4117252651547,797.2632833483767,595.237492818407,884.1118875865112,745.5170377549996,9.869801912930058,941.7539542495944,434.35536830233605,9.597538218734181,1029.2154456834824,680.5071372013523,665.7705491959218,1327.5846883309287,428.712037264586,660.1167994511587,9.383115518340487,1320.490669045631,476.09210904225415,8.4277966646785,539.387136654279,5.58438593365479,9.56123009120736,737.8064306489345,1153.9242530902231,425.0141447261233,727.8217138861443,1087.3719848132337,610.146674310766,889.1787838167032,10.151349456651918,1036.2624544274647,956.2608259616102,529.1902133214414,813.8477743176425,508.2389115306561,962.280845158508,879.6070622543468,25.96505951726498,7.223447628433745,9.199976114232756,1152.7925389110026,953.3152167192638,0.049999999999998636,478.9581222053803,10.355942607259175
1074.3845143251476,961.7740444982079,1248.4480389995965,9.278606527263506,8.031695747202336,1246.7320367127702,1160.5498446228078,4.933891914436941,8.835989218995131,0.0,9.281600260492882,855.1993006939169,674.0069960986929,1135.9578216274201,534.3747896370435,721.7411876720075,1078.2168975001925,1148.587905521689,1055.0771817951954,9.416604707420285,599.7867658627194,849.6684880214596,537.1507621237167,1219.0259838302586,1197.0428459753753,993.0572491336833,1007.1812579764309,4.639604100874143,1229.6576129207233,1182.0543456700607,82.59216124775084,607.9333550095894,1192.6909982960585,1213.382056758813,809.1491080931141,989.5917938257809,233.31314963126573,-6.413334534438966e-5,9.386058163739888,1266.14277636374,1088.6853443697237,214.1978062999619,787.2014263671626,660.9162575409711,432.52127560217053,794.1755054479376,1134.382570501084,14.974596901887246,1183.752691854655,924.5621461891766,1196.1792442981416,741.2956601701537,538.4993018583006,1159.500175038641,542.9908880611846,598.0214897017222,780.6108854917638,592.9865612485687,873.457216968212,738.5075172753747,9.713900239860578,920.0760216938316,437.68178607421083,9.551175470711824,1012.7883346381209,675.0387950221188,659.2467377379539,1275.3625714931745,428.5446655095391,651.1560761734713,9.391717996090607,1263.3662936408605,492.50101286460426,7.076983642900345,543.8243248742049,4.745289181665022,9.573496015311084,726.2525990462925,1112.9725541848848,468.60103071899164,714.1670772618596,1057.445791902371,609.0243409110429,879.2104124754583,9.805234490282114,1021.5172421133068,943.4727730090353,594.8727550960656,804.8389894943039,525.5919217367992,950.6739999499141,864.5083833354893,25.963131375052733,6.034171183182423,9.242374632194098,1113.9461427773888,936.2142508171612,0.05999999999999823,486.06725699544216,9.732144866791348
1071.9798523224472,958.4163641953551,1208.3115947329766,9.3382354396508,6.885655260711364,1207.1180847750868,1133.373208325575,4.363029386374676,7.689266700508849,0.0,9.320050520161962,868.5152899531241,692.834576601403,1130.9755079613697,543.3724820775927,735.0594304773068,1082.6582538014502,1145.6030953897514,1046.5530069188594,8.39004132229526,608.476165835139,858.5121517218579,546.1179869263364,1193.778335266146,1185.746398060292,997.276576360537,1012.2369373956946,5.222177687155141,1211.476706458627,1167.4760557684824,85.29277609290997,623.6481357223914,1159.1823471541763,1190.0959439067196,829.7605508351277,989.4377370262252,185.66300302837374,-0.00010837179391122425,9.424681223669579,1235.2314161505374,1094.2935379708367,127.07212875624101,801.3310966067904,670.191848627302,421.28420500184393,807.5427789987588,1123.4410427734904,14.9692850358124,1164.670416990215,934.7298518114663,1161.458291802822,760.7056214072459,545.4072497258396,1135.1072664146243,549.8495517826938,604.3682465127505,789.9719931648724,594.9912363117413,893.7781023790589,758.8146363442222,9.409862557498547,925.8696896840278,409.2834371140894,9.421729953939655,1024.9199939642772,692.5701246021767,670.6197544358704,1250.6748325160843,405.7453014803396,656.6254250914917,9.371649397956254,1233.3003488837019,512.9663136728594,6.035270192890079,549.4102944356396,4.1815987613667085,9.585207073529817,738.1192087738789,1095.115465772351,504.04521409004724,722.2685948674463,1053.1528780364908,626.1869031152584,899.3883677362015,9.263721167461403,1034.1656818265942,960.9290774037057,642.1963919460931,825.9216469521313,554.0873868925883,968.260972936418,877.5931917775167,25.9613343220507,5.1716155048392105,9.303889595161081,1099.7722171202665,946.593509126306,0.06999999999999783,487.8269277691941,8.927330754549818
1077.1497784316828,956.8118834719501,1182.0134266274313,9.3913931241131,5.9916529592934715,1182.0931669649724,1116.1838979979664,3.976754350391768,6.726170416255986,0.0,9.325153977454578,894.5278144689182,723.7710779423425,1137.3346847777882,555.7657212231032,762.6405062844327,1097.5639610545973,1153.230996460085,1045.8027710002189,7.439301092392459,632.7078178151404,878.831262260304,558.2211048976645,1180.218777922903,1185.9090226740866,1011.4420192763628,1024.891696715854,5.6196879992225135,1205.7011080495854,1165.0288792024912,88.26838630967396,645.2448139203069,1138.8282283613712,1180.1215478566996,861.1504081095097,997.3982599434643,164.81830930932728,-0.00016728816866418183,9.459654751974464,1218.004554347571,1109.1389834252866,52.69904319829719,829.3180036393471,691.7689430154878,429.80218587966044,832.2075447210332,1121.0435347715454,14.963964423031918,1155.7224521297223,956.0460551003163,1138.8883233532592,791.4811479171744,566.2117824065218,1121.9359218965221,570.18461372014,624.0760683265447,812.5334012036677,616.3275729986274,925.9943758754832,791.835118589921,8.9703962327706,941.1211850972903,371.3589115226884,9.184078837322163,1047.6139548227825,720.8631877941407,696.4741956047973,1240.3271136760281,400.19258269881726,676.695196302418,9.284452905231564,1218.1335703612638,540.1166126747387,5.269433322345022,575.1230511515143,3.805005820103619,9.596442349614282,762.0677459861528,1085.2523766106174,552.6810907917328,744.2426470247683,1058.4200578722,650.5793813009304,929.7456577758215,8.604238461004377,1055.9259180466775,989.6137042594721,680.2673440817099,859.3646479354451,578.6839445049864,995.4351316262748,900.5977759992502,25.959487535720736,4.572974679442094,9.351629918741471,1095.3214142997028,965.4657451999232,0.07999999999999742,492.21412028066925,8.082558203134163
1083.8682792330508,956.5476071596063,1163.6238674666015,9.419823170722886,5.335333596809913,1165.8617900610832,1104.1197538495107,3.7304009044502413,5.978332148771241,0.0,9.26185744694462,922.9966094614466,751.8124071257258,1148.2451803391855,569.4685363897858,792.7665208074411,1116.118828921399,1163.976621230401,1047.4686117422289,6.647257427537049,653.3298246257544,899.1695126554034,571.4713885968142,1172.9530888285503,1191.6255439466847,1028.3828910907584,1037.9726631163471,5.876969873398054,1207.0503988108042,1169.1334772742218,91.42876249942782,663.5830961724231,1126.0883649800107,1178.0881675714431,894.151397491725,1006.3776599528467,138.43108901643876,-0.00023915879042542474,9.484788787933539,1208.5920541409532,1126.2950511411457,0.0,859.9030775617068,712.2416256808497,430.23716831393915,856.546688956694,1121.6511533038895,14.958583223328365,1151.4468342529742,979.8111322189483,1122.914483079772,821.5264134603194,577.156956723721,1115.0514832558088,580.3976016153603,639.4446083776068,835.3791340838978,633.1075394012821,961.9065410733707,826.0080544136343,8.446978796120371,956.7272732653295,308.9028929287317,8.84052853892962,1073.5759439638323,744.7890908600951,723.6060779768566,1238.6201866884264,381.38082904069614,699.1492763692725,9.103481590999545,1212.2128554614544,561.8114773645323,4.735158236403623,583.9114370199082,3.5683060588979094,9.607370777848296,785.5147185896516,1079.7583475709498,593.5633707711064,767.7393608204653,1067.4017458706478,672.1643711464869,962.1281543526111,7.926261528020531,1079.502386000408,1021.5988415899726,698.8578170337296,896.2256513926199,594.2750000235312,1024.3421788058647,923.3552069579758,25.95719432641992,4.1796261548581795,9.355201600009925,1096.1954506836846,984.2502018079795,0.08999999999999701,482.7732771075364,7.310958134408171
1086.7626449573063,957.1448149960049,1149.2345344070577,9.40539270658882,4.888169121857333,1154.1325840411505,1093.2734899233242,3.578766118584435,5.440707489814475,0.0,9.11043270002086,949.4609310768124,788.6796809136608,1158.6669656297452,586.53283290719,823.9750550986145,1132.5871916366107,1173.164960213377,1046.3721973208596,6.042969039484979,680.6352948358358,916.7951028103308,585.6475485148937,1167.170121743179,1196.9363115174435,1042.7984473284728,1046.1027929341233,6.039094938171667,1209.7662878387102,1174.0437752362272,94.706505519825,690.2467122173325,1116.5924382161577,1178.5098673522236,923.5683754814161,1012.0583808615997,143.83773545959474,-0.0003204987497078337,9.490462664217127,1202.0136834213658,1140.0446412054964,0.0,889.9378047818162,732.5577699225695,446.48967968548743,877.4846737652247,1120.248857990042,14.953326267755756,1147.0202315908216,1000.8281553318766,1109.5834985087356,852.2444236372077,602.7201566281984,1109.9763480682213,601.2877686160241,659.1386855139438,856.6986732160777,653.1982571243632,994.111045865975,862.5756244669793,7.911599733446862,968.8058051832381,252.87362946661247,8.427149658797417,1095.8382060673302,775.6943840360416,753.5695833054342,1239.528483339583,374.17217380529166,718.88313912137,8.828937442688025,1209.938286524959,599.2773642830257,4.3913367038239715,611.839036072588,3.4253974344864697,9.617861056756102,807.2578337900857,1073.043182561776,655.3234467360958,789.7854257960818,1074.6952906386564,703.5318404044464,989.0424318934671,7.313903311397197,1097.8802527822636,1049.4221017256066,722.6646060804619,931.2643584659902,621.3966125040018,1047.4343509410803,941.2592058904632,25.95452612016926,3.9452377753573207,9.291324107202808,1096.788708148672,997.6116834171883,0.0999999999999966,482.28675994688473,6.677431553570948
