n_slack,case,delta_alpha_deg,P_kw,tau_gen,backline_payout,omega_hub,t,omega_gnd,T_gnd_avg
0,Mode 1 Baseline,79.2863736836318,13.334399092436138,1027.1747648587273,0.0,9.498032451317856,0.010000000000000023,12.981626446274786,2246.0764982352484
0,Mode 1 Baseline,77.84155898451614,11.57713082430799,1015.5150261074717,0.0,9.518887168415377,0.019999999999999858,11.400255561637337,1947.3909258630163
0,Mode 1 Baseline,77.60336200361574,8.967454680777502,994.9554138570677,0.0,9.535489186795605,0.02999999999999945,9.012921137856877,1618.5796586245174
0,Mode 1 Baseline,78.55851312248033,7.206675071615901,980.8719541194124,0.0,9.548362297084411,0.03999999999999904,7.347212897004243,1430.9454001722445
0,Mode 1 Baseline,80.28990191642666,6.071995552099944,972.4132450828982,0.0,9.561203506933586,0.049999999999998636,6.244254264124412,1332.1397680072205
0,Mode 1 Baseline,82.58152805840716,5.229677096415796,966.5382666140342,0.0,9.573475311260049,0.05999999999999823,5.410729483827206,1272.3619257428227
0,Mode 1 Baseline,85.28080774325639,4.666118595904937,963.2251291404673,0.0,9.585189153574866,0.06999999999999783,4.844265846831407,1238.8783237883836
0,Mode 1 Baseline,88.25550693349257,4.290923656500092,961.6614372987171,0.0,9.596428417522818,0.07999999999999742,4.461989937491087,1219.8437098808317
1,Mode 1 Baseline,91.41529347662498,4.056256071371144,961.4309047400925,0.0,9.607358482445767,0.08999999999999701,4.218978245210131,1209.3910785664727
1,Mode 1 Baseline,94.69266493374354,3.915196520060517,962.051843469903,0.0,9.61785299255265,0.0999999999999966,4.069631534553575,1202.5026679071568
1,Mode 1 Baseline,98.0365463447286,3.8636034489610727,963.4676029849384,0.0,9.62782339227705,0.1099999999999962,4.01010209060602,1198.1618367614112
1,Mode 1 Baseline,101.40033608013859,3.875825339281616,965.3998819920835,0.0,9.637163681853849,0.11999999999999579,4.014735667135081,1193.9616749888341
1,Mode 1 Baseline,104.75199795336155,3.940136779943093,967.6894150467128,0.0,9.645673517859334,0.12999999999999712,4.0716956480844555,1189.3294738131433
2,Mode 1 Baseline,108.06515355015526,4.036097908810124,970.1134484614823,0.0,9.653269599647167,0.14000000000000018,4.160439085976009,1183.0626549504016
2,Mode 1 Baseline,111.3256823333779,4.154510872516787,972.5287536000427,0.0,9.659696373150524,0.15000000000000324,4.271864309551663,1175.4188153524042
2,Mode 1 Baseline,114.52011773693789,4.2890945332777894,974.8964819470839,0.0,9.665082034335352,0.1600000000000063,4.399538425568547,1166.5433171775032
2,Mode 1 Baseline,117.64154318872475,4.436519370449717,977.1875400915934,0.0,9.66945120284626,0.17000000000000937,4.5400899913581325,1157.1281867103362
2,Mode 1 Baseline,120.67924151105063,4.6019979548570165,979.5108924974994,0.0,9.67310878398379,0.18000000000001243,4.698261132270936,1147.8286544485404
1,Mode 1 Baseline,123.62446845073602,4.785117910908901,981.8752263230556,0.0,9.676128206963623,0.1900000000000155,4.8734480539124085,1139.0195007977377
1,Mode 1 Baseline,126.46391817306758,4.993611628904297,984.425104575337,0.0,9.678879186330677,0.20000000000001855,5.072617109920668,1131.0800612373423
0,Mode 1 Baseline,129.1863354623648,5.22161546344371,987.1039711309746,0.0,9.681375725499526,0.2100000000000216,5.2898333064763605,1123.6108688093052
0,Mode 1 Baseline,131.7797762469177,5.471984956999172,989.9865341224123,0.0,9.68387584614256,0.22000000000002468,5.5273327145301945,1116.577959357078
0,Mode 1 Baseline,134.23624096606977,5.73335609620386,992.9419426717085,0.0,9.686277139739648,0.23000000000002774,5.7741100962832945,1109.2396686240702
0,Mode 1 Baseline,136.55035803725968,6.004240007288952,995.9818107323451,0.0,9.688720629888953,0.2400000000000308,6.028463514684105,1101.5327910579458
0,Mode 1 Baseline,138.72175059652875,6.270737139245806,998.9467402346554,0.0,9.691063783860459,0.25000000000003386,6.277348818189037,1092.8155820098755
0,Mode 1 Baseline,140.7538581155547,6.53112368155637,1001.8404975768178,0.0,9.693405933159138,0.26000000000003,6.519125247335676,1083.3206723293995
0,Mode 1 Baseline,142.65376991167375,6.773937425842951,1004.5419156661965,0.0,9.695666717330132,0.2700000000000261,6.743309881052183,1072.7448144997602
0,Mode 1 Baseline,144.43142084180636,7.000239661899236,1007.0817301173905,0.0,9.697942669733184,0.28000000000002223,6.9510144534974865,1061.6092491065508
