t,k_mppt,P_kw,omega_hub,omega_gnd,delta_omega,min_fos,collapse_margin_deg,twist_deg,T_max_N,state
0.019999999999999858,550.0,0.16256239721636317,0.6707565380951582,0.6667833067143152,0.003973231380843045,87.2795609052501,47.72801426816736,36.05371825807709,2614.485473460949,IDLE
0.03999999999999904,550.0,0.16241930740468954,0.6749302000763143,0.666587611795835,0.00834258828047929,98.46137443521197,47.72904443335364,36.06078288857274,2581.8578084615197,IDLE
0.05999999999999823,550.0,0.16223506052656977,0.6792273332538353,0.666335459597094,0.012891873656741382,77.30390966381066,47.74172033345827,36.072937856643044,2489.030255487064,IDLE
0.07999999999999742,550.0,0.16202024724686137,0.683548548419045,0.6660412344008755,0.017507314018169517,63.75807028200609,47.77020105279556,36.090370601752966,2403.5580539439698,IDLE
0.0999999999999966,550.0,0.16180263102282966,0.687397556049246,0.6657429047749985,0.021654651274247483,44.90721003089056,47.81305912729255,36.112900954715606,2405.6063939025325,IDLE
0.11999999999999579,550.0,0.1616115730592198,0.6901080827477446,0.6654807632176132,0.02462731953013142,45.25326000994005,47.86896391821707,36.139550812557445,2450.8692142460163,IDLE
0.14000000000000018,550.0,0.16146550915439173,0.6917155415421126,0.6652802164878889,0.026435325054223635,44.23589296744111,47.94645965754592,36.16888829108222,2513.1776474135504,IDLE
0.1600000000000063,550.0,0.16137819663675554,0.6935618917726303,0.6651602780475262,0.02840161372510408,41.02564644541184,48.09786067851078,36.200170050694226,2603.989381044206,IDLE
0.18000000000001243,550.0,0.1613847927527235,0.6987037010063727,0.665169340433579,0.03353436057279369,31.856836441564628,48.193757541581164,36.23517867872472,2733.3820672604425,IDLE
0.20000000000001855,550.0,0.1615390727045479,0.7142606800103015,0.6653812348504948,0.04887944515980669,26.995686711146725,47.85089738564392,36.28081485915524,2907.5177809341194,IDLE
0.22000000000002468,550.0,0.1619087571648779,0.7495648138211773,0.6658884262749645,0.08367638754621287,23.459512446592335,47.20657645151814,36.3554815851984,3106.678031977035,IDLE
0.2400000000000308,550.0,0.16257636169810555,0.7931706463711584,0.6668023989046878,0.12636824746647057,19.666725171349245,46.49277610526719,36.47539868663193,3320.844195317188,IDLE
0.26000000000003,550.0,0.16366254761985727,0.8417125545900446,0.668284091074959,0.17342846351508556,17.110668211192877,45.897798609446525,36.64690496609746,3568.8572785773313,IDLE
0.28000000000002223,550.0,0.16534061899284944,0.8935601167933582,0.6705603547336275,0.2229997620597307,15.961774841320505,45.39265144419288,36.87392483005428,3815.049231585467,IDLE
0.3000000000000145,550.0,0.1678510686195142,0.9476608078481018,0.6739371396640736,0.27372366818402816,14.797203089165226,44.936666877051614,37.158503442908334,4063.6949140409833,IDLE
0.3200000000000067,550.0,0.17152973981483494,1.004410129675122,0.678825002356702,0.32558512731842004,13.559901600620297,44.507143906469025,37.50185108563231,4324.435055790517,IDLE
