island,iteration,fitness
3,1,120.11721679823131
3,2,51.28526384136907
3,3,51.28526384136907
3,4,51.28526384136907
3,5,51.28526384136907
3,6,51.28526384136907
3,7,51.28526384136907
3,8,51.28526384136907
3,9,51.28526384136907
3,10,51.28526384136907
3,11,51.28526384136907
3,12,51.28526384136907
3,13,40.26074212159498
3,14,40.26074212159498
3,15,40.26074212159498
3,16,40.26074212159498
3,17,40.26074212159498
3,18,40.26074212159498
3,19,40.26074212159498
3,20,39.757920229738914
3,21,39.757920229738914
3,22,39.757920229738914
3,23,37.970905988004695
3,24,37.970905988004695
3,25,37.970905988004695
3,26,37.970905988004695
3,27,37.970905988004695
3,28,37.970905988004695
3,29,37.970905988004695
3,30,37.2308129938906
