run_id,wind_speed,payout_duration,field_imu,damping_mode,active_winch,payout_base_m,mppt_stall,lifter_elev_deg,duration_s,d_tau_gen_rms,d_omega_rms,T_min,T_mean,T_std,slack_events,brake_time,brake_engaged,omega_hub_final,omega_gnd_final,time_to_omega1,max_payout_reached,peak_tau_gen,min_tension_before_brake,T_cyan_min,twist_max,fos_buckling_min,is_disqualified,disqualification_reason,smoothness_raw,tension_raw,composite_score
1,11.0,15.0,0,0,0,15.0,0,70.0,30.0,3477.209724403206,2.0359362002030985,0.0,2718.1421996361223,3159.698767116848,1500,17.47124000001525,1,-0.061595221675897115,0.0,17.48000000001492,14.999999999997222,2278.13325270744,477.59221896808515,954.9047746551408,0.6110036126734357,0.11166673897405395,1,ring_buckling,3478.2276925033075,-300000.0,-99999.0
2,11.0,15.0,0,0,0,15.0,0,85.0,30.0,14100.785946772672,4.439315536873041,0.0,1841.2705556276717,5240.410316497189,1500,8.967520000024878,1,0.1043808756595585,0.0,8.98000000002496,14.999999999997222,11458.656032844801,3.955168360109588,0.0,0.9255910005827417,0.02757405748816179,1,slack_sky_anchor,14103.00560454111,-300000.0,-99999.0
3,11.0,15.0,0,0,0,15.0,1,70.0,30.0,16957.563540161183,1.8793214500882198,0.0,2856.1090101111376,3288.4126895664303,1500,15.708720000069041,1,-0.07243547747618412,0.0,15.720000000069115,14.999999999997222,9472.29113375956,1605.2675069476184,954.9047746551408,0.8231668873815607,0.10674909510066692,1,ring_buckling,16958.50320088623,-300000.0,-99999.0
4,11.0,15.0,0,0,0,15.0,1,85.0,30.0,18918.788122232294,4.646863297139804,0.0,2017.4637712010729,5301.391274020035,1500,8.579400000022336,1,-0.39639986452415926,0.0,8.58000000002234,14.999999999997222,19901.511670619147,18.67741989616159,0.0,1.0350998952140884,0.025710526888079923,1,slack_sky_anchor,18921.111553880863,-300000.0,-99999.0
5,11.0,15.0,0,0,0,25.0,0,70.0,30.0,3326.5805886412554,1.98329846991441,0.0,2487.018236745543,2564.321381156681,1500,20.71235999989255,1,-0.12243006335710234,0.0,20.71999999989226,24.999999999994444,2392.6916993013065,1779.4778232789997,954.9047746551408,0.6349259609256066,0.11632224117658933,1,ring_buckling,3327.5722378762125,-300000.0,-99999.0
6,11.0,15.0,0,0,0,25.0,0,85.0,30.0,3601.181226276945,4.250286709683698,0.0,1220.4004183246807,3627.588750829034,1500,6.650440000009699,1,0.08099246465392358,0.0,6.660000000009761,24.999999999994444,3672.209977917558,3.176532888420686,0.0,1.0048888255775594,0.026861884544825937,1,slack_sky_anchor,3603.3063696317868,-300000.0,-99999.0
7,11.0,15.0,0,0,0,25.0,1,70.0,30.0,11124.23025388679,1.9813672899830521,0.0,2418.7848329364265,2507.6697463926434,1500,20.00127999991947,1,-0.16928983720928853,0.0,20.01999999991876,24.999999999994444,7874.564317384982,1707.68333293328,954.9047746551408,0.6349259609256066,0.11632224117658933,1,ring_buckling,11125.220937531782,-300000.0,-99999.0
8,11.0,15.0,0,0,0,25.0,1,85.0,30.0,3615.564494292382,4.2876799890746895,0.0,1700.3822586963006,4452.479605562436,1500,6.650320000009698,1,0.03433704245480297,0.0,6.660000000009761,24.999999999994444,3672.209977917558,69.69761315381724,0.0,1.0337757195501993,0.026861884544825937,1,slack_sky_anchor,3617.708334286919,-300000.0,-99999.0
9,11.0,15.0,0,0,1,15.0,0,70.0,30.0,4042.825337301439,1.8959302836841219,0.0,2800.1317228200096,3032.535737668836,1500,21.537639999861305,1,0.03003125915217618,0.0,21.539999999861216,14.962564161144705,2175.1918643802683,2044.0439481113078,954.9047746551408,0.6164623100676181,0.1674776486236368,1,ring_buckling,4043.773302443281,-300000.0,-99999.0
10,11.0,15.0,0,0,1,15.0,0,85.0,30.0,8880.53676514511,3.337201022818839,0.0,2863.1008144699817,4441.08370157854,1500,26.795679999662248,1,-0.03552102003677181,0.0,26.799999999662084,5.245736533391611,6140.148395585104,17.88600804964772,0.0,0.9709899506829771,0.047254572958807646,1,slack_sky_anchor,8882.20536565652,-300000.0,-99999.0
11,11.0,15.0,0,0,1,15.0,1,70.0,30.0,14163.814113016093,1.7730760127565788,0.0,2614.905446639449,2736.0571801452998,1500,18.27927999998466,1,0.02523762401252029,0.0,18.279999999984632,13.969547079962831,8469.594662944168,1663.6616986278207,954.9047746551408,0.8052902872420447,0.14449031781629687,1,ring_buckling,14164.700651022471,-300000.0,-99999.0
12,11.0,15.0,0,0,1,15.0,1,85.0,30.0,10330.602482458045,3.310397477129537,0.0,3303.241426162023,4745.000978130594,1500,29.787959999548967,1,0.5336342570625393,0.0,29.79999999954851,5.382978566628856,6140.148395585104,23.024337087015375,0.0,0.9709899506829771,0.047254572958807646,1,slack_sky_anchor,10332.25768119661,-300000.0,-99999.0
13,11.0,15.0,0,0,1,25.0,0,70.0,30.0,3306.93611708649,2.0008598015835095,0.0,2222.411206363554,2487.1369823989876,1500,21.202439999873995,1,-0.19054048550117475,0.0,21.21999999987333,24.931914160635927,2109.1973401757923,949.1430341045223,954.9047746551408,0.6302167588886292,0.14474213255603088,1,ring_buckling,3307.936546987282,-300000.0,-99999.0
