# v13_5kw telemetry  length=25.0  window=20.0  min_clearance=1.5
island,gen,idx,fitness,status,P_mean,P_end,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
3,10,9,0.654,ok,5.03,3.75,13.68,false,8.17,11,4,1,2.107,1.5,22.0,22.0,0.356,0.805,25.0,0.02846,0.013487,1.32,0.715826,2.107009,0.456302,3.760727,11.0,0.8,9.161053,22.0,22.0,0.355616,0.8049
3,10,10,-6.599,ok,6.94,6.6,56.35,false,9.47,4,5,1,1.193,1.193,0.8,7.4,0.104,0.894,25.0,0.009487,0.013063,1.316121,0.4,1.193162,0.715638,3.800971,4.0,0.080326,5.529054,0.794462,7.358952,0.1038,0.893656
3,11,1,-6.129,ok,6.54,6.13,69.73,false,9.42,7,4,1,1.587,1.5,13.7,0.2,0.104,0.929,25.0,0.020891,0.01066,1.32,0.53695,1.586599,0.720828,3.560791,7.0,0.8,2.706199,13.671057,0.230192,0.1038,0.929116
3,11,2,1.0e9,clearance_reject,NaN,NaN,NaN,false,-4.06,10,5,2,1.352,1.352,7.0,12.4,0.104,1.0,25.0,0.02846,0.011462,1.32,0.47741,1.352006,0.437322,3.549148,10.0,0.753885,7.68429,7.023795,12.435359,0.1038,1.0
3,11,3,1.0e9,clearance_reject,NaN,NaN,NaN,false,0.38,7,5,2,1.287,1.287,14.6,19.5,0.305,0.738,25.0,0.009487,0.013064,1.231436,0.542607,1.287033,0.861498,3.780284,7.0,-0.470658,4.600961,14.563952,19.513006,0.304558,0.738114
3,11,4,-6.201,ok,6.63,6.2,21.57,false,9.49,3,4,1,1.417,1.417,4.3,15.8,0.104,1.0,25.0,0.009487,0.013605,1.155311,0.4,1.417146,0.672801,4.1832,3.0,0.255816,7.713688,4.315397,15.825771,0.1038,1.0
3,11,5,-6.392,ok,6.82,6.39,31.99,false,9.49,3,5,1,1.303,1.303,0.0,0.0,0.104,1.0,25.0,0.009487,0.014698,1.32,0.4,1.303066,0.316228,3.818992,3.0,0.8,3.322351,0.0,0.0,0.1038,1.0
3,11,6,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.57,8,4,2,1.516,1.5,5.3,22.0,0.425,0.758,25.0,0.02846,0.011063,1.027891,0.627848,1.515775,0.918903,3.984056,8.0,-0.50035,4.944503,5.262843,22.0,0.424558,0.758363
3,11,7,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.82,8,4,2,2.2,1.5,18.1,22.0,0.348,0.811,25.0,0.023949,0.011519,1.238675,0.573672,2.2,0.798304,3.815568,8.0,-0.419567,7.310353,18.117303,22.0,0.348291,0.810575
3,11,8,-6.318,ok,6.78,6.32,106.37,false,9.47,4,5,1,1.397,1.397,0.0,10.5,0.104,0.937,25.0,0.009487,0.011018,1.32,0.4,1.397485,0.341768,3.563163,4.0,0.695369,11.540733,0.0,10.4932,0.1038,0.936595
