island,iteration,fitness
1,1,-5.107471868088073
1,2,-5.107471868088073
1,3,-5.107471868088073
1,4,-5.107471868088073
1,5,-5.247022511822637
1,6,-5.338343383928357
1,7,-5.909023481390987
1,8,-5.909023481390987
1,9,-6.190859212465668
1,10,-6.3879989781486675
1,11,-6.3879989781486675
1,12,-6.432639516897934
1,13,-6.516901644299954
1,14,-6.516901644299954
1,15,-6.516901644299954
1,16,-6.516901644299954
1,17,-6.641472821825343
1,18,-6.641472821825343
1,19,-6.641472821825343
1,20,-6.641472821825343
1,21,-6.641472821825343
1,22,-6.641472821825343
1,23,-6.641472821825343
1,24,-6.641472821825343
1,25,-6.641472821825343
1,26,-6.641472821825343
1,27,-6.641472821825343
1,28,-6.641472821825343
1,29,-6.641472821825343
1,30,-6.641472821825343
2,1,-5.064128049408948
2,2,-6.470548879225521
2,3,-6.470548879225521
2,4,-6.470548879225521
2,5,-6.470548879225521
2,6,-6.470548879225521
2,7,-6.470548879225521
2,8,-6.470548879225521
2,9,-6.637208994922686
2,10,-6.637208994922686
2,11,-6.637208994922686
2,12,-6.637208994922686
2,13,-6.640974326624601
2,14,-6.640974326624601
2,15,-6.667211106159238
