island,gen,idx,status,fitness,n_lines,rings,n_active,r_hub,r_bot,tether,m_airborne_kg,T_mass_1p5_N,T_rotary_actual_N,ratio
1,0,1,ok,-2.012,6,6,2,0.914,0.914,21.2,79.13332277053401,1239.178449219413,2224.412579644859,1.7950704202821373
1,0,2,clearance_reject,1.0e9,13,5,2,1.491,1.491,21.2,164.19338980911874,2571.166014925691,2224.412579644859,0.8651376716758394
1,0,3,ok,-2.945,9,4,1,2.128,1.5,21.2,115.69783908522507,1811.7559555966427,2224.412579644859,1.2277661198096192
1,0,4,clearance_reject,1.0e9,9,5,2,1.896,1.5,21.2,115.75250613750192,1812.6120075187926,2224.412579644859,1.2271862761682588
1,0,5,clearance_reject,1.0e9,7,6,2,0.982,0.982,21.2,91.21088164495524,1428.3054838538574,2224.412579644859,1.557378729403841
1,0,6,ok,-5.047,14,5,1,1.285,1.285,21.2,176.8487845349507,2769.341598378575,2224.412579644859,0.8032279517078112
1,0,7,clearance_reject,1.0e9,3,6,2,0.996,0.996,21.2,42.87590925066133,671.4099809529363,2224.412579644859,3.313046637298624
1,0,8,ok,6.314,6,4,1,1.337,1.337,21.2,78.55602825118214,1230.1383773231817,2224.412579644859,1.8082620790071178
1,0,9,ok,-3.75,7,4,1,1.232,1.232,21.2,90.61837363772851,1419.0271782319094,2224.412579644859,1.567561646293801
1,0,10,ok,6.211,12,5,2,1.751,1.5,21.2,153.7543045320109,2407.6964542898204,2224.412579644859,0.9238758381197087
1,1,1,reject,1.0e9,16,13,2,0.914,0.914,21.2,201.19577407258717,3150.600260117013,2224.412579644859,0.7060281838363857
1,1,2,ok,3.762,3,7,2,0.764,0.764,21.2,42.6455679184489,667.8029794414513,2224.412579644859,3.330941382599628
1,1,3,clearance_reject,1.0e9,14,5,2,1.218,1.218,21.2,177.58044344294413,2780.798920265512,2224.412579644859,0.7999185282452824
1,1,4,ok,2.32,9,7,1,1.033,1.033,21.2,116.81195873388465,1829.2023739970707,2224.412579644859,1.2160560314516742
1,1,5,ok,2.927,8,4,1,1.482,1.482,21.2,102.7621655861336,1609.1913814703353,2224.412579644859,1.3823169855734558
1,1,6,clearance_reject,1.0e9,5,4,2,1.294,1.294,21.2,66.96289386676236,1048.5971278834847,2224.412579644859,2.1213224035189473
1,1,7,ok,-3.513,3,4,1,1.855,1.5,21.2,42.840860389115946,670.8611376543595,2224.412579644859,3.315757099036073
1,1,8,ok,7.151,3,5,2,1.317,1.317,21.2,42.45293810681317,664.7865168072667,2224.412579644859,3.3460554981288153
1,1,9,ok,-3.252,6,4,1,2.2,1.5,21.2,78.51293470381064,1229.4635592650795,2224.412579644859,1.8092545833359364
1,1,10,ok,9.167,4,5,2,0.962,0.962,21.2,55.44604034520827,868.250389151055,2224.412579644859,2.56194826681254
1,2,1,reject,1.0e9,9,9,1,0.7,0.7,21.2,115.66840851962864,1811.2950913063714,2224.412579644859,1.228078511514395
1,2,2,clearance_reject,1.0e9,8,11,3,0.7,0.7,21.2,105.58480951575758,1653.392223858221,2224.412579644859,1.3453629136189786
1,2,3,clearance_reject,1.0e9,9,4,2,2.11,1.5,21.2,116.88396593368623,1830.3299618078527,2224.412579644859,1.2153068714712856
1,2,4,ok,-0.368,10,6,1,1.086,1.086,21.2,127.60934501993798,1998.2827048252443,2224.412579644859,1.1131621037771982
1,2,5,ok,-1.074,8,5,1,0.935,0.935,21.2,102.8121655861336,1609.9743502664348,2224.412579644859,1.3816447319652891
1,2,6,ok,-4.771,8,5,1,1.285,1.285,21.2,102.76452696972089,1609.2283592636245,2224.412579644859,1.3822852218828283
1,2,7,ok,-3.812,3,3,1,1.855,1.5,21.2,41.880720028252256,655.8259388057265,2224.412579644859,3.391772798275657
1,2,8,ok,8.754,10,3,1,1.736,1.5,21.2,127.9311216109058,2003.3215254261036,2224.412579644859,1.110362241613577
1,2,9,ok,0.142,8,4,1,2.2,1.5,21.2,103.56805031530375,1621.811033394196,2224.412579644859,1.3715608870840594
1,2,10,ok,-2.654,12,3,1,1.751,1.5,21.2,151.1272597534979,2366.5585725392025,2224.412579644859,0.9399355695042748
1,3,1,reject,1.0e9,6,8,2,0.7,0.7,21.2,79.08003367866701,1238.3439752973266,2224.412579644859,1.7962800514378705
1,3,2,ok,-1.443,3,6,2,0.971,0.971,21.2,42.41648427076433,664.2156724847796,2224.412579644859,3.34893118574499
1,3,3,ok,1.743,3,3,1,2.128,1.5,21.2,41.943301344385254,656.8059231607456,2224.412579644859,3.3867121187645863
1,3,4,clearance_reject,1.0e9,9,7,2,1.086,1.086,21.2,116.0316762926107,1816.983637923839,2224.412579644859,1.2242336877543736
1,3,5,ok,-4.112,8,3,1,1.981,1.5,21.2,102.53434181464588,1605.6238033886455,2224.412579644859,1.3853883923184676
1,3,6,clearance_reject,1.0e9,14,4,2,1.615,1.5,21.2,175.98585322277103,2755.8286325663034,2224.412579644859,0.807166510050164
1,3,7,ok,2.115,5,5,1,0.845,0.845,21.2,66.46258622120048,1040.762622384989,2224.412579644859,2.137290993932356
1,3,8,ok,-4.32,10,3,1,2.2,1.5,21.2,126.76958166638634,1985.132534786474,2224.412579644859,1.1205360552332706
1,3,9,ok,1.535,7,6,2,1.232,1.232,21.2,91.70207035109905,1435.997192451996,2224.412579644859,1.5490368583845395
1,3,10,ok,-0.237,5,6,2,0.8,0.8,21.2,66.72277107186164,1044.8369547706973,2224.412579644859,2.1289566467650776
1,4,1,clearance_reject,1.0e9,3,4,2,1.629,1.5,21.2,42.44165510956206,664.609832111785,2224.412579644859,3.346945037777775
1,4,2,ok,5.1,6,6,2,0.971,0.971,21.2,78.89508185741684,1235.4477452009148,2224.412579644859,1.8004910270673677
1,4,3,clearance_reject,1.0e9,9,5,2,1.572,1.5,21.2,115.79680729821374,1813.3057360481591,2224.412579644859,1.2267167832892032
1,4,4,reject,1.0e9,14,5,1,1.086,1.086,21.2,175.38907420296204,2746.4834455527616,2224.412579644859,0.8099129755348553
1,4,5,ok,-2.933,3,3,1,1.981,1.5,21.2,41.88520130905647,655.8961128664516,2224.412579644859,3.3914099138711866
1,4,6,ok,-4.767,14,3,1,2.2,1.5,21.2,175.28386277871826,2744.8359003092414,2224.412579644859,0.8103991132563698
1,4,7,clearance_reject,1.0e9,3,7,3,0.839,0.839,21.2,42.80507511122654,670.3007625354168,2224.412579644859,3.318529090181853
1,4,8,clearance_reject,1.0e9,10,4,2,1.492,1.492,21.2,127.43995417259744,1995.6301498689954,2224.412579644859,1.1146416984083358
1,4,9,ok,-3.851,7,5,1,1.232,1.232,21.2,91.18135639798913,1427.8431369124257,2224.412579644859,1.5578830209983279
1,4,10,clearance_reject,1.0e9,5,4,2,1.751,1.5,21.2,66.86660646167465,1047.0893272106641,2224.412579644859,2.124377091656984
1,5,1,clearance_reject,1.0e9,3,8,3,0.751,0.751,21.2,42.865346024599695,671.2445674250882,2224.412579644859,3.3138630651086887
1,5,2,clearance_reject,1.0e9,10,10,4,0.7,0.7,21.2,129.1728272177554,2022.7658603081954,2224.412579644859,1.099688611170222
1,5,3,ok,-4.914,16,4,1,2.128,1.5,21.2,200.24862214635783,3135.768452048957,2224.412579644859,0.7093676123284534
1,5,4,ok,-4.513,3,5,1,1.309,1.309,21.2,42.435199930848654,664.508748041668,2224.412579644859,3.3474541700170017
1,5,5,clearance_reject,1.0e9,12,4,2,1.634,1.5,21.2,152.9942645175582,2395.794701987756,2224.412579644859,0.928465438962402
1,5,6,ok,-3.951,8,3,1,2.2,1.5,21.2,102.51945498069689,1605.39068485955,2224.412579644859,1.3855895643492318
1,5,7,clearance_reject,1.0e9,5,4,2,1.855,1.5,21.2,66.53651971047293,1041.9203746867302,2224.412579644859,2.1349160969365473
1,5,8,reject,1.0e9,10,9,2,0.7,0.7,21.2,127.56086101730172,1997.5234756017605,2224.412579644859,1.113585200281437
1,5,9,ok,-5.285,3,7,1,0.836,0.836,21.2,42.4143754904327,664.1826503008298,2224.412579644859,3.349097689675198
1,5,10,ok,-3.857,8,4,1,2.146,1.5,21.2,102.56201052225089,1606.0570780823075,2224.412579644859,1.3850146486081871
1,6,1,ok,-4.648,16,4,1,2.2,1.5,21.2,200.29963431865843,3136.5672708316088,2224.412579644859,0.7091869510756875
1,6,2,ok,-3.95,8,3,1,2.2,1.5,21.2,102.51201052225088,1605.2741092862082,2224.412579644859,1.3856901863532536
1,6,3,ok,-4.596,12,3,1,2.2,1.5,21.2,151.50258701351646,2372.435963197601,2224.412579644859,0.9376070056899517
1,6,4,ok,-3.994,3,5,1,1.377,1.377,21.2,42.47391642114233,665.1150241175566,2224.412579644859,3.3444028461033564
1,6,5,ok,-4.32,12,4,1,1.981,1.5,21.2,151.10238812345597,2366.1690983345834,2224.412579644859,0.9400902839997787
1,6,6,ok,-3.812,3,3,1,1.855,1.5,21.2,41.880720028252256,655.8259388057265,2224.412579644859,3.391772798275657
1,6,7,ok,-4.478,11,3,1,2.2,1.5,21.2,139.02222565238057,2177.001293001382,2224.412579644859,1.021778253782345
1,6,8,clearance_reject,1.0e9,14,4,2,2.2,1.5,21.2,175.87229074757454,2754.0503150765708,2224.412579644859,0.8076877054379501
1,6,9,ok,-5.293,12,5,1,1.636,1.5,21.2,152.42325253515472,2386.8530106993435,2224.412579644859,0.9319436805172641
1,6,10,clearance_reject,1.0e9,3,5,2,1.309,1.309,21.2,42.57661481346958,666.7232168495924,2224.412579644859,3.3363358638621836
1,7,1,ok,-5.911,11,4,1,1.6,1.5,21.2,139.31562615871084,2181.595761825708,2224.412579644859,1.019626375595504
1,7,2,ok,-4.259,7,3,1,2.089,1.5,21.2,90.38311728106945,1415.343210504949,2224.412579644859,1.5716418202559221
1,7,3,clearance_reject,1.0e9,15,6,2,1.126,1.126,21.2,189.92987689632372,2974.1833411354955,2224.412579644859,0.7479070132897772
1,7,4,ok,-1.531,3,5,1,1.702,1.5,21.2,43.459872253073705,680.5544771322415,2224.412579644859,3.2685297862093465
1,7,5,ok,-3.699,12,3,1,2.2,1.5,21.2,151.05238812345596,2365.386129538484,2224.412579644859,0.9404014642120477
1,7,6,reject,1.0e9,14,8,1,1.859,1.5,21.2,176.57764799861502,2765.09576942991,2224.412579644859,0.804461315314035
1,7,7,ok,-4.689,13,3,1,2.2,1.5,21.2,163.68127548936903,2563.1466242776996,2224.412579644859,0.8678444528204481
1,7,8,ok,-4.643,14,3,1,2.2,1.5,21.2,175.29884446756037,2745.070504206766,2224.412579644859,0.8103298535451059
1,7,9,ok,-4.28,12,4,1,2.2,1.5,21.2,152.37830973204942,2386.14923445053,2224.412579644859,0.932218550092943
1,7,10,ok,-2.491,9,4,1,2.146,1.5,21.2,115.24924045731595,1804.7311810441277,2224.412579644859,1.2325451031205237
1,8,1,ok,-4.537,16,5,1,2.002,1.5,21.2,200.05641923948824,3132.7586744769883,2224.412579644859,0.7100491326598027
1,8,2,ok,1.562,7,4,1,2.089,1.5,21.2,91.12238908961164,1426.9197456634352,2224.412579644859,1.5588911614721792
1,8,3,clearance_reject,1.0e9,16,4,2,1.668,1.5,21.2,201.53976209584818,3155.9868978859167,2224.412579644859,0.7048231350817438
1,8,4,clearance_reject,1.0e9,16,5,2,1.807,1.5,21.2,201.95837632550348,3162.5421354743808,2224.412579644859,0.7033621954608985
1,8,5,ok,-3.949,8,3,1,2.2,1.5,21.2,102.51201052225088,1605.2741092862082,2224.412579644859,1.3856901863532536
1,8,6,ok,-1.742,7,4,1,1.818,1.5,21.2,91.49800340769909,1432.8016314720458,2224.412579644859,1.552491657452623
1,8,7,ok,-2.379,14,4,1,1.568,1.5,21.2,176.11891502182303,2757.9122972985137,2224.412579644859,0.8065566776085522
1,8,8,clearance_reject,1.0e9,14,6,2,1.309,1.309,21.2,177.9597895212196,2786.7392431097574,2224.412579644859,0.7982133904866567
1,8,9,clearance_reject,1.0e9,12,6,2,1.48,1.48,21.2,153.58053035220647,2404.975259082729,2224.412579644859,0.9249211904546837
1,8,10,ok,-5.342,11,6,1,1.636,1.5,21.2,140.92499291273302,2206.7974408232826,2224.412579644859,1.0079822182569709
1,9,1,ok,-5.8,11,3,1,1.6,1.5,21.2,138.89825518961544,2175.059992921721,2224.412579644859,1.0226902186071858
1,9,2,clearance_reject,1.0e9,16,4,2,2.089,1.5,21.2,201.2035467629995,3150.7219755981046,2224.412579644859,0.7060009092749596
1,9,3,clearance_reject,1.0e9,14,4,2,2.172,1.5,21.2,176.03272140726475,2756.5625590860714,2224.412579644859,0.8069516043859911
