island,iteration,fitness
1,1,-5.046559165776708
1,2,-5.046559165776708
1,3,-5.046559165776708
1,4,-5.046559165776708
1,5,-5.285447859049505
1,6,-5.292823895018422
1,7,-5.911275330177259
1,8,-5.911275330177259
1,9,-6.193100919560907
1,10,-6.377591918046235
1,11,-6.377591918046235
1,12,-6.4550568521526746
1,13,-6.575937900033386
1,14,-6.575937900033386
1,15,-6.575937900033386
1,16,-6.575937900033386
1,17,-6.616810601804735
1,18,-6.616810601804735
1,19,-6.616810601804735
1,20,-6.616810601804735
1,21,-6.616810601804735
1,22,-6.616810601804735
1,23,-6.616810601804735
1,24,-6.616810601804735
1,25,-6.616810601804735
1,26,-6.616810601804735
1,27,-6.616810601804735
1,28,-6.616810601804735
1,29,-6.616810601804735
1,30,-6.616810601804735
2,1,-4.945089983073695
2,2,-6.466560387256516
2,3,-6.466560387256516
2,4,-6.466560387256516
2,5,-6.466560387256516
2,6,-6.466560387256516
2,7,-6.466560387256516
2,8,-6.466560387256516
2,9,-6.489259917412577
2,10,-6.489259917412577
2,11,-6.489259917412577
2,12,-6.489259917412577
2,13,-6.489259917412577
2,14,-6.489259917412577
2,15,-6.489259917412577
2,16,-6.643090688230063
2,17,-6.643090688230063
2,18,-6.643090688230063
2,19,-6.643090688230063
2,20,-6.643090688230063
2,21,-6.6530783210430995
2,22,-6.6530783210430995
2,23,-6.6530783210430995
2,24,-6.6530783210430995
2,25,-6.67042770000363
2,26,-6.67042770000363
2,27,-6.67042770000363
2,28,-6.67042770000363
2,29,-6.670999346058657
2,30,-6.670999346058657
3,1,-6.226910207767583
3,2,-6.226910207767583
3,3,-6.439522874190168
3,4,-6.439522874190168
3,5,-6.439522874190168
3,6,-6.439522874190168
3,7,-6.440203592342252
3,8,-6.440203592342252
3,9,-6.440203592342252
3,10,-6.440203592342252
3,11,-6.526778128918866
3,12,-6.538044970413745
3,13,-6.6294453224779435
3,14,-6.6294453224779435
3,15,-6.6294453224779435
3,16,-6.630269339763103
3,17,-6.631279918405477
3,18,-6.652910134202074
3,19,-6.652910134202074
3,20,-6.652910134202074
3,21,-6.652910134202074
3,22,-6.662868770916449
3,23,-6.662868770916449
3,24,-6.663216807916941
3,25,-6.663216807916941
3,26,-6.663216807916941
3,27,-6.663216807916941
3,28,-6.663710314334279
3,29,-6.663710314334279
3,30,-6.664121326435355
