# v13_5kw_masslift telemetry  length=25.0  window=20.0  min_clearance=1.5  lift=mass-aware-const-tension  margin=1.5  era=post-428f491_mass-aware-const-tension_ON  git=unknown
island,gen,idx,fitness,status,P_mean,P_end,T_lift,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1,0,1,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.65,6,7,3,0.914,0.914,15.0,15.0,0.519,0.1,25.0,0.018974,0.01,0.88,1.0,0.913582,0.632456,2.988,6.0,-0.11,18.56,15.0,15.0,0.519,0.1
1,0,2,10.111,ok,2.92,1.72,2573.78,2.88,false,2.34,13,6,2,1.491,1.491,0.7,1.7,0.699,0.517,25.0,0.01278,0.011608,0.667555,0.599726,1.490523,0.621718,2.24356,13.435913,0.355172,7.074586,0.664082,1.745346,0.69866,0.517455
1,0,3,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-2.48,9,5,2,2.128,1.5,15.6,17.4,0.17,0.711,25.0,0.023821,0.011734,0.756531,0.712225,2.128387,0.356101,2.733029,9.054623,-0.224953,14.806448,15.647996,17.418231,0.170072,0.71105
1,0,4,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.92,9,5,2,1.896,1.5,12.0,18.6,0.907,0.705,25.0,0.013688,0.010586,0.536704,0.836613,1.896431,0.92768,2.527046,9.456987,-0.408605,0.843332,12.014329,18.570685,0.906717,0.705379
1,0,5,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.89,7,7,2,0.982,0.982,1.5,11.1,0.562,0.379,25.0,0.014295,0.01053,1.289095,0.733047,0.981891,0.323747,3.229717,7.352579,0.277284,15.600769,1.502012,11.057303,0.562436,0.379435
1,0,6,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-2.49,14,6,2,1.285,1.285,16.5,3.3,0.307,0.615,25.0,0.026476,0.011534,1.121746,0.928781,1.284784,0.883927,2.96569,13.721637,0.58814,12.247538,16.462607,3.284944,0.307285,0.614694
1,0,7,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.06,3,6,2,0.996,0.996,2.6,20.0,0.699,0.511,25.0,0.015618,0.014554,0.826441,1.190203,0.99639,0.927788,3.234265,3.421737,0.131726,1.599757,2.591921,20.000249,0.698754,0.511287
1,0,8,5.173,ok,4.2,2.74,1231.63,13.71,false,7.0,6,5,1,1.337,1.337,11.5,3.1,0.732,0.975,25.0,0.009663,0.010796,0.725917,0.930243,1.336808,0.316273,3.712109,5.693487,-0.743872,6.410558,11.542103,3.086393,0.731738,0.974816
1,0,9,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-1.34,7,5,2,1.232,1.232,16.3,21.2,0.377,0.518,25.0,0.012624,0.011413,0.892123,0.855108,1.232341,0.520678,3.97329,6.530598,-0.347853,15.450987,16.268161,21.161055,0.377359,0.5179
1,0,10,5.221,ok,4.17,2.69,2416.54,2.15,false,5.24,12,6,2,1.751,1.5,18.1,9.9,0.698,0.093,25.0,0.026475,0.014646,1.221675,0.626234,1.751358,0.487773,2.418565,12.168023,-0.534672,17.637366,18.080918,9.91502,0.698233,0.09312
1,1,1,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.57,16,15,2,0.914,0.914,3.5,17.5,0.881,0.348,25.0,0.016123,0.011221,0.49111,1.0,0.913582,0.632456,1.37977,16.0,0.450002,1.36209,3.516087,17.523017,0.880875,0.348075
1,1,2,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-0.02,3,8,3,0.764,0.764,0.0,22.0,0.894,0.331,25.0,0.009487,0.013785,0.954737,1.040146,0.764181,0.498334,3.436677,3.0,0.355172,7.074586,0.0,22.0,0.894363,0.330929
1,1,3,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.44,14,6,2,1.218,1.218,19.5,14.8,0.104,0.711,25.0,0.028363,0.011928,1.227693,0.712225,1.218192,0.948683,3.132177,14.0,0.8,18.010273,19.475188,14.806465,0.1038,0.71105
1,1,4,1.318,ok,5.43,3.93,1834.98,2.05,false,7.0,9,8,1,1.033,1.033,2.7,7.4,0.65,0.579,25.0,0.025345,0.014639,0.98768,1.241935,1.033215,0.92768,2.526742,9.0,0.788967,0.0,2.728459,7.447881,0.64955,0.579254
1,1,5,2.069,ok,5.07,3.59,1611.0,32.19,false,7.47,8,5,1,1.482,1.482,19.5,0.7,0.562,0.995,25.0,0.010316,0.01,1.289095,0.74943,1.482062,0.323747,3.229717,8.0,-0.8,13.482208,19.472111,0.682741,0.562436,0.995279
1,1,6,9.594,ok,1.85,1.18,3146.81,3.77,false,3.01,16,6,2,2.021,1.5,16.5,3.6,0.735,0.615,25.0,0.013614,0.011613,0.840255,0.4,2.020548,0.883927,2.16372,16.0,-0.62174,19.0,16.462607,3.566218,0.734591,0.614694
1,1,7,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-2.76,3,4,2,1.862,1.5,2.6,2.0,0.588,1.0,25.0,0.010913,0.014554,1.32,0.606427,1.861556,0.511486,3.234265,3.0,-0.8,19.0,2.591921,1.98647,0.588163,1.0
1,1,8,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.27,7,11,2,0.801,0.801,11.5,16.4,0.777,0.621,25.0,0.009663,0.013302,0.830673,1.146109,0.801048,0.368843,2.1375,7.0,0.32383,1.36209,11.542103,16.404873,0.777233,0.620794
1,1,9,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.05,11,5,2,1.463,1.463,8.6,21.2,0.12,0.714,25.0,0.012624,0.01486,1.247591,0.620155,1.462525,0.520678,3.135105,11.0,0.8,19.0,8.607063,21.161055,0.120364,0.714089
1,1,10,7.321,ok,2.0,1.53,2210.58,3.45,false,5.43,11,8,1,0.962,0.962,1.0,14.2,0.942,0.548,25.0,0.026475,0.011601,0.44,1.095507,0.961866,0.519883,2.491972,11.0,0.08057,0.0,1.01827,14.193437,0.941765,0.547951
1,2,1,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.0,16,13,1,0.791,0.791,3.5,7.3,0.722,0.264,25.0,0.026565,0.012713,0.561163,1.237554,0.790663,0.948683,1.879097,16.0,0.450002,0.0,3.516087,7.290253,0.721784,0.263804
1,2,2,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.32,16,22,1,0.7,0.7,0.0,10.5,0.66,0.05,25.0,0.02846,0.015,0.756612,1.470284,0.7,0.948683,1.0,16.0,0.355172,0.0,0.0,10.546823,0.660417,0.05
1,2,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,2.29,14,5,2,1.73,1.5,22.0,22.0,0.104,0.244,25.0,0.026355,0.015,1.227693,0.641872,1.729926,0.410429,3.10103,14.0,-0.194163,19.0,22.0,22.0,0.1038,0.24364
1,2,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.62,16,15,1,0.708,0.708,15.7,19.9,0.417,0.05,25.0,0.02846,0.012994,0.50311,1.259846,0.70788,0.885127,1.795304,16.0,0.788967,0.0,15.721993,19.876933,0.417165,0.05
1,2,5,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-3.91,13,5,2,1.634,1.5,7.6,0.7,0.562,0.995,25.0,0.010316,0.012927,1.289095,0.475976,1.63408,0.773146,2.972693,13.0,0.744512,19.0,7.575715,0.682741,0.562436,0.995279
1,2,6,10.727,ok,2.63,1.48,1047.29,5.59,false,7.12,5,5,1,2.021,1.5,0.0,0.0,0.735,0.615,25.0,0.016906,0.012514,0.734019,1.387714,2.020548,0.880082,2.835658,5.0,0.511075,0.0,0.0,0.0,0.734591,0.614694
1,2,7,5.391,ok,3.1,2.14,2199.6,9.36,false,7.09,11,5,1,1.862,1.5,2.6,22.0,0.588,0.476,25.0,0.021411,0.015,1.058231,1.188423,1.861556,0.564614,2.941993,11.0,0.8,6.108779,2.591921,22.0,0.588163,0.476016
1,2,8,1.228,ok,5.92,4.19,3165.94,12.57,false,4.08,16,6,2,0.935,0.935,16.4,19.5,0.732,0.099,25.0,0.02846,0.014759,0.898917,1.262967,0.935019,0.316273,3.712109,16.0,0.118761,7.190837,16.381308,19.50349,0.731738,0.098698
1,2,9,1.0e9,reject,0.0,0.0,0.0,Inf,false,2.71,16,5,2,1.369,1.369,20.0,22.0,0.216,0.05,25.0,0.02846,0.01486,1.247591,0.980928,1.368748,0.405495,3.419523,16.0,0.412436,19.0,19.959339,22.0,0.215579,0.05
1,2,10,1.883,ok,4.56,3.33,2382.04,7.31,false,7.53,12,4,1,1.751,1.5,18.1,9.9,0.478,0.719,25.0,0.019305,0.01397,1.221675,0.626234,1.751358,0.316228,3.622723,12.0,0.686166,2.5852,18.080918,9.91502,0.478227,0.719051
1,3,1,1.0e9,reject,0.0,0.0,0.0,Inf,false,4.51,16,12,1,0.847,0.847,0.0,0.0,1.0,0.792,25.0,0.014773,0.011998,0.551486,1.209115,0.846785,0.948683,1.879097,16.0,0.8,0.0,0.0,0.0,1.0,0.792481
1,3,2,1.0e9,reject,0.0,0.0,0.0,Inf,false,2.76,15,14,3,0.908,0.908,0.0,6.7,1.0,0.657,25.0,0.01278,0.012572,0.460434,1.522301,0.908175,0.948683,1.499874,15.0,0.355172,7.074586,0.0,6.73233,1.0,0.657091
1,3,3,1.574,ok,5.08,3.6,3141.72,2.02,false,2.63,16,5,2,1.73,1.5,12.2,11.5,0.409,0.164,25.0,0.014861,0.011756,0.841099,0.425451,1.729926,0.316228,2.839674,16.0,-0.194163,19.0,12.169217,11.46186,0.408896,0.16407
1,3,4,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-1.86,16,10,3,1.033,1.033,7.8,7.4,0.774,0.589,25.0,0.025345,0.01,0.555615,0.4,1.033215,0.785699,1.843881,16.0,-0.374956,13.694819,7.787316,7.447881,0.773858,0.588673
1,3,5,-0.722,ok,5.38,4.17,1609.4,13.12,false,8.44,8,4,1,1.998,1.5,4.6,22.0,0.332,0.995,25.0,0.010316,0.015,1.32,1.212439,1.997979,0.549245,3.415917,8.0,0.791926,6.108779,4.588514,22.0,0.331715,0.995279
1,3,6,1.082,ok,5.22,3.81,1618.96,16.35,false,8.01,8,5,1,1.805,1.5,10.7,3.4,0.434,0.979,25.0,0.017617,0.011613,1.269751,0.614842,1.804543,0.647379,2.980702,8.0,0.8,0.0,10.686243,3.385445,0.433712,0.979331
1,3,7,1.0e9,reject,0.0,0.0,0.0,Inf,false,2.8,16,9,3,0.73,0.73,22.0,20.5,0.456,0.05,25.0,0.021411,0.014715,0.994612,1.011284,0.730142,0.316228,2.941993,16.0,0.8,19.0,22.0,20.500142,0.455906,0.05
1,3,8,2.101,ok,4.51,3.24,2011.56,18.17,false,7.94,10,4,1,2.063,1.5,16.0,22.0,0.418,0.632,25.0,0.026449,0.015,1.32,1.208887,2.062925,0.328771,3.712109,10.0,0.8,2.642901,16.038001,22.0,0.417985,0.631651
1,3,9,1.0e9,reject,0.0,0.0,0.0,Inf,false,4.08,16,6,2,1.369,1.369,7.5,13.8,0.216,0.05,25.0,0.019357,0.013516,1.247591,0.790323,1.368748,0.47932,2.575538,16.0,-0.200583,19.0,7.539001,13.825577,0.215579,0.05
1,3,10,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-0.64,10,8,2,1.054,1.054,0.0,8.1,0.478,1.0,25.0,0.011268,0.0145,0.920807,1.6,1.053503,0.316228,2.323487,10.0,0.8,2.5852,0.0,8.12685,0.478227,1.0
1,4,1,-5.687,ok,6.75,6.04,3145.46,7.5,false,8.86,16,7,1,1.795,1.5,7.5,21.3,0.184,0.05,25.0,0.017331,0.013702,1.283929,0.76276,1.795402,0.316228,1.879097,16.0,-0.1949,0.0,7.468675,21.320947,0.183961,0.05
