# v12_5kw_v3 telemetry  length=18.0  min_clearance=1.5
island,gen,idx,fitness,status,P_kW,FoS,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,clearance,tether
1,0,1,1.0e9,reject,0.0,0.0,6,0,0,0.91,0.63,15.0,15.0,0.519,0.1,3.19,18.0
1,0,2,1.0e9,clearance_reject,0.0,0.0,13,0,0,1.25,0.62,0.7,1.7,0.699,0.517,1.19,18.0
1,0,3,1.0e9,reject,0.0,0.0,9,0,0,2.1,0.36,15.6,17.4,0.17,0.711,6.57,18.0
1,0,4,1.0e9,clearance_reject,0.0,0.0,9,0,0,1.8,0.93,12.0,18.6,0.907,0.705,-2.45,18.0
1,0,5,1.0e9,clearance_reject,0.0,0.0,7,0,0,0.58,0.32,1.5,11.1,0.562,0.379,1.3,18.0
1,0,6,1.0e9,reject,0.0,0.0,14,0,0,0.98,0.88,16.5,3.3,0.307,0.615,5.69,18.0
1,0,7,1.0e9,reject,0.0,0.0,3,0,0,0.6,0.93,2.6,20.0,0.699,0.511,2.17,18.0
1,0,8,1.0e9,reject,0.0,0.0,6,0,0,1.05,0.32,11.5,3.1,0.732,0.975,4.33,18.0
1,0,9,1.0e9,clearance_reject,0.0,0.0,7,0,0,0.91,0.52,16.3,21.2,0.377,0.518,-1.34,18.0
1,0,10,1.0e9,clearance_reject,0.0,0.0,12,0,0,1.6,0.49,18.1,9.9,0.698,0.093,0.46,18.0
1,1,1,1.0e9,reject,0.0,0.0,16,0,0,0.91,0.63,3.5,17.5,0.881,0.348,3.94,18.0
1,1,2,1.0e9,reject,0.0,0.0,3,0,0,0.29,0.5,0.0,22.0,0.894,0.331,3.13,18.0
1,1,3,1.0e9,clearance_reject,0.0,0.0,14,0,0,0.89,0.95,19.5,14.8,0.104,0.711,0.23,18.0
1,1,4,1.0e9,reject,0.0,0.0,9,0,0,0.64,0.93,2.7,7.4,0.65,0.579,4.32,18.0
1,1,5,1.0e9,reject,0.0,0.0,8,0,0,1.24,0.32,19.5,0.7,0.562,0.995,4.82,18.0
1,1,6,1.0e9,clearance_reject,0.0,0.0,5,0,0,0.99,0.88,16.5,22.0,0.93,0.615,0.29,18.0
1,1,7,15.062,ok,13.93,13.51,3,0,0,1.75,0.6,2.6,0.7,0.588,1.0,5.25,18.0
1,1,8,1.0e9,reject,0.0,0.0,15,0,0,1.45,0.43,11.5,2.4,0.639,0.621,1.88,18.0
