run_id,wind_speed,payout_duration,active_winch,damping_mode,EA_back_line,c_back_line,i_pto,field_imu,mppt_stall,payout_base_m,lifter_elev_deg,duration_s,d_tau_gen_rms,d_omega_rms,T_min,T_mean,T_std,slack_events,slack_events_late,speed_ripple_rms,brake_time,brake_engaged,omega_hub_final,omega_gnd_final,time_to_omega1,max_payout_reached,peak_tau_gen,min_tension_before_brake,T_cyan_min,twist_max,fos_buckling_min,fos_buckling_ring_id,peak_strut_load,peak_strut_ring_id,max_out_of_plane_accel,max_node_jerk,T_trpt_max,peak_trpt_segment_idx,peak_trpt_line_idx,is_disqualified,disqualification_reason,smoothness_raw,tension_raw,composite_score
1,6.0,5.0,0,0,350000.0,250.0,12.5,1,0,15.0,75.0,10.0,152441.02404055317,11.472518480402167,72.85189691300644,4573.079344297272,8706.652284906531,389,293,7.2376944708758595,3.0756200000116816,1,1.5343794694520796,0.0,3.0800000000117103,14.999999999969415,52600.14049638913,161.66886242110903,554.4265549858985,1.2737437834710512,0.020423711850764196,1,39275.10322515573,1,17840.034716480164,3.1876461918279915e9,90143.1537835263,1,4,1,ring_buckling,152446.76029979336,-77727.14810308699,-999.0
2,6.0,5.0,0,0,350000.0,250.0,25.0,1,0,15.0,75.0,10.0,71644.91934140284,13.075601142344494,291.3513519724284,4986.9152864540665,7965.580476176158,390,293,4.926407523741644,3.080900000011716,1,-0.0721875620710232,0.0,3.1000000000118413,14.999999999969415,23524.92510968286,426.74426772889865,554.4265552164695,1.294112130926809,0.024128553253607753,1,34295.08296632767,1,14047.200418026734,9.27221399367558e8,92085.4979703444,1,4,1,ring_buckling,71651.45714197401,-77708.64864802758,-999.0
3,6.0,5.0,0,0,350000.0,500.0,12.5,1,0,15.0,75.0,10.0,152441.02404055317,11.472518480402167,72.85189691300644,4573.079344297272,8706.652284906531,389,293,7.2376944708758595,3.0756200000116816,1,1.5343794694520796,0.0,3.0800000000117103,14.999999999969415,52600.14049638913,161.66886242110903,554.4265549858985,1.2737437834710512,0.020423711850764196,1,39275.10322515573,1,17840.034716480164,3.1876461918279915e9,90143.1537835263,1,4,1,ring_buckling,152446.76029979336,-77727.14810308699,-999.0
4,6.0,5.0,0,0,350000.0,500.0,25.0,1,0,15.0,75.0,10.0,71644.91934140284,13.075601142344494,291.3513519724284,4986.9152864540665,7965.580476176158,390,293,4.926407523741644,3.080900000011716,1,-0.0721875620710232,0.0,3.1000000000118413,14.999999999969415,23524.92510968286,426.74426772889865,554.4265552164695,1.294112130926809,0.024128553253607753,1,34295.08296632767,1,14047.200418026734,9.27221399367558e8,92085.4979703444,1,4,1,ring_buckling,71651.45714197401,-77708.64864802758,-999.0
5,6.0,5.0,0,0,700000.0,250.0,12.5,1,0,15.0,75.0,10.0,639225.9476346044,8.142888388421884,73.75250647751581,3571.70028884243,8216.097915536237,390,293,9.150987509472621,3.0828200000117287,1,0.8170550438462114,0.0,3.1000000000118413,14.999999999969415,198183.10185777952,156.97987949461586,544.5557273944246,1.2128061753257988,0.027317886754679298,1,35907.694269165164,1,16387.34245775978,3.2070616392465816e9,91515.98700889136,1,3,1,ring_buckling,639230.0190787986,-77926.24749352249,-999.0
6,6.0,5.0,0,0,700000.0,250.0,25.0,1,0,15.0,75.0,10.0,45438.81478446741,12.160917126673985,165.31835429423012,5041.399981636228,8754.753547184473,389,293,4.575222378769773,3.08606000001175,1,-0.041091093530951264,0.0,3.1000000000118413,14.999999999969415,22059.652163129493,165.31835429423012,544.5557274324386,1.309500712646031,0.026922829307908114,1,30574.496635570657,1,20111.629516568148,9.426848772673498e8,94995.54026268888,1,4,1,ring_buckling,45444.89524303075,-77634.68164570577,-999.0
7,6.0,5.0,0,0,700000.0,500.0,12.5,1,0,15.0,75.0,10.0,639225.9476346044,8.142888388421884,73.75250647751581,3571.70028884243,8216.097915536237,390,293,9.150987509472621,3.0828200000117287,1,0.8170550438462114,0.0,3.1000000000118413,14.999999999969415,198183.10185777952,156.97987949461586,544.5557273944246,1.2128061753257988,0.027317886754679298,1,35907.694269165164,1,16387.34245775978,3.2070616392465816e9,91515.98700889136,1,3,1,ring_buckling,639230.0190787986,-77926.24749352249,-999.0
8,6.0,5.0,0,0,700000.0,500.0,25.0,1,0,15.0,75.0,10.0,45438.81478446741,12.160917126673985,165.31835429423012,5041.399981636228,8754.753547184473,389,293,4.575222378769773,3.08606000001175,1,-0.041091093530951264,0.0,3.1000000000118413,14.999999999969415,22059.652163129493,165.31835429423012,544.5557274324386,1.309500712646031,0.026922829307908114,1,30574.496635570657,1,20111.629516568148,9.426848772673498e8,94995.54026268888,1,4,1,ring_buckling,45444.89524303075,-77634.68164570577,-999.0
9,6.0,5.0,0,2,350000.0,250.0,12.5,1,0,15.0,75.0,10.0,451140.3766036368,15.19142630969601,136.89517758381717,6362.7664434380395,11770.981206226037,392,293,10.717807717612676,3.0405200000114516,1,-0.27409254731613175,0.0,3.0600000000115792,14.999999999969415,142242.13874255243,159.2723280073489,554.426554983145,1.2534704870109223,0.023875725566541224,1,30934.294757269323,1,30596.938485039405,7.949514304038657e8,97909.61160802108,1,4,1,ring_buckling,451147.9723167916,-78263.10482241618,-999.0
10,6.0,5.0,0,2,350000.0,250.0,25.0,1,0,15.0,75.0,10.0,65300.13364708294,9.462888114536202,169.63854586323956,3368.983680369503,7866.396167537552,391,293,4.24402015592459,3.0041800000112135,1,-0.06838561939883803,0.0,3.020000000011317,14.999999999969415,28350.043944563764,183.09300697532265,554.4265552208216,1.1316875872987424,0.024942938087798107,1,23789.386481104884,1,24815.19147428765,6.116326700410886e8,72813.07815533516,1,5,1,ring_buckling,65304.86509114021,-78030.36145413676,-999.0
11,6.0,5.0,0,2,350000.0,500.0,12.5,1,0,15.0,75.0,10.0,451140.3766036368,15.19142630969601,136.89517758381717,6362.7664434380395,11770.981206226037,392,293,10.717807717612676,3.0405200000114516,1,-0.27409254731613175,0.0,3.0600000000115792,14.999999999969415,142242.13874255243,159.2723280073489,554.426554983145,1.2534704870109223,0.023875725566541224,1,30934.294757269323,1,30596.938485039405,7.949514304038657e8,97909.61160802108,1,4,1,ring_buckling,451147.9723167916,-78263.10482241618,-999.0
12,6.0,5.0,0,2,350000.0,500.0,25.0,1,0,15.0,75.0,10.0,65300.13364708294,9.462888114536202,169.63854586323956,3368.983680369503,7866.396167537552,391,293,4.24402015592459,3.0041800000112135,1,-0.06838561939883803,0.0,3.020000000011317,14.999999999969415,28350.043944563764,183.09300697532265,554.4265552208216,1.1316875872987424,0.024942938087798107,1,23789.386481104884,1,24815.19147428765,6.116326700410886e8,72813.07815533516,1,5,1,ring_buckling,65304.86509114021,-78030.36145413676,-999.0
13,6.0,5.0,0,2,700000.0,250.0,12.5,1,0,15.0,75.0,10.0,333368.64279641287,7.792233242033674,187.24464084701694,5219.189691150232,9472.392912989537,392,293,12.37302233999628,3.2499000000128233,1,-0.15954914789658822,0.0,3.2600000000128895,14.999999999969415,128241.14029732303,187.24464084701694,544.5557273920265,1.2419845184675395,0.03477550053284374,1,21066.782132353866,1,23320.874097785676,5.330433389441284e8,97719.24625327827,1,4,1,ring_buckling,333372.5389130339,-78212.75535915299,-999.0
14,6.0,5.0,0,2,700000.0,250.0,25.0,1,0,15.0,75.0,10.0,69319.81807933022,9.180704058984718,131.75058954153488,3724.4989000496957,6961.822240569664,391,293,3.9540528194661997,3.0093900000112477,1,-0.03444323042100026,0.0,3.020000000011317,14.999999999969415,27124.310004130824,131.75058954153488,544.5557274330604,1.1109109210073136,0.02788523916938246,1,23092.148549671285,1,23097.467629213523,5.3532884884605336e8,71872.68228035414,1,5,1,ring_buckling,69324.40843135971,-78068.24941045846,-999.0
15,6.0,5.0,0,2,700000.0,500.0,12.5,1,0,15.0,75.0,10.0,333368.64279641287,7.792233242033674,187.24464084701694,5219.189691150232,9472.392912989537,392,293,12.37302233999628,3.2499000000128233,1,-0.15954914789658822,0.0,3.2600000000128895,14.999999999969415,128241.14029732303,187.24464084701694,544.5557273920265,1.2419845184675395,0.03477550053284374,1,21066.782132353866,1,23320.874097785676,5.330433389441284e8,97719.24625327827,1,4,1,ring_buckling,333372.5389130339,-78212.75535915299,-999.0
16,6.0,5.0,0,2,700000.0,500.0,25.0,1,0,15.0,75.0,10.0,69319.81807933022,9.180704058984718,131.75058954153488,3724.4989000496957,6961.822240569664,391,293,3.9540528194661997,3.0093900000112477,1,-0.03444323042100026,0.0,3.020000000011317,14.999999999969415,27124.310004130824,131.75058954153488,544.5557274330604,1.1109109210073136,0.02788523916938246,1,23092.148549671285,1,23097.467629213523,5.3532884884605336e8,71872.68228035414,1,5,1,ring_buckling,69324.40843135971,-78068.24941045846,-999.0
17,6.0,5.0,1,0,350000.0,250.0,12.5,1,0,15.0,75.0,10.0,346875.51771145454,9.091963386227356,180.83745785312652,4288.722899218221,8362.87580722854,379,293,8.020117702386532,3.3082000000132052,1,0.3270821511383505,0.0,3.3200000000132825,14.961327796574981,104810.08084718336,258.27923957601126,554.4265549858985,1.205898216766066,0.02697834137546276,1,34547.21982087381,1,15593.410885652615,3.1745084336038785e9,87365.81910535331,1,2,1,ring_buckling,346880.0636931477,-75619.16254214688,-999.0
18,6.0,5.0,1,0,350000.0,250.0,25.0,1,0,15.0,75.0,10.0,41830.04772738158,13.418077227745977,202.2193707752032,5998.5362187226365,9655.287470600968,377,293,4.087258984454097,3.308640000013208,1,-0.4578129588546873,0.0,3.3200000000132825,14.998303355393057,19285.901045000915,202.2193707752032,554.4265552164695,1.2301946295923258,0.03262529954456991,2,27697.195827747462,1,14074.912821759619,8.518080025610173e8,84420.56936091352,1,3,1,ring_buckling,41836.75676599545,-75197.7806292248,-999.0
19,6.0,5.0,1,0,350000.0,500.0,12.5,1,0,15.0,75.0,10.0,346875.51771145454,9.091963386227356,180.83745785312652,4288.722899218221,8362.87580722854,379,293,8.020117702386532,3.3082000000132052,1,0.3270821511383505,0.0,3.3200000000132825,14.961327796574981,104810.08084718336,258.27923957601126,554.4265549858985,1.205898216766066,0.02697834137546276,1,34547.21982087381,1,15593.410885652615,3.1745084336038785e9,87365.81910535331,1,2,1,ring_buckling,346880.0636931477,-75619.16254214688,-999.0
20,6.0,5.0,1,0,350000.0,500.0,25.0,1,0,15.0,75.0,10.0,41830.04772738158,13.418077227745977,202.2193707752032,5998.5362187226365,9655.287470600968,377,293,4.087258984454097,3.308640000013208,1,-0.4578129588546873,0.0,3.3200000000132825,14.998303355393057,19285.901045000915,202.2193707752032,554.4265552164695,1.2301946295923258,0.03262529954456991,2,27697.195827747462,1,14074.912821759619,8.518080025610173e8,84420.56936091352,1,3,1,ring_buckling,41836.75676599545,-75197.7806292248,-999.0
21,6.0,5.0,1,0,700000.0,250.0,12.5,1,0,15.0,75.0,10.0,121129.99546951686,10.520810362916622,140.75769849744833,3824.61079579858,8136.14675402946,379,293,6.705581844576342,3.3150700000132503,1,0.04076698904348116,0.0,3.3200000000132825,14.726663049426902,44612.071438080784,246.06786332164862,544.5557273944246,1.2101621477475497,0.022421468798327755,1,31917.63652687613,1,14751.553358047258,3.1336546589958577e9,92845.2000305377,1,2,1,ring_buckling,121135.25587469831,-75659.24230150256,-999.0
22,6.0,5.0,1,0,700000.0,250.0,25.0,1,0,15.0,75.0,10.0,38873.35924183437,12.9235264515109,66.66124495343799,5985.129206329872,9140.854195660684,379,293,4.057826583410496,3.314410000013246,1,-0.9475093594629501,0.0,3.3200000000132825,14.999980661531856,18319.546074369457,66.66124495343799,544.5557274324386,1.2584536002138123,0.024645700472870537,1,40228.74394506001,1,18248.952031150875,7.909980702434715e8,91058.61162630259,1,3,1,ring_buckling,38879.82100506013,-75733.33875504656,-999.0
23,6.0,5.0,1,0,700000.0,500.0,12.5,1,0,15.0,75.0,10.0,121129.99546951686,10.520810362916622,140.75769849744833,3824.61079579858,8136.14675402946,379,293,6.705581844576342,3.3150700000132503,1,0.04076698904348116,0.0,3.3200000000132825,14.726663049426902,44612.071438080784,246.06786332164862,544.5557273944246,1.2101621477475497,0.022421468798327755,1,31917.63652687613,1,14751.553358047258,3.1336546589958577e9,92845.2000305377,1,2,1,ring_buckling,121135.25587469831,-75659.24230150256,-999.0
24,6.0,5.0,1,0,700000.0,500.0,25.0,1,0,15.0,75.0,10.0,38873.35924183437,12.9235264515109,66.66124495343799,5985.129206329872,9140.854195660684,379,293,4.057826583410496,3.314410000013246,1,-0.9475093594629501,0.0,3.3200000000132825,14.999980661531856,18319.546074369457,66.66124495343799,544.5557274324386,1.2584536002138123,0.024645700472870537,1,40228.74394506001,1,18248.952031150875,7.909980702434715e8,91058.61162630259,1,3,1,ring_buckling,38879.82100506013,-75733.33875504656,-999.0
25,6.0,5.0,1,2,350000.0,250.0,12.5,1,0,15.0,75.0,10.0,283785.97444351955,9.90918614244577,87.17631092792323,6437.080239807519,10502.115907282538,378,293,11.456455652895801,3.4994700000144583,1,0.16777696675224849,0.0,3.5000000000144618,14.986216300729343,109500.6083789316,87.17631092792323,554.426554983145,1.2101128482551147,0.023991320136615712,1,36440.088528655004,1,27399.98331166409,1.0441388707715423e8,92996.95479715159,1,3,1,ring_buckling,283790.9290365908,-75512.82368907207,-999.0
26,6.0,5.0,1,2,350000.0,250.0,25.0,1,0,15.0,75.0,10.0,54131.414115870335,10.079888476622816,174.57112539782432,4164.139251050173,7039.968517469499,378,293,4.228117182919812,3.294440000013115,1,0.5904758769530825,0.0,3.3000000000131515,14.998773949301413,22057.157214296574,182.46789827411806,554.4265552208216,1.0794365003462296,0.029856220419199705,1,15418.391885845922,1,20171.63285509275,2.2891495086065322e8,69780.54886537041,1,4,1,ring_buckling,54136.45406010865,-75425.42887460218,-999.0
27,6.0,5.0,1,2,350000.0,500.0,12.5,1,0,15.0,75.0,10.0,283785.97444351955,9.90918614244577,87.17631092792323,6437.080239807519,10502.115907282538,378,293,11.456455652895801,3.4994700000144583,1,0.16777696675224849,0.0,3.5000000000144618,14.986216300729343,109500.6083789316,87.17631092792323,554.426554983145,1.2101128482551147,0.023991320136615712,1,36440.088528655004,1,27399.98331166409,1.0441388707715423e8,92996.95479715159,1,3,1,ring_buckling,283790.9290365908,-75512.82368907207,-999.0
28,6.0,5.0,1,2,350000.0,500.0,25.0,1,0,15.0,75.0,10.0,54131.414115870335,10.079888476622816,174.57112539782432,4164.139251050173,7039.968517469499,378,293,4.228117182919812,3.294440000013115,1,0.5904758769530825,0.0,3.3000000000131515,14.998773949301413,22057.157214296574,182.46789827411806,554.4265552208216,1.0794365003462296,0.029856220419199705,1,15418.391885845922,1,20171.63285509275,2.2891495086065322e8,69780.54886537041,1,4,1,ring_buckling,54136.45406010865,-75425.42887460218,-999.0
29,6.0,5.0,1,2,700000.0,250.0,12.5,1,0,15.0,75.0,10.0,355240.0198398852,9.262939104415807,136.63693203507714,5489.723632700983,10985.306897392002,379,293,11.337245075065487,3.5080900000145148,1,-0.5139381196223268,0.0,3.520000000014593,14.931428768408011,102673.28353470509,136.63693203507714,544.5557273920265,1.2039331854978563,0.023219475614719928,3,38459.13169594272,1,26658.340593415924,7.376073404169204e8,93676.08663905875,1,3,1,ring_buckling,355244.6513094374,-75663.36306796492,-999.0
30,6.0,5.0,1,2,700000.0,250.0,25.0,1,0,15.0,75.0,10.0,61953.11351015316,8.178766725945458,59.40777951881482,2844.7879049075445,6407.305153060149,379,293,5.2330968671012235,3.4794700000143273,1,0.0903213543212302,0.0,3.4800000000143307,14.978620766907671,20065.229122680863,242.09050710786056,544.5557274330604,1.0563109595641826,0.02824289809208176,1,20119.947802302428,1,18816.49312434731,1.9795382751423454e8,69647.73936766374,1,4,1,ring_buckling,61957.202893516136,-75740.59222048118,-999.0
31,6.0,5.0,1,2,700000.0,500.0,12.5,1,0,15.0,75.0,10.0,355240.0198398852,9.262939104415807,136.63693203507714,5489.723632700983,10985.306897392002,379,293,11.337245075065487,3.5080900000145148,1,-0.5139381196223268,0.0,3.520000000014593,14.931428768408011,102673.28353470509,136.63693203507714,544.5557273920265,1.2039331854978563,0.023219475614719928,3,38459.13169594272,1,26658.340593415924,7.376073404169204e8,93676.08663905875,1,3,1,ring_buckling,355244.6513094374,-75663.36306796492,-999.0
32,6.0,5.0,1,2,700000.0,500.0,25.0,1,0,15.0,75.0,10.0,61953.11351015316,8.178766725945458,59.40777951881482,2844.7879049075445,6407.305153060149,379,293,5.2330968671012235,3.4794700000143273,1,0.0903213543212302,0.0,3.4800000000143307,14.978620766907671,20065.229122680863,242.09050710786056,544.5557274330604,1.0563109595641826,0.02824289809208176,1,20119.947802302428,1,18816.49312434731,1.9795382751423454e8,69647.73936766374,1,4,1,ring_buckling,61957.202893516136,-75740.59222048118,-999.0
33,11.0,5.0,0,0,350000.0,250.0,12.5,1,0,15.0,75.0,10.0,229533.9644714146,7.495537615622,210.16242584240666,3855.2988520551016,7207.04270299152,391,293,9.54234163662467,3.644460000015408,1,0.03114900911636655,0.0,3.66000000001551,14.999999999969415,83379.60226431706,531.0418798785643,600.6421265325023,1.0806938996879936,0.03566653905698908,1,17381.301055707503,1,17205.38281298651,3.470944202345979e8,76865.43356369177,1,2,1,ring_buckling,229537.7122402224,-77989.83757415759,-999.0
