# v13_5kw_masslift telemetry  length=18.8  window=40.0  min_clearance=1.5  lift=mass-aware-const-tension  margin=1.5  era=post-4ce9fd0_daisy-anchored-5kw  git=853d551032f8897bff093f85f0575f397e5b4d9f
island,gen,idx,fitness,status,P_mean,P_end,T_lift,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,blade_scale_top,blade_scale_bottom,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2,0,1,1.0e9,reject,5.1,5.08,458.99,1.63,false,2.89,6,9,3,2.4,0.575,0.0,0.0,0.7,0.7,18.8,2.4,0.575109,2.0,6.0,0.0,3.0,0.0,0.0,0.7,0.7
2,0,2,1.0e9,reject,5.51,5.74,579.65,0.63,false,5.12,8,9,2,2.593,0.814,6.2,0.7,0.713,0.449,18.8,2.59343,0.813968,1.895322,8.444566,0.162371,1.891713,6.167532,0.71657,0.713083,0.448767
2,0,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.65,7,12,1,2.854,0.526,20.0,14.7,0.174,0.613,18.8,2.85425,0.52587,2.538927,6.630925,-0.649759,1.390381,19.997336,14.717308,0.174293,0.612866
2,0,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,8.83,6,13,1,1.564,0.753,1.7,6.1,0.16,0.907,18.8,1.563943,0.752635,1.952213,5.520886,0.36017,1.381093,1.733308,6.083771,0.160219,0.90688
2,0,5,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-0.12,7,4,3,3.367,0.787,5.5,18.4,0.328,0.42,18.8,3.366846,0.786722,2.104618,6.787863,0.785935,2.62113,5.548828,18.446071,0.328077,0.419779
2,0,6,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.3,6,16,2,1.432,0.536,12.1,1.9,0.462,0.423,18.8,1.431825,0.535819,1.916897,6.172195,0.149092,2.108484,12.121556,1.910181,0.462495,0.423356
2,0,7,1.0e9,reject,3.92,3.97,841.56,2.65,false,4.08,7,13,2,3.524,0.604,2.7,16.7,0.841,0.642,18.8,3.524479,0.604167,1.354718,6.900884,-0.46998,2.043409,2.725048,16.685155,0.841248,0.641792
2,0,8,1.0e9,reject,3.04,3.06,335.08,0.37,false,3.24,7,13,3,3.449,0.69,14.4,5.3,0.446,0.557,18.8,3.449023,0.690089,1.056917,6.762722,0.003195,2.853335,14.447133,5.325109,0.445771,0.556702
2,0,9,1.0e9,reject,0.0,0.0,0.0,Inf,false,2.71,7,6,3,2.032,0.832,14.4,21.1,0.284,0.505,18.8,2.032032,0.831593,2.641795,6.839698,0.568802,2.615583,14.377172,21.085445,0.284034,0.504992
2,0,10,1.0e9,reject_twist,0.0,0.0,0.0,Inf,true,6.55,6,18,3,1.311,0.409,13.6,7.6,0.645,0.153,18.8,1.310999,0.409485,1.968144,6.214142,0.616574,2.647012,13.581622,7.639814,0.645448,0.152816
2,1,1,1.0e9,reject,2.33,2.34,351.76,0.09,false,4.19,7,20,2,3.992,0.488,18.2,0.0,0.373,0.628,18.8,3.991644,0.488327,1.0,7.0,-0.8,2.044765,18.15615,0.0,0.373348,0.627893
2,1,2,1.0e9,reject_twist,0.0,0.0,0.0,Inf,true,3.07,7,6,2,2.932,0.667,9.6,22.0,0.14,0.461,18.8,2.932482,0.666793,2.8,7.0,0.309082,1.552732,9.602155,22.0,0.14,0.460796
2,1,3,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.39,7,3,2,4.32,0.634,20.0,15.5,0.702,0.511,18.8,4.32,0.63426,2.538927,7.0,-0.649759,2.237557,19.997336,15.496208,0.701621,0.511487
2,1,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.44,6,17,3,2.096,0.807,11.1,8.6,0.16,0.907,18.8,2.095749,0.806806,1.117761,6.0,0.723942,3.0,11.122951,8.630998,0.160219,0.90688
2,1,5,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.94,7,11,2,1.44,0.532,16.2,20.3,0.65,0.14,18.8,1.440086,0.53189,2.8,7.0,0.487813,2.349321,16.231774,20.337784,0.650047,0.14
2,1,6,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.45,7,15,2,1.432,0.596,22.0,17.4,0.602,0.249,18.8,1.431825,0.596468,1.916897,7.0,-0.148948,2.397511,22.0,17.406093,0.601646,0.24911
2,1,7,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.88,7,11,3,0.93,0.732,19.3,19.9,0.841,0.268,18.8,0.929596,0.73194,2.641795,7.0,-0.46998,3.0,19.274488,19.857562,0.841248,0.268019
2,1,8,1.0e9,reject,2.81,2.83,474.61,0.29,false,2.97,7,14,3,3.617,0.635,20.4,5.3,0.514,0.722,18.8,3.617374,0.634996,1.0,7.0,-0.8,2.521816,20.386938,5.325109,0.513528,0.721751
2,1,9,1.0e9,reject,3.16,3.29,736.12,1.66,false,1.72,8,7,3,3.359,0.854,22.0,13.6,0.646,0.8,18.8,3.358643,0.853738,1.456983,8.0,-0.8,2.761271,22.0,13.61322,0.646352,0.799901
2,1,10,1.0e9,reject,5.21,5.44,788.76,0.0,false,4.83,8,15,2,3.166,0.492,22.0,11.3,0.814,0.274,18.8,3.16555,0.491853,1.54384,8.0,0.616574,2.111801,22.0,11.29687,0.813934,0.274115
