scenario,ring_id,radius_m,F_in_per_vertex_peak,T_line_static_ref_N,DLF_peak,DLF_mean,DLF_p95
steady11,1,0.9946666666666666,725.8063534861511,873.117320771901,0.8312815886466255,0.44631760923221525,0.7748961621746536
steady11,2,1.064,709.4958719024107,873.117320771901,0.8126008441513488,0.4412676756659036,0.7623803814268001
steady11,3,1.1333333333333333,632.3810378684371,873.117320771901,0.7242795702522142,0.39625358597180566,0.677553503247737
steady11,4,1.2026666666666666,586.1905094576466,873.117320771901,0.6713765670567735,0.36332359463211694,0.6155823911380847
steady11,5,1.272,535.9446141946778,873.117320771901,0.6138288651986227,0.33949635615163287,0.5670315270037493
steady11,6,1.3413333333333333,494.3958959825286,873.117320771901,0.5662422268125957,0.3236241080694798,0.5315740787441688
steady11,7,1.4106666666666667,468.5256802784561,873.117320771901,0.5366125137275302,0.3153998801348471,0.4995312524116197
steady11,8,1.48,443.5114650510344,873.117320771901,0.5079631963536552,0.31568737881927206,0.4774402732339579
steady11,9,1.5493333333333332,436.63677753266757,873.117320771901,0.5000894692441195,0.32620346315741755,0.4758047748652917
steady11,10,1.6186666666666665,452.8687283118902,873.117320771901,0.5186802707241226,0.34005021386117174,0.49239214980814194
steady11,11,1.688,469.78596447124914,873.117320771901,0.5380559442526271,0.3546468059472479,0.5187239363536003
steady11,12,1.7573333333333334,499.5853632414231,873.117320771901,0.5721858350029665,0.3695620683594663,0.5364882824172634
steady11,13,1.8266666666666667,515.0582146270846,873.117320771901,0.589907223661231,0.38532661508172444,0.570215380536444
steady11,14,1.896,651.6027100193895,873.117320771901,0.746294563763005,0.48253338976359544,0.7139754731244417
steady15,1,0.9946666666666666,908.3168492111879,1623.5652658981628,0.5594581679528007,0.30615903201608685,0.5281664132993046
steady15,2,1.064,870.9400648813204,1623.5652658981628,0.5364367439823942,0.29586233062349615,0.5049114426451373
steady15,3,1.1333333333333333,773.9078516396328,1623.5652658981628,0.4766718455334186,0.2626459461984012,0.44822068780605034
steady15,4,1.2026666666666666,693.3412859160036,1623.5652658981628,0.42704860745616186,0.23767283991155633,0.40367377415577566
steady15,5,1.272,643.3192659016657,1623.5652658981628,0.3962386233643518,0.21914275261846353,0.3674423856182156
steady15,6,1.3413333333333333,594.9639620122022,1623.5652658981628,0.36645521711322504,0.20542936608478893,0.3429512313633448
steady15,7,1.4106666666666667,548.3685922727225,1623.5652658981628,0.337755804334335,0.19581407570946008,0.31897628463169403
steady15,8,1.48,528.7524579777976,1623.5652658981628,0.3256736695985484,0.19008830563950294,0.2978706591691962
steady15,9,1.5493333333333332,491.1079211681201,1623.5652658981628,0.30248732926448585,0.1882015263158337,0.28677124327237985
steady15,10,1.6186666666666665,476.2725427616789,1623.5652658981628,0.29334979798191424,0.19109111066971568,0.27800025555885793
steady15,11,1.688,481.84828371254787,1623.5652658981628,0.29678405533391816,0.1975768682478804,0.286151018900946
steady15,12,1.7573333333333334,507.7147924058514,1623.5652658981628,0.3127159733396868,0.20468295894130886,0.29711481118304195
steady15,13,1.8266666666666667,526.36380723228,1623.5652658981628,0.32420243170273383,0.21173079441415735,0.30732588243160464
steady15,14,1.896,653.0722803931952,1623.5652658981628,0.4022457822364862,0.2659167873821539,0.3881311333916599
steady20,1,0.9946666666666666,1167.2316836984053,2886.338250485623,0.4043987857286026,0.2355753104951034,0.3852723512932301
steady20,2,1.064,1088.1120383144412,2886.338250485623,0.37698701395491935,0.22174585480436093,0.3618420968807588
steady20,3,1.1333333333333333,967.6008949727727,2886.338250485623,0.3352347545579507,0.19426820647655557,0.3187349177758612
steady20,4,1.2026666666666666,855.753518794893,2886.338250485623,0.2964841416805232,0.17318660183810347,0.28459813994743943
steady20,5,1.272,786.5502916660341,2886.338250485623,0.2725080095978695,0.15719274939870695,0.25769036609830287
steady20,6,1.3413333333333333,734.333389658102,2886.338250485623,0.2544169553012545,0.14497070975936466,0.23575724279533633
steady20,7,1.4106666666666667,658.1113991846795,2886.338250485623,0.22800910429467267,0.1357093348835146,0.21966614901112444
steady20,8,1.48,631.4435077534345,2886.338250485623,0.2187697535613488,0.12898877432855477,0.2033715416431924
steady20,9,1.5493333333333332,595.4827380157169,2886.338250485623,0.2063107946255182,0.1244993298517039,0.19432623087097417
steady20,10,1.6186666666666665,568.4319532376884,2886.338250485623,0.1969387867627955,0.12257622513416509,0.1810483059374733
steady20,11,1.688,533.3092637906518,2886.338250485623,0.18477018890662697,0.1234457918802325,0.17874074826186767
steady20,12,1.7573333333333334,551.1644945319897,2886.338250485623,0.19095630750805348,0.12684692548167786,0.18022458008035702
steady20,13,1.8266666666666667,558.959198440273,2886.338250485623,0.19365685859799306,0.1307218509345788,0.1876001558587144
steady20,14,1.896,717.4981430132411,2886.338250485623,0.2485842201247629,0.16506149727931024,0.23751726919344726
steady25,1,0.9946666666666666,1463.2670154244697,4509.903516383785,0.32445639027723006,0.20253203002795006,0.3111095094661656
