t,v_hub,ring_id,radius,N_comp,P_crit,fos,F_inward_total,F_inward_per_vertex
1.440000000000877,10.972361577004978,5,1.272,86.14802048711564,320.5119092098041,3.7204790939768615,625.9020058736661,125.18040117473322
1.440000000000877,10.972361577004978,6,1.3413333333333333,89.87189594623469,320.5119092098043,3.5663196579445544,652.9575447741208,130.59150895482418
1.440000000000877,10.972361577004978,7,1.4106666666666667,90.75624946667884,320.5119092098044,3.5315684715186513,659.3827491980602,131.87654983961204
1.440000000000877,10.972361577004978,8,1.48,93.16877782632717,320.5119092098042,3.44012143002734,676.9107937310955,135.3821587462191
1.440000000000877,10.972361577004978,9,1.5493333333333332,97.3672149682032,320.51190920980383,3.2917847071467747,707.4142250783975,141.48284501567952
1.440000000000877,10.972361577004978,10,1.6186666666666665,102.93552288367495,320.51190920980434,3.1137152678770326,747.8703501745886,149.57407003491772
1.440000000000877,10.972361577004978,11,1.688,107.54630319942659,320.5119092098041,2.980222468600046,781.3696300414242,156.27392600828483
1.440000000000877,10.972361577004978,12,1.7573333333333334,110.71357491003982,320.51190920980434,2.894964862892702,804.3812059965121,160.87624119930243
1.440000000000877,10.972361577004978,13,1.8266666666666667,111.74157835714871,320.511909209804,2.8683316803113614,811.8500882291194,162.37001764582388
1.440000000000877,10.972361577004978,14,1.896,135.07753810459718,320.5119092098043,2.3727994580536116,981.3957601125448,196.27915202250898
1.480000000000917,10.971832667587641,1,0.9946666666666666,70.65240383623465,320.51190920980406,4.536461490435898,513.3197609283358,102.66395218566716
1.480000000000917,10.971832667587641,2,1.064,70.12160502203228,320.511909209804,4.570801097737264,509.46328180500734,101.89265636100147
1.480000000000917,10.971832667587641,3,1.1333333333333333,79.06478502675873,320.5119092098041,4.053788410369166,574.4392878954168,114.88785757908336
1.480000000000917,10.971832667587641,4,1.2026666666666666,84.370818761916,320.5119092098043,3.79884791819135,612.9898795316458,122.59797590632915
1.480000000000917,10.971832667587641,5,1.272,86.31203310350996,320.5119092098041,3.7134093322240393,627.0936272830652,125.41872545661303
1.480000000000917,10.971832667587641,6,1.3413333333333333,86.70439381983435,320.5119092098043,3.6966051556257407,629.9442947503483,125.98885895006966
1.480000000000917,10.971832667587641,7,1.4106666666666667,91.1474713514416,320.5119092098044,3.516410323375747,662.2251425697257,132.44502851394515
1.480000000000917,10.971832667587641,8,1.48,97.32846705028018,320.5119092098042,3.293095215855262,707.1327049759702,141.42654099519405
1.480000000000917,10.971832667587641,9,1.5493333333333332,101.988604073092,320.51190920980383,3.1426247287403117,740.9905823100211,148.1981164620042
1.480000000000917,10.971832667587641,10,1.6186666666666665,104.45462524591484,320.51190920980434,3.0684319478934645,758.9072748801955,151.7814549760391
1.480000000000917,10.971832667587641,11,1.688,105.9040072964552,320.5119092098041,3.02643797332995,769.4376518706474,153.88753037412948
1.480000000000917,10.971832667587641,12,1.7573333333333334,108.57177355791315,320.51190920980434,2.952073994064769,788.820108307918,157.7640216615836
1.480000000000917,10.971832667587641,13,1.8266666666666667,112.29777073850111,320.511909209804,2.8541253054448834,815.8910624171704,163.17821248343407
1.480000000000917,10.971832667587641,14,1.896,140.30842554437245,320.5119092098043,2.2843382923461184,1019.4003819546031,203.8800763909206
1.520000000000957,10.972834196626076,1,0.9946666666666666,68.0209261527111,320.51190920980406,4.711960382459883,494.20095644256685,98.84019128851337
1.520000000000957,10.972834196626076,2,1.064,78.90652895953802,320.511909209804,4.061918746598995,573.2894902639097,114.65789805278193
1.520000000000957,10.972834196626076,3,1.1333333333333333,81.93117543994666,320.5119092098041,3.9119652255536197,595.2648332658957,119.05296665317914
1.520000000000957,10.972834196626076,4,1.2026666666666666,81.72711801339894,320.5119092098043,3.921732675771795,593.7822692804732,118.75645385609465
