run_id,wind_speed,payout_duration,active_winch,damping_mode,EA_back_line,c_back_line,i_pto,field_imu,mppt_stall,payout_base_m,lifter_elev_deg,duration_s,d_tau_gen_rms,d_omega_rms,T_min,T_mean,T_std,slack_events,brake_time,brake_engaged,omega_hub_final,omega_gnd_final,time_to_omega1,max_payout_reached,peak_tau_gen,min_tension_before_brake,T_cyan_min,twist_max,fos_buckling_min,is_disqualified,disqualification_reason,smoothness_raw,tension_raw,composite_score
1,6.0,15.0,0,0,350000.0,250.0,12.5,1,0,15.0,75.0,30.0,2205.756848215647,1.7333687285256008,0.0,1868.6256267117417,2293.9293795654735,1500,7.673960000016404,1,0.8705381090418106,0.0,7.6800000000164435,14.999999999997222,1826.6864633460682,688.6515060859089,537.2641611920415,0.4458476632513708,0.07754472649231695,1,ring_buckling,2206.62353257991,-300000.0,-99999.0
2,6.0,15.0,0,0,350000.0,250.0,25.0,1,0,15.0,75.0,30.0,804.1928885168047,1.7726185737315012,0.0,1921.42989421454,2153.308927793518,1500,7.701320000016583,1,-0.05571670733275177,0.0,7.7200000000167055,14.999999999997222,702.1327319269793,762.6814725655015,537.2824445867508,0.4438949783192072,0.09587609053225928,1,ring_buckling,805.0791978036705,-300000.0,-99999.0
3,6.0,15.0,0,0,350000.0,500.0,12.5,1,0,15.0,75.0,30.0,2205.756848215647,1.7333687285256008,0.0,1868.6256267117417,2293.9293795654735,1500,7.673960000016404,1,0.8705381090418106,0.0,7.6800000000164435,14.999999999997222,1826.6864633460682,688.6515060859089,537.2641611920415,0.4458476632513708,0.07754472649231695,1,ring_buckling,2206.62353257991,-300000.0,-99999.0
4,6.0,15.0,0,0,350000.0,500.0,25.0,1,0,15.0,75.0,30.0,804.1928885168047,1.7726185737315012,0.0,1921.42989421454,2153.308927793518,1500,7.701320000016583,1,-0.05571670733275177,0.0,7.7200000000167055,14.999999999997222,702.1327319269793,762.6814725655015,537.2824445867508,0.4438949783192072,0.09587609053225928,1,ring_buckling,805.0791978036705,-300000.0,-99999.0
5,6.0,15.0,0,0,700000.0,250.0,12.5,1,0,15.0,75.0,30.0,2174.3646322552795,1.724306147476674,0.0,1471.120090202256,2418.5088460976485,1500,7.080040000012513,1,-0.09891380959873558,0.0,7.080000000012513,14.999999999997222,1804.1511975427993,0.0,525.8325952755882,0.6469506015706799,0.10026097816109752,1,ring_buckling,2175.2267853290177,-300000.0,-99999.0
6,6.0,15.0,0,0,700000.0,250.0,25.0,1,0,15.0,75.0,30.0,817.1985455468811,1.6866541560193196,0.0,1646.3149326568287,2593.255651600782,1500,7.692200000016523,1,0.020833830984035656,0.0,7.7000000000165745,14.999999999997222,745.4629706843358,12.769409198512458,525.8440177124513,0.468288068698854,0.0752640727632085,1,ring_buckling,818.0418726248907,-300000.0,-99999.0
7,6.0,15.0,0,0,700000.0,500.0,12.5,1,0,15.0,75.0,30.0,2174.3646322552795,1.724306147476674,0.0,1471.120090202256,2418.5088460976485,1500,7.080040000012513,1,-0.09891380959873558,0.0,7.080000000012513,14.999999999997222,1804.1511975427993,0.0,525.8325952755882,0.6469506015706799,0.10026097816109752,1,ring_buckling,2175.2267853290177,-300000.0,-99999.0
8,6.0,15.0,0,0,700000.0,500.0,25.0,1,0,15.0,75.0,30.0,817.1985455468811,1.6866541560193196,0.0,1646.3149326568287,2593.255651600782,1500,7.692200000016523,1,0.020833830984035656,0.0,7.7000000000165745,14.999999999997222,745.4629706843358,12.769409198512458,525.8440177124513,0.468288068698854,0.0752640727632085,1,ring_buckling,818.0418726248907,-300000.0,-99999.0
9,6.0,15.0,0,2,350000.0,250.0,12.5,1,0,15.0,75.0,30.0,56164.78521269354,2.719550271994187,0.0,2394.3210170477714,4626.124766279906,1500,11.340920000040427,1,-0.1375941970959398,0.0,11.360000000040552,14.999999999997222,29149.225822676497,920.6539425201013,537.2622743269773,0.9091015144729298,0.029248914126948217,1,ring_buckling,56166.14498782954,-300000.0,-99999.0
10,6.0,15.0,0,2,350000.0,250.0,25.0,1,0,15.0,75.0,30.0,1675.6301068012142,2.564940350390139,0.0,1744.9186842580048,2682.804311989621,1500,7.5050800000152975,1,0.24721856324480038,0.0,7.520000000015395,14.999999999997222,1563.8180335380864,868.9589161408719,537.2819548686181,0.5311393048942463,0.0815889968960626,1,ring_buckling,1676.9125769764094,-300000.0,-99999.0
11,6.0,15.0,0,2,350000.0,500.0,12.5,1,0,15.0,75.0,30.0,56164.78521269354,2.719550271994187,0.0,2394.3210170477714,4626.124766279906,1500,11.340920000040427,1,-0.1375941970959398,0.0,11.360000000040552,14.999999999997222,29149.225822676497,920.6539425201013,537.2622743269773,0.9091015144729298,0.029248914126948217,1,ring_buckling,56166.14498782954,-300000.0,-99999.0
12,6.0,15.0,0,2,350000.0,500.0,25.0,1,0,15.0,75.0,30.0,1675.6301068012142,2.564940350390139,0.0,1744.9186842580048,2682.804311989621,1500,7.5050800000152975,1,0.24721856324480038,0.0,7.520000000015395,14.999999999997222,1563.8180335380864,868.9589161408719,537.2819548686181,0.5311393048942463,0.0815889968960626,1,ring_buckling,1676.9125769764094,-300000.0,-99999.0
13,6.0,15.0,0,2,700000.0,250.0,12.5,1,0,15.0,75.0,30.0,52773.00456748493,2.6607348784768527,0.0,1890.1097528941912,3909.0748729586294,1500,10.832080000037093,1,-0.12677388894407776,0.0,10.840000000037145,14.999999999997222,33398.097988352616,79.13279645046663,525.831775634611,0.888254780194714,0.033201336576384126,1,ring_buckling,52774.33493492417,-300000.0,-99999.0
14,6.0,15.0,0,2,700000.0,250.0,25.0,1,0,15.0,75.0,30.0,1609.0198631405488,3.1305663764724447,0.0,2242.699531663397,2804.911073867842,1500,7.0161600000120945,1,-0.24985098310121887,0.0,7.02000000001212,14.999999999997222,1147.3724961805706,161.7102971440607,525.843807540749,0.6782904929832014,0.05386549814505277,1,ring_buckling,1610.585146328785,-300000.0,-99999.0
15,6.0,15.0,0,2,700000.0,500.0,12.5,1,0,15.0,75.0,30.0,52773.00456748493,2.6607348784768527,0.0,1890.1097528941912,3909.0748729586294,1500,10.832080000037093,1,-0.12677388894407776,0.0,10.840000000037145,14.999999999997222,33398.097988352616,79.13279645046663,525.831775634611,0.888254780194714,0.033201336576384126,1,ring_buckling,52774.33493492417,-300000.0,-99999.0
16,6.0,15.0,0,2,700000.0,500.0,25.0,1,0,15.0,75.0,30.0,1609.0198631405488,3.1305663764724447,0.0,2242.699531663397,2804.911073867842,1500,7.0161600000120945,1,-0.24985098310121887,0.0,7.02000000001212,14.999999999997222,1147.3724961805706,161.7102971440607,525.843807540749,0.6782904929832014,0.05386549814505277,1,ring_buckling,1610.585146328785,-300000.0,-99999.0
17,6.0,15.0,1,0,350000.0,250.0,12.5,1,0,15.0,75.0,30.0,1866.2303169475053,1.6526116331751286,0.0,1294.860021177721,1456.450286823491,1500,8.720880000023262,1,-0.06596764014806633,0.0,8.740000000023388,3.5199381194040944,1387.741806722559,810.2942419444851,537.2641611920415,0.5340255595417531,0.1273631114603549,1,ring_buckling,1867.056622764093,-300000.0,-99999.0
18,6.0,15.0,1,0,350000.0,250.0,25.0,1,0,15.0,75.0,30.0,610.1667624443864,0.6513693398660737,0.0,1353.044935837762,1173.9372088557964,1500,NaN,0,1.27787269936542,1.3333706655494584,NaN,2.685499611208197,602.9399803856861,536.387508075489,537.2824445867508,0.4427510321595207,0.4078319675451635,1,ring_buckling,610.4924471143195,-300000.0,-99999.0
19,6.0,15.0,1,0,350000.0,500.0,12.5,1,0,15.0,75.0,30.0,1866.2303169475053,1.6526116331751286,0.0,1294.860021177721,1456.450286823491,1500,8.720880000023262,1,-0.06596764014806633,0.0,8.740000000023388,3.5199381194040944,1387.741806722559,810.2942419444851,537.2641611920415,0.5340255595417531,0.1273631114603549,1,ring_buckling,1867.056622764093,-300000.0,-99999.0
20,6.0,15.0,1,0,350000.0,500.0,25.0,1,0,15.0,75.0,30.0,610.1667624443864,0.6513693398660737,0.0,1353.044935837762,1173.9372088557964,1500,NaN,0,1.27787269936542,1.3333706655494584,NaN,2.685499611208197,602.9399803856861,536.387508075489,537.2824445867508,0.4427510321595207,0.4078319675451635,1,ring_buckling,610.4924471143195,-300000.0,-99999.0
21,6.0,15.0,1,0,700000.0,250.0,12.5,1,0,15.0,75.0,30.0,1497.263321427168,1.3381216553243032,0.0,1646.0445502993502,2236.6059123431664,1500,10.966760000037976,1,0.44897558324569325,0.0,10.980000000038062,9.297365332780481,826.7805693816418,719.4429712702093,525.8325952755882,0.7204944137590701,0.10190248755847833,1,ring_buckling,1497.9323822548301,-300000.0,-99999.0
22,6.0,15.0,1,0,700000.0,250.0,25.0,1,0,15.0,75.0,30.0,1145.8919328240895,2.675345903628313,0.0,1699.5336181662394,2366.5948126297662,1500,10.1919200000329,1,-0.02497839919396827,0.0,10.200000000032952,4.552492006825739,848.542221169406,638.6563803152636,525.8440177124513,0.5902988296174954,0.047743906209111696,1,ring_buckling,1147.2296057759036,-300000.0,-99999.0
23,6.0,15.0,1,0,700000.0,500.0,12.5,1,0,15.0,75.0,30.0,1497.263321427168,1.3381216553243032,0.0,1646.0445502993502,2236.6059123431664,1500,10.966760000037976,1,0.44897558324569325,0.0,10.980000000038062,9.297365332780481,826.7805693816418,719.4429712702093,525.8325952755882,0.7204944137590701,0.10190248755847833,1,ring_buckling,1497.9323822548301,-300000.0,-99999.0
24,6.0,15.0,1,0,700000.0,500.0,25.0,1,0,15.0,75.0,30.0,1145.8919328240895,2.675345903628313,0.0,1699.5336181662394,2366.5948126297662,1500,10.1919200000329,1,-0.02497839919396827,0.0,10.200000000032952,4.552492006825739,848.542221169406,638.6563803152636,525.8440177124513,0.5902988296174954,0.047743906209111696,1,ring_buckling,1147.2296057759036,-300000.0,-99999.0
25,6.0,15.0,1,2,350000.0,250.0,12.5,1,0,15.0,75.0,30.0,2115.3853349213728,0.8346987040857814,0.0,1942.0208893136519,1911.9307020150814,1500,NaN,0,5.89065544750152,4.408321691770942,NaN,2.7618986698599075,844.7265087353528,466.25606117859115,537.2622743269773,0.43954253431143187,0.19287883482946114,1,ring_buckling,2115.8026842734157,-300000.0,-99999.0
26,6.0,15.0,1,2,350000.0,250.0,25.0,1,0,15.0,75.0,30.0,1303.6854157636008,3.0697625574816705,0.0,2084.4518504417456,2420.04223635782,1500,12.270840000046519,1,-0.22428158464483208,0.0,12.280000000046579,5.837856280402446,1029.2488206833777,923.9617432847846,537.2819548686181,0.5312005219390414,0.07896669983302136,1,ring_buckling,1305.2202970423416,-300000.0,-99999.0
