t,k_mppt,P_kw,omega_hub,omega_gnd,delta_omega,min_fos,collapse_margin_deg,twist_deg,T_max_N,state
0.019999999999999858,62.0,0.01865163760788441,0.6707649531334705,0.6707191039276117,4.584920585881669e-5,85.74820821690213,Inf,36.05146108550147,2621.3905616160514,fixed
0.03999999999999904,62.0,0.01896392541714639,0.6749485137391809,0.674441728953238,0.0005067847859429042,96.63577981680453,Inf,36.0517795725484,2593.723777300508,fixed
0.05999999999999823,62.0,0.019273364352532543,0.6792590117067017,0.6780902981434741,0.0011687135632275636,75.02664119699332,Inf,36.05272144414667,2503.696351300159,fixed
0.07999999999999742,62.0,0.019581534652495788,0.6836075284792652,0.6816852996772506,0.0019222288020146472,63.11321187105846,Inf,36.054500750594755,2426.980973679529,fixed
0.0999999999999966,62.0,0.01989247148783685,0.687495762775704,0.6852745475969778,0.002221215178726199,44.88747110233899,Inf,36.056961877262594,2471.3460116454203,fixed
0.11999999999999579,62.0,0.020210214722781665,0.6902730393673833,0.688903930716634,0.00136910865074924,44.63744932170015,Inf,36.05914238927126,2538.300655671636,fixed
0.14000000000000018,62.0,0.020537219648619022,0.692025262038283,0.6925995996376866,-0.0005743375994036182,42.61614836890827,Inf,36.05966021232793,2619.1356035273675,fixed
0.1600000000000063,62.0,0.02087568342922326,0.694351617650915,0.6963836846563296,-0.002032067005414584,35.473858274810745,Inf,36.057970765507335,2733.0939968037,fixed
0.18000000000001243,62.0,0.021231050174816118,0.7007703988966392,0.7003129851354681,0.0004574137611710327,27.48732196292621,Inf,36.05641697707739,2893.8487411933265,fixed
0.20000000000001855,62.0,0.021611830170520197,0.7209490563447712,0.7044749186012038,0.01647413774356743,23.46078475773112,Inf,36.06396647833339,3124.2066485297114,fixed
0.22000000000002468,62.0,0.02202939824984634,0.7600648668942667,0.7089831248149748,0.051081742079291836,20.172645086985337,Inf,36.101754742755276,3354.3031921555103,fixed
0.2400000000000308,62.0,0.022498699054656852,0.8064603117492954,0.7139823715329623,0.09247794021633315,16.857702716220047,Inf,36.1835271217185,3604.027473352658,fixed
0.26000000000003,62.0,0.02304199068676819,0.8583210708575862,0.7196837318592892,0.138637338998297,14.954799751726037,Inf,36.315631667153056,3894.0737725390895,fixed
0.28000000000002223,62.0,0.02369235732016313,0.9140202759529665,0.726392098627026,0.1876281773259405,14.0259051903271,Inf,36.50246014291214,4173.216624250533,fixed
0.3000000000000145,62.0,0.024498078875185136,0.9724930865244684,0.7345347778181833,0.2379583087062851,12.895045672406656,Inf,36.74622420662225,4445.718674378065,fixed
0.3200000000000067,62.0,0.02552871457847022,1.033961777069493,0.744694253805919,0.2892675232635741,12.086921455858361,Inf,37.048391052927286,4732.599849192642,fixed
0.33999999999999897,62.0,0.02688120468286986,1.0956182431983343,0.7576197067645556,0.33799853643377875,12.138299301392115,Inf,37.4082649118008,5045.549878149894,fixed
0.3599999999999912,62.0,0.028681745013278272,1.1565628339414407,0.7741709610447677,0.382391872896673,12.185185283587854,Inf,37.82145851371297,5482.569100497381,fixed
0.37999999999998346,62.0,0.031084779564434905,1.2170153692201995,0.7952144885322974,0.4218008806879021,12.197471632722516,Inf,38.28287303284245,5942.181207890483,fixed
0.3999999999999757,62.0,0.0342753301098771,1.2754623805606993,0.8215403567279985,0.45392202383270075,12.35317126706954,Inf,38.78542866875912,6449.653680902347,fixed
0.41999999999996795,62.0,0.038466954781369286,1.3312313535188407,0.853750470096467,0.4774808834223737,12.61879281033814,Inf,39.3199710870853,6975.498144102947,fixed
0.4399999999999602,62.0,0.043898013383349865,1.3842856836340678,0.892174848319772,0.4921108353142958,13.002643195865152,Inf,39.87633093855485,7475.969071513437,fixed
0.45999999999995245,62.0,0.050829442820005684,1.436141258134341,0.9368573533013839,0.49928390483295704,10.604763468832088,Inf,40.44501274115924,7948.551553790058,fixed
0.4799999999999447,62.0,0.05952411887750432,1.4858449393620623,0.9874899369473604,0.4983550024147019,8.857998034473434,Inf,41.01756517998963,8356.048181353493,fixed
0.49999999999993694,62.0,0.07021166290563358,1.5284949529722889,1.0433694263563913,0.4851255266158976,7.675065864606641,Inf,41.581916811454896,8653.545267553498,fixed
0.5199999999999569,62.0,0.08303107304788652,1.5693856004715825,1.103354922786918,0.46603067768466455,6.869306158448339,Inf,42.12737077050429,8820.593249451367,fixed
0.5399999999999769,62.0,0.0979755258765208,1.6090222985809064,1.1659346824961851,0.44308761608472125,6.375775105977315,Inf,42.648382273640095,8824.181246776976,fixed
0.559999999999997,62.0,0.11484619790649242,1.6493481174660487,1.2293453254846003,0.4200027919814484,6.119267378947496,Inf,43.142797505470526,8672.198650912083,fixed
0.580000000000017,62.0,0.13322304428770268,1.690096528930486,1.2916994401605741,0.39839708876991176,6.075760622455829,Inf,43.61147533910824,8355.426794699611,fixed
0.600000000000037,62.0,0.1524772804440188,1.7301962613464388,1.3511494827032358,0.379046778643203,6.236773812532824,Inf,44.056679896205836,7893.234915964221,fixed
0.620000000000057,62.0,0.17182938306526768,1.767979454307128,1.406050212733153,0.3619292415739752,6.613666299429813,Inf,44.48099434736743,7379.4290310783745,fixed
0.640000000000077,62.0,0.19044932677411,1.8027188662842233,1.4551066788598692,0.34761218742435407,7.134587502663739,Inf,44.8871744585004,6793.636305733275,fixed
0.660000000000097,62.0,0.2075754880196665,1.8347935876498307,1.4974777425224903,0.33731584512734036,7.92522056492671,Inf,45.27918151114089,6128.109058572322,fixed
0.680000000000117,62.0,0.22261781238651523,1.8649435167152808,1.5328099953526597,0.3321335213626211,9.059248238567296,Inf,45.66217188507475,5418.286382932608,fixed
0.700000000000137,62.0,0.23522259214932983,1.8960556473963337,1.5612101424822906,0.3348455049140431,10.646821338275696,Inf,46.04403802247095,4702.180662274047,fixed
0.720000000000157,62.0,0.24528063003312442,1.9245857163785383,1.5831525733435456,0.3414331430349926,12.811678832398048,Inf,46.43100275326347,4009.420043286291,fixed
