# v13_5kw_masslift telemetry  length=18.8  window=40.0  min_clearance=1.5  lift=mass-aware-const-tension  margin=1.5  era=post-4ce9fd0_daisy-anchored-5kw  git=1c9f9cbf4eac8f6d7909ab4d6cb5ee62417cb979
island,gen,idx,fitness,status,P_mean,P_end,T_lift,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,blade_scale_top,blade_scale_bottom,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2,2,2,1.0e9,reject,0.0,0.0,0.0,Inf,false,8.6,7,23,2,0.996,0.534,6.2,0.7,0.494,0.14,18.8,0.996296,0.534089,1.547141,7.0,0.524797,1.891713,6.167532,0.71657,0.494001,0.14
2,2,3,1.0e9,reject,4.03,3.56,300.02,0.38,false,2.74,7,7,2,4.32,0.494,20.0,21.7,0.519,0.14,18.8,4.32,0.49419,1.719604,7.0,0.057069,2.237557,19.997336,21.734332,0.519396,0.14
2,2,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,8.05,8,20,2,1.124,0.499,22.0,21.5,0.71,0.14,18.8,1.124288,0.499037,1.78654,8.0,0.748691,2.118433,22.0,21.470801,0.710428,0.14
2,2,5,1.0e9,reject,3.72,3.8,267.39,0.27,false,3.7,8,10,2,3.72,0.507,22.0,22.0,0.458,0.14,18.8,3.719998,0.507427,1.75699,8.0,-0.035237,1.86418,22.0,22.0,0.458444,0.14
2,2,6,1.0e9,reject,3.16,2.44,209.27,0.02,false,3.26,6,9,2,4.32,0.596,22.0,11.6,0.336,0.14,18.8,4.32,0.596468,1.48825,6.0,-0.148948,2.237557,22.0,11.626474,0.336243,0.14
2,2,7,63.987,ok,5.49,5.53,882.18,12.02,false,3.14,6,9,3,2.551,0.851,9.7,7.6,0.885,0.885,18.8,2.550978,0.85094,1.652054,6.0,-0.8,3.0,9.673904,7.624452,0.885336,0.884551
2,2,8,1.0e9,reject,2.25,1.3,376.34,0.31,false,2.59,7,7,2,4.003,0.642,4.1,22.0,0.437,0.554,18.8,4.002831,0.642069,1.766733,7.0,-0.8,2.183647,4.090928,22.0,0.43741,0.554369
2,2,9,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-1.2,5,4,3,4.32,0.847,8.3,7.8,0.973,0.885,18.8,4.32,0.847497,1.604516,5.0,-0.8,3.0,8.251608,7.811612,0.973005,0.884551
2,2,10,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.33,7,7,3,3.316,0.483,8.5,15.7,0.71,0.433,18.8,3.315916,0.48302,1.725749,7.0,0.134963,2.636284,8.492209,15.654147,0.709627,0.432858
2,3,1,83.39,ok,6.55,6.61,809.94,12.78,false,4.2,5,14,3,2.18,0.575,6.5,10.1,0.958,1.0,18.8,2.180312,0.575109,1.571776,5.0,-0.8,3.0,6.489811,10.051133,0.958027,1.0
2,3,2,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.82,7,22,2,2.593,0.323,19.3,22.0,0.371,0.14,18.8,2.59343,0.323077,1.652573,7.0,0.583263,2.032859,19.332282,22.0,0.371168,0.14
2,3,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.51,9,25,2,1.553,0.293,21.3,21.7,0.519,0.14,18.8,1.553132,0.292772,1.719604,9.0,0.8,1.914525,21.337512,21.734332,0.519396,0.14
2,3,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.72,9,25,2,1.124,0.288,8.0,22.0,0.71,0.433,18.8,1.124288,0.287554,1.910467,9.0,0.8,2.378368,7.963263,22.0,0.710428,0.432858
2,3,5,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.18,7,6,3,2.957,0.667,13.0,22.0,0.874,0.607,18.8,2.956581,0.666892,2.015415,7.0,-0.035237,2.725197,12.999258,22.0,0.874366,0.606878
2,3,6,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.75,9,15,2,2.01,0.619,20.9,15.7,0.336,0.14,18.8,2.009917,0.619432,1.698454,9.0,-0.148948,2.237557,20.869596,15.692052,0.336243,0.14
2,3,7,44.352,ok,5.42,5.46,476.84,14.11,false,5.04,6,17,3,2.197,0.657,0.0,0.0,0.61,0.885,18.8,2.196812,0.6574,1.237994,6.0,0.110565,3.0,0.0,0.0,0.60976,0.884551
2,3,8,133.66,ok,7.69,7.77,1262.7,4.79,false,4.01,7,10,3,1.873,0.642,1.7,22.0,1.0,0.802,18.8,1.872711,0.642069,2.1,7.0,0.8,2.763892,1.74105,22.0,1.0,0.801967
2,3,9,79.474,ok,6.48,6.53,863.68,7.29,false,3.73,6,9,3,2.121,0.633,9.7,19.3,0.973,0.557,18.8,2.120528,0.633317,2.015415,6.0,0.316866,2.725197,9.673904,19.329889,0.973005,0.556549
2,3,10,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.26,7,14,2,2.171,0.554,20.9,15.7,0.408,0.14,18.8,2.170637,0.55434,1.905698,7.0,0.134963,2.237557,20.869596,15.692052,0.407622,0.14
2,4,1,66.901,ok,5.49,5.44,878.94,5.19,false,4.57,6,9,2,2.876,0.863,8.8,8.4,0.974,0.565,18.8,2.875893,0.862663,1.828609,6.0,-0.010974,2.474982,8.750622,8.386929,0.974369,0.564728
2,4,2,1.0e9,reject,3.85,3.84,295.53,1.29,false,5.19,8,8,2,2.61,0.814,6.2,22.0,0.545,0.14,18.8,2.609681,0.813968,2.1,8.0,0.162371,2.020786,6.167532,22.0,0.545166,0.14
2,4,3,67.442,ok,5.44,5.48,941.93,11.81,false,4.35,6,15,3,2.61,0.795,0.0,0.0,0.876,1.0,18.8,2.609652,0.795036,1.13094,6.0,0.330825,2.755313,0.0,0.0,0.876377,1.0
2,4,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.91,6,21,3,1.748,0.508,8.0,22.0,0.32,0.647,18.8,1.747625,0.507646,1.354475,6.0,-0.129088,3.0,7.963263,22.0,0.319669,0.646863
2,4,5,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.38,7,12,2,1.995,0.619,20.2,22.0,0.656,0.141,18.8,1.995009,0.61907,2.1,7.0,0.66507,2.245345,20.233739,22.0,0.655846,0.140936
2,4,6,101.48,ok,7.28,7.32,1012.62,6.0,false,4.54,6,11,3,2.01,0.734,1.0,0.0,1.0,0.829,18.8,2.009917,0.734359,1.698454,6.0,-0.148948,2.831715,1.047569,0.0,1.0,0.829244
2,4,7,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.37,5,19,3,1.82,0.657,22.0,22.0,0.6,0.22,18.8,1.820457,0.6574,1.237994,5.0,0.249365,2.854745,22.0,22.0,0.600092,0.219812
2,4,8,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.32,5,17,3,2.209,0.805,0.0,0.0,1.0,1.0,18.8,2.209356,0.804538,1.074526,5.0,0.098593,3.0,0.0,0.0,1.0,1.0
2,4,9,1.0e9,reject,0.0,0.0,0.0,Inf,false,3.58,5,9,3,2.145,0.633,9.7,0.0,0.901,0.758,18.8,2.145215,0.633317,2.015415,5.0,0.349403,2.725197,9.673904,0.0,0.900516,0.758011
2,4,10,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.23,8,17,2,2.407,0.751,20.9,2.1,0.386,0.494,18.8,2.406927,0.751115,1.21658,8.0,-0.060668,2.029152,20.869596,2.051995,0.386325,0.493936
2,5,1,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.39,5,19,3,1.685,0.448,0.0,21.2,0.787,0.922,18.8,1.684791,0.448356,1.609714,5.0,0.0,3.0,0.0,21.196453,0.787147,0.922047
2,5,2,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.41,5,17,2,1.834,0.621,0.0,17.8,0.713,0.799,18.8,1.833554,0.621205,1.547141,5.0,0.253054,1.891713,0.0,17.84663,0.713083,0.798922
2,5,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.47,6,21,3,1.909,0.523,0.0,4.8,0.762,1.0,18.8,1.908581,0.523336,1.265559,6.0,-0.741501,2.755313,0.0,4.781699,0.761826,1.0
