config,r_rotor_m,r_hub_m,taper_ratio,n_rings,Do_top_mm,t_over_D,tether_length_m,T_peak_N,mass_total_kg,mass_beams_kg,mass_knuckles_kg,min_fos,worst_ring_idx,feasible,message
10 kW,5.0,2.0,0.48,14,19.74242133072841,0.05,30.0,22549.517581918928,14.032103320350481,10.032103320350481,4.0,0.06880434924619694,10,false,FOS 0.07 < 1.8 at ring 10
50 kW,11.180339887498949,4.47213595499958,0.48,14,29.521805675260552,0.05,67.0820393249937,112747.58790959466,54.16051660175242,50.16051660175242,4.0,0.013760869849239375,9,false,FOS 0.01 < 1.8 at ring 9
