# v13_5kw_masslift telemetry  length=18.8  window=40.0  min_clearance=1.5  lift=mass-aware-const-tension  margin=1.5  era=post-4ce9fd0_daisy-anchored-5kw  git=1c9f9cbf4eac8f6d7909ab4d6cb5ee62417cb979
island,gen,idx,fitness,status,P_mean,P_end,T_lift,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,blade_scale_top,blade_scale_bottom,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
3,0,1,62.141,ok,5.25,5.31,508.81,3.38,false,4.12,6,13,3,2.4,0.575,0.0,0.0,0.7,0.7,18.8,2.4,0.575109,1.5,6.0,0.0,3.0,0.0,0.0,0.7,0.7
3,0,2,1.0e9,reject,0.0,0.0,0.0,Inf,false,8.3,5,23,1,0.998,0.294,10.4,18.9,0.887,0.577,18.8,0.997503,0.293801,2.071433,5.259667,0.229047,1.400399,10.428599,18.885088,0.88686,0.576735
3,0,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,8.39,6,18,2,0.713,0.558,19.1,18.7,0.445,0.514,18.8,0.712997,0.558208,2.068506,5.858767,0.345684,1.782723,19.139494,18.663399,0.444884,0.51442
3,0,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,8.09,7,15,1,2.43,0.802,2.4,9.5,0.143,0.35,18.8,2.429728,0.802377,1.567567,6.843428,0.146788,1.087014,2.433888,9.476223,0.142902,0.3503
3,0,5,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.45,7,15,2,2.04,0.529,19.5,3.9,0.423,0.944,18.8,2.039641,0.529391,1.959365,7.4123,0.184229,2.481986,19.47117,3.916034,0.422886,0.943989
3,0,6,1.0e9,reject,3.23,3.24,418.28,5.22,false,4.29,3,17,2,3.444,0.588,20.4,22.0,0.554,0.898,18.8,3.443731,0.587661,1.214554,3.245901,-0.539872,1.848261,20.398009,21.964702,0.5538,0.898268
3,0,7,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.7,5,27,2,2.175,0.324,14.7,4.5,0.628,0.57,18.8,2.17463,0.323915,1.083427,4.687682,0.29012,2.412785,14.711932,4.472466,0.627741,0.56989
3,0,8,1.0e9,reject,0.0,0.0,0.0,Inf,false,8.64,4,22,2,0.703,0.703,11.2,11.9,0.652,0.638,18.8,0.702656,0.858336,1.252078,3.63988,0.027945,1.632681,11.249244,11.905904,0.652118,0.637502
3,0,9,53.75,ok,5.61,5.65,618.87,5.9,false,5.3,7,13,2,2.497,0.665,13.5,19.8,0.735,0.639,18.8,2.496618,0.665134,1.64887,6.884523,-0.185513,1.975922,13.469874,19.774756,0.734898,0.639108
3,0,10,1.0e9,reject,3.69,3.72,1010.37,7.04,false,2.95,6,8,2,3.263,0.835,11.2,6.5,0.888,0.987,18.8,3.262958,0.835384,2.058506,6.390199,-0.703454,2.078554,11.16794,6.497481,0.888094,0.987376
3,1,1,1.0e9,reject,2.06,2.07,621.51,8.07,false,2.87,4,12,2,4.32,0.575,0.0,13.0,0.555,1.0,18.8,4.32,0.575109,1.205236,4.0,-0.8,2.337066,0.0,13.035879,0.554689,1.0
3,1,2,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.42,5,25,2,1.203,0.294,14.5,15.3,0.644,0.577,18.8,1.203264,0.293801,2.071433,5.0,0.408337,1.900786,14.46908,15.270454,0.643847,0.576735
3,1,3,1.0e9,reject,3.74,3.74,804.89,5.63,false,2.84,4,9,2,4.213,0.558,11.8,18.7,0.977,0.514,18.8,4.212615,0.558208,1.554753,4.0,-0.8,1.649935,11.794807,18.70469,0.976638,0.51442
3,1,4,1.0e9,reject_twist,0.0,0.0,0.0,Inf,true,7.03,3,24,1,2.43,0.439,9.3,22.0,1.0,0.328,18.8,2.429728,0.438551,1.611673,3.0,-0.686175,1.354743,9.254238,22.0,1.0,0.327892
3,1,5,1.0e9,reject,3.36,3.34,949.38,2.76,false,3.11,5,9,2,4.32,0.771,11.2,21.3,1.0,0.55,18.8,4.32,0.770753,1.312885,5.0,-0.8,1.692942,11.22288,21.282873,1.0,0.550121
3,1,6,1.0e9,reject,4.25,4.27,607.54,4.97,false,4.33,4,17,2,3.268,0.494,12.9,22.0,0.875,0.898,18.8,3.268468,0.494259,1.319485,4.0,-0.232399,1.848261,12.908205,22.0,0.875305,0.898268
3,1,7,67.109,ok,6.75,6.82,510.24,3.15,false,6.35,7,10,1,3.08,0.841,21.0,4.5,0.862,0.833,18.8,3.079987,0.841083,2.026425,7.0,-0.661055,1.353016,21.019517,4.472466,0.862052,0.833377
3,1,8,1.0e9,reject,2.76,2.82,581.3,3.1,false,3.23,5,10,2,4.32,0.752,11.2,8.2,0.652,0.6,18.8,4.32,0.752431,1.252078,5.0,-0.8,1.632681,11.249244,8.161528,0.652118,0.599526
3,1,9,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.18,7,19,2,2.497,0.863,1.4,0.0,0.69,0.684,18.8,2.496618,0.862663,1.0,7.0,-0.185513,2.38284,1.374804,0.0,0.69044,0.683648
3,1,10,1.0e9,reject,0.0,0.0,0.0,Inf,false,3.21,6,12,2,3.263,0.333,11.2,5.8,0.566,0.736,18.8,3.262958,0.333389,2.1,6.0,0.486549,1.709443,11.16794,5.80794,0.566197,0.736179
3,2,1,1.0e9,reject,4.8,4.83,615.32,1.89,false,2.62,6,8,3,3.139,0.613,8.1,12.7,0.849,0.14,18.8,3.139045,0.612702,1.566203,6.0,-0.8,3.0,8.135178,12.66519,0.849448,0.14
3,2,2,1.0e9,reject,4.57,4.61,824.96,4.03,false,3.86,9,8,2,3.065,0.863,16.3,15.3,0.711,0.577,18.8,3.06497,0.862663,1.970014,9.0,0.408337,1.900786,16.3448,15.270454,0.710509,0.576735
