# v12_5kw_v3 telemetry  length=25.0  min_clearance=1.5
island,gen,idx,fitness,status,P_kW,FoS,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,clearance,tether
1,0,1,1.0e9,clearance_reject,0.0,0.0,6,0,0,0.91,0.63,15.0,15.0,0.519,0.1,0.65,25.0
1,0,2,1.0e9,reject,0.0,0.0,13,0,0,1.25,0.62,0.7,1.7,0.699,0.517,3.32,25.0
1,0,3,1.0e9,clearance_reject,0.0,0.0,9,0,0,2.1,0.36,15.6,17.4,0.17,0.711,-2.48,25.0
1,0,4,1.0e9,clearance_reject,0.0,0.0,9,0,0,1.8,0.93,12.0,18.6,0.907,0.705,0.98,25.0
1,0,5,1.0e9,clearance_reject,0.0,0.0,7,0,0,0.58,0.32,1.5,11.1,0.562,0.379,0.48,25.0
1,0,6,1.0e9,clearance_reject,0.0,0.0,14,0,0,0.98,0.88,16.5,3.3,0.307,0.615,-0.75,25.0
1,0,7,9.186,ok,22.16,1.7,3,0,0,0.6,0.93,2.6,20.0,0.699,0.511,4.54,25.0
1,0,8,16.161,ok,24.67,14.96,6,0,0,1.05,0.32,11.5,3.1,0.732,0.975,7.0,25.0
1,0,9,1.0e9,clearance_reject,0.0,0.0,7,0,0,0.91,0.52,16.3,21.2,0.377,0.518,0.69,25.0
1,0,10,5.155,ok,14.75,5.03,12,0,0,1.6,0.49,18.1,9.9,0.698,0.093,5.34,25.0
1,1,1,1.0e9,reject,0.0,0.0,16,0,0,0.91,0.63,3.5,17.5,0.881,0.348,6.57,25.0
1,1,2,1.0e9,reject,0.0,0.0,3,0,0,0.29,0.5,0.0,22.0,0.894,0.331,5.69,25.0
1,1,3,1.0e9,clearance_reject,0.0,0.0,14,0,0,0.89,0.95,19.5,14.8,0.104,0.711,-2.3,25.0
1,1,4,1.0e9,reject,0.0,0.0,9,0,0,0.64,0.93,2.7,7.4,0.65,0.579,7.0,25.0
1,1,5,1.0e9,reject,0.0,0.0,8,0,0,1.24,0.32,19.5,0.7,0.562,0.995,7.47,25.0
1,1,6,1.0e9,reject,0.0,0.0,5,0,0,0.99,0.88,16.5,22.0,0.93,0.615,2.59,25.0
1,1,7,1.0e9,clearance_reject,0.0,0.0,3,0,0,1.75,0.6,2.6,0.7,0.588,1.0,-2.76,25.0
1,1,8,1.0e9,reject,0.0,0.0,15,0,0,0.63,0.66,11.5,16.1,0.717,0.275,6.11,25.0
1,1,9,1.0e9,reject,0.0,0.0,11,0,0,0.47,0.52,8.6,21.2,0.192,0.399,2.59,25.0
1,1,10,1.0e9,reject,0.0,0.0,11,0,0,0.83,0.52,1.0,14.2,0.942,0.548,5.43,25.0
1,2,1,1.0e9,reject,0.0,0.0,9,0,0,0.44,0.65,3.5,8.8,0.777,0.461,4.71,25.0
1,2,2,1.0e9,reject,0.0,0.0,11,0,0,0.2,0.95,0.0,12.0,0.716,0.166,6.49,25.0
1,2,3,1.0e9,clearance_reject,0.0,0.0,14,0,0,1.81,0.32,22.0,16.9,0.104,0.272,-0.54,25.0
1,2,4,1.0e9,clearance_reject,0.0,0.0,16,0,0,1.21,0.32,15.7,6.8,0.403,0.311,1.13,25.0
1,2,5,1.0e9,reject,0.0,0.0,6,0,0,0.2,0.77,7.6,0.7,0.562,0.995,4.01,25.0
1,2,6,1.0e9,clearance_reject,0.0,0.0,12,0,0,0.99,0.32,10.4,0.0,0.93,0.615,1.31,25.0
1,2,7,1.0e9,reject,0.0,0.0,9,0,0,0.6,0.75,2.6,22.0,0.699,0.295,2.69,25.0
1,2,8,3.727,ok,10.23,3.79,11,0,0,1.41,0.32,16.8,11.7,0.732,0.525,6.42,25.0
1,2,9,1.0e9,clearance_reject,0.0,0.0,16,0,0,2.2,0.32,22.0,22.0,0.216,0.05,0.41,25.0
1,2,10,0.795,ok,17.82,3.83,12,0,0,1.6,0.95,18.1,9.9,0.464,0.754,7.6,25.0
1,3,1,1.0e9,reject,0.0,0.0,9,0,0,0.2,0.81,0.0,3.0,0.88,0.228,5.99,25.0
1,3,2,1.0e9,reject,0.0,0.0,4,0,0,0.2,0.8,0.0,8.6,1.0,0.093,6.31,25.0
1,3,3,1.0e9,reject,0.0,0.0,4,0,0,1.81,0.8,4.2,18.8,0.875,0.05,6.76,25.0
1,3,4,1.0e9,reject,0.0,0.0,8,0,0,1.21,0.48,4.0,6.8,1.0,0.146,2.96,25.0
1,3,5,21.461,ok,10.43,1.55,6,0,0,1.33,0.69,5.5,22.0,0.787,0.995,6.79,25.0
1,3,6,0.756,ok,12.6,11.92,10,0,0,1.49,0.95,11.2,7.3,0.609,0.549,7.08,25.0
1,3,7,2.009,ok,13.38,8.29,16,0,0,2.2,0.32,22.0,15.8,0.183,0.05,8.87,25.0
1,3,8,1.0e9,clearance_reject,0.0,0.0,16,0,0,2.2,0.43,22.0,16.8,0.104,0.561,-2.34,25.0
1,3,9,1.0e9,clearance_reject,0.0,0.0,3,0,0,2.2,0.53,0.0,18.5,0.216,0.05,0.62,25.0
1,3,10,1.0e9,reject,0.0,0.0,11,0,0,0.2,0.95,1.0,5.5,0.464,0.957,3.91,25.0
1,4,1,1.0e9,reject,0.0,0.0,7,0,0,2.2,0.44,9.3,22.0,0.104,0.05,9.42,25.0
1,4,2,1.0e9,reject,0.0,0.0,5,0,0,0.2,0.34,8.2,22.0,0.963,0.05,6.28,25.0
1,4,3,1.0e9,reject,0.0,0.0,4,0,0,0.64,0.8,7.6,9.1,1.0,0.76,2.66,25.0
1,4,4,12.326,ok,12.61,13.45,3,0,0,1.21,0.6,4.1,16.5,1.0,1.0,6.48,25.0
1,4,5,4.205,ok,13.86,1.92,12,0,0,1.33,0.32,19.7,17.0,0.787,0.188,2.35,25.0
1,4,6,1.0e9,reject,0.0,0.0,16,0,0,0.94,0.65,22.0,5.0,0.927,1.0,4.9,25.0
1,4,7,1.0e9,reject,0.0,0.0,16,0,0,0.97,0.32,12.2,22.0,0.273,0.05,1.7,25.0
1,4,8,3.193,ok,12.08,6.87,11,0,0,1.82,0.4,21.7,16.0,0.56,0.525,7.22,25.0
1,4,9,1.0e9,reject,0.0,0.0,3,0,0,2.2,0.53,13.8,18.5,0.216,0.05,9.11,25.0
1,4,10,1.0e9,clearance_reject,0.0,0.0,5,0,0,1.6,0.36,18.1,15.9,1.0,0.51,0.81,25.0
1,5,1,1.0e9,reject,0.0,0.0,8,0,0,0.44,0.32,8.4,22.0,0.722,0.05,7.31,25.0
1,5,2,1.0e9,reject,0.0,0.0,3,0,0,0.2,0.46,0.0,22.0,1.0,0.542,6.48,25.0
1,5,3,1.0e9,clearance_reject,0.0,0.0,12,0,0,0.64,0.8,19.9,9.1,0.503,0.861,-1.35,25.0
1,5,4,1.0e9,clearance_reject,0.0,0.0,6,0,0,2.2,0.6,16.7,22.0,0.104,0.05,0.57,25.0
1,5,5,1.0e9,clearance_reject,0.0,0.0,9,0,0,1.66,0.53,14.0,12.0,0.787,0.371,1.12,25.0
1,5,6,1.0e9,reject,0.0,0.0,8,0,0,2.2,0.59,18.9,12.3,0.743,0.549,6.71,25.0
1,5,7,1.0e9,reject,0.0,0.0,3,0,0,2.2,0.32,5.5,22.0,0.183,0.05,9.22,25.0
1,5,8,1.0e9,reject,0.0,0.0,11,0,0,0.53,0.4,3.8,16.0,0.627,0.244,6.9,25.0
1,5,9,1.0e9,reject,0.0,0.0,3,0,0,0.36,0.32,0.0,22.0,0.216,0.871,6.12,25.0
1,5,10,1.0e9,reject,0.0,0.0,7,0,0,0.44,0.55,14.8,15.7,0.785,1.0,1.54,25.0
1,6,1,1.0e9,clearance_reject,0.0,0.0,12,0,0,1.13,0.32,22.0,22.0,0.953,0.935,0.67,25.0
