v_wind,t,P_kw,omega_hub,omega_gnd,twist_deg,hub_z
5.0,5.500000000019097,0.0016987240635520644,0.0009394357937939953,0.3355635687238625,-7.7536353292226226,13.251971616669538
5.0,6.000000000022372,0.0018810298029907694,-0.002032693350469683,-0.22577504700942175,-1.3449523185611318,13.2112052135796
5.0,6.500000000025648,0.00016128017089977144,0.02320675743016286,0.02681383659497334,-1.4473634918011724,13.138707107124505
5.0,7.0000000000289235,0.0020097389927804005,0.01252162090205943,0.06045377629652343,-2.8219156217872623,13.075012736971273
5.0,7.500000000032199,0.0017311988242366693,0.02757012785737297,-0.1223312839298877,1.4738843408453122,13.033544012920647
5.0,8.000000000035474,0.0026428990825348984,0.01204251822817082,0.4371171829589845,-10.703944768588817,12.974507624061154
5.0,8.500000000016545,0.002020637576784535,0.023848259687237493,-0.3278872959103543,-0.6281848582119769,12.917238665204696
5.0,8.999999999997616,0.0009242783055630915,0.05455600619493795,0.1999702061214844,-4.794053018063874,12.876966919077447
5.0,9.499999999978687,0.0021509254621862803,0.02883276877318682,-0.116879717360519,-0.618149222901334,12.824274402832373
5.0,9.999999999959758,0.0030106073599626983,0.0454616933185616,0.3449317804284252,-9.198554838315738,12.77345208787039
5.0,10.49999999994083,0.0007862212205594453,0.06961611898781028,-0.11749987906544455,-3.8384477674482342,12.732200554851996
5.0,10.9999999999219,0.0009784130508644052,0.08533627658214621,0.15683927949835647,-5.886533421631602,12.683900907722244
5.0,11.499999999902972,0.0016921618045461061,0.09405206539240522,-0.13102803069133903,0.5624970350229872,12.6400727433783
5.0,11.999999999884043,0.0031356472675413295,0.11117287102275435,0.49529395225676087,-10.442472128556458,12.60013529554671
5.0,12.499999999865114,0.00011902851762235386,0.10876740003065147,0.0725527909873007,-9.40438247748871,12.554337064272529
5.0,12.999999999846185,0.0012358123027583752,0.13489672723771717,0.3250575057451547,-14.852315379588093,12.515307849490224
5.0,13.499999999827256,0.0012768318194071903,0.14520723638402788,0.1553029333827608,-15.14234377900087,12.477297897830313
5.0,13.999999999808328,0.0007562180478791491,0.15110125754510553,0.19751566390672196,-16.47207005366574,12.432807973458038
5.0,14.499999999789399,0.00046852394237990614,0.16383700513097413,0.1429893660116743,-15.874746582835952,12.398254017981511
5.0,14.99999999977047,0.0007794275595826102,0.1646237736385698,0.3904568445000435,-22.344155350314285,12.359211751355655
8.0,5.500000000019097,0.001868930356656172,0.015802814012080352,0.36824421290893516,-8.234763788970202,13.252650869057385
8.0,6.000000000022372,0.0017198454009012833,0.01860332285208143,-0.20634388366413506,-1.7914878997369283,13.214629561017778
8.0,6.500000000025648,0.00028692824179989704,0.04168375154445824,0.004348642583441429,-0.720996326432617,13.138802953046417
8.0,7.0000000000289235,0.0018549287368113427,0.04035171952474503,0.2193684728256625,-5.85041943148875,13.078210320855256
8.0,7.500000000032199,0.0006392375929067056,0.07521642769966,-0.172086558109466,1.2345120684224369,13.046247938710122
8.0,8.000000000035474,0.003736369249036982,0.06579766321445824,0.45512543707982334,-9.917952233492215,12.978193810028332
8.0,8.500000000016545,0.0020794412566518755,0.10565222383534015,-0.17718954165120687,-1.8165106993978986,12.926229897284669
8.0,8.999999999997616,0.001855952901350446,0.1794869156466886,0.38047941581532596,-7.574315348072043,12.917602298893545
8.0,9.499999999978687,0.0008446759491638516,0.21764795357146066,0.13277218358583734,-5.142542742529763,12.843200087503359
8.0,9.999999999959758,0.0015998406750105797,0.286526485822331,0.42467728707603525,-9.099785542987586,12.811060958025275
8.0,10.49999999994083,0.002077494184103133,0.4505070742620102,0.5107621543339401,-10.826602268392213,12.86950981535152
8.0,10.9999999999219,0.0045754635058912925,0.5685963230245523,0.7276272354297337,-15.382094309083119,12.822843465226393
8.0,11.499999999902972,0.0016226687535313999,0.6179093232020939,0.51134146050649,-12.329338632405284,12.7825530742202
8.0,11.999999999884043,0.00630139793506926,0.7824499523844323,0.822112045709864,-13.46549962399739,12.89058784030823
8.0,12.499999999865114,0.0075407340512183285,0.9056539992013781,0.8813916914384847,-12.770311498760721,12.918432458363323
