v_wind,P_kw_mean,P_kw_std,omega_hub,omega_gnd,twist_mean,T_max_mean,T_mean_mean,hub_z_mean,hub_elev_deg,tsr,cp_eff
4.0,0.1275575430808216,0.06400038651300538,2.090718035594059,2.202284634511689,57.718927255706504,228.49825364189732,39.42190327874656,13.778162289352744,27.921572752741774,2.645311999881698,0.04296793349105317
5.0,0.5477527784909458,0.08556594996313178,3.6925605333242033,3.6699206958087514,103.08536164638772,565.5093460932898,108.29310082617356,14.29137451320069,28.712895125740626,3.7181772485952793,0.09300065309971794
6.0,2.2555448393544753,1.1874874311205381,5.7099901093732575,5.742225223919803,152.3079647470292,968.1624316218016,240.37943743344186,14.458599765547353,29.161306113113245,4.78337938497218,0.22051792248488777
7.0,2.9765695994536907,0.03316723459327527,6.6500104984113575,6.467985491786966,225.72582478892224,678.2366028881166,316.83329429599974,14.589166222753718,29.681121039669307,4.768889557667998,0.1825554723096462
8.0,4.646194384135755,0.09301239822769412,7.668001219355328,7.50269731348196,251.8505240824411,645.1013629677791,399.51800624399436,14.56460225426033,29.747430910668392,4.81271017800401,0.19103546328100643
9.0,6.655213243183249,0.1771107205220139,8.620843274540386,8.457180602218777,269.4991866580666,725.9848865672195,487.4238080955805,14.527762061987207,29.759003032158315,4.811293972681818,0.19239439640398306
10.0,8.978073559867743,0.28310691004591976,9.504382091868079,9.344447742187334,283.99659240215,813.1839450048383,577.5388658940136,14.493422986975139,29.761743117209924,4.775571612490103,0.18940070698523642
11.0,11.645384156537892,0.39381450322246836,10.345128739491434,10.190702618263462,296.11162420294187,905.622625910195,671.9089209782585,14.46313521202658,29.76134105012697,4.726878918172822,0.1847411175951651
12.0,14.696703177914788,0.5033273859858626,11.160538363548273,11.012644639003636,306.3877104838445,1002.8840177078146,771.5640794428671,14.436468324372465,29.75887501476389,4.675732527381504,0.17972458130417238
13.0,18.17316820628574,0.607758170705533,11.961171297384988,11.820366255625206,315.17834395321756,1106.5292724344906,877.2374752249859,14.41299984534453,29.754837421449924,4.626760921223355,0.17491808142789783
14.0,22.11728263768252,0.7048315486518002,12.753714979369555,12.620283600566582,322.74664113759565,1217.76096831138,989.4797031451781,14.392359347744977,29.749542507018674,4.581886059100084,0.17054873964593095
15.0,26.572875877249082,0.7913114894929067,13.542573079437096,13.416635621432206,329.2983222510794,1336.5512723236457,1108.70019593908,14.374215010496025,29.74325466197791,4.541756095494545,0.16668650138450372
