island,mass_kg,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,r_hub_m,r_bottom_m,target_Lr,n_lines,density_profile,n_expansion,bank_angle_deg,blade_scale
1,17.73571556934759,0.011418488242246002,0.04370083889334576,0.15286282385455308,1.6389414602396868e-7,7.451289130563548,4.999993887888381,0.5190137983731122,3.037171805352493,-0.020609748885386782,19.838065317118545,35.0,0.011331194035173658
2,17.7356263489556,0.01144208297064913,0.0436371921137756,0.15044325048050103,1.4123088354308772e-6,7.4512713226802365,5.0,0.527646732811085,3.063448101507888,-0.0206173638453968,19.78373285821768,34.99353952572525,0.011330429143313036
3,17.737145024193985,0.01119259973919268,0.0439435746566126,0.17661591388590897,1.4043072061418568e-6,7.451855751860942,4.999910943517772,0.30180529394305694,3.2572272610369146,-0.020674474673685012,19.745703044168696,35.0,0.011331846990269925
4,17.735582104456427,0.011445320417079125,0.04368457346077249,0.1501013610104084,6.411819143060678e-7,7.45125869870012,5.0,0.2,3.2949077061947363,-0.02060838262556555,19.766154240787113,35.0,0.01133096569355652
5,18.049194088310692,0.011216399537401714,0.01155836447016747,0.1817385302975814,0.0,7.816633320885524,4.9957738146414234,0.3527585429902664,3.0,-0.025170523661027816,19.831514389840127,35.0,0.010991850674460764
6,17.737956792248404,0.011102394299169463,0.04503722216018721,0.18618581765101472,0.0,7.452134104258981,5.0,0.297745595726283,3.1369227468383185,-0.020643143275039407,19.79089231553235,34.80989620276627,0.011319376168815351
7,17.74458232629335,0.011045673323635893,0.01,0.19889718331080863,2.128714473792235e-6,7.446667746606732,5.0,0.20846151999432866,3.096139663338853,-0.02053289746322113,19.640574754051393,34.998233282256194,0.01134223297611253
8,17.735618704026436,0.01143662065306728,0.04370588543417522,0.15099305343729985,0.0,7.4512499210784044,4.99999991361269,0.2,3.4435500326367823,-0.020610078792351806,19.820948224327438,34.998237429683115,0.011330869570947765
9,17.735572940051853,0.01144559312895782,0.04368405977725258,0.15007242071487323,5.439329734038437e-7,7.451257892258039,5.0,0.3582905810331824,3.0321101982468277,-0.02061083708444074,19.543526151520755,34.99982225565414,0.011330930578356846
10,17.735632791160665,0.011443982605788636,0.04365179583456117,0.1502502486356976,5.288474614154075e-6,7.451246981611126,4.999999711421863,0.2,3.0,-0.02061204164691906,20.0,34.994308537376114,0.01133059043001694
11,17.736167247708455,0.011370139106876682,0.04311245999809464,0.15799693864230857,1.9522534933488016e-5,7.45130917186463,4.999987531183187,0.476436003849065,3.0,-0.020627814848991444,19.97711052846519,34.987539219333996,0.011329898817056297
12,17.735621298065865,0.01141634979379797,0.043780626946082576,0.153064447261882,0.0,7.451227931584143,5.0,0.24495258997941477,3.0176847970381813,-0.020610776207691334,20.0,34.99987690350759,0.011331026306325737
13,17.736224005177256,0.011252207008711929,0.044100646068982084,0.17019117840430728,0.0,7.45147090422194,5.0,0.25840375977944463,3.4464325036784493,-0.020533592998143838,19.560695813464623,34.99007110346364,0.011330306393822657
14,17.736692896588114,0.011205045115095185,0.0437611756534739,0.17529864463122843,0.0,7.451432130987985,5.0,0.4779345143995976,3.2289240574090994,-0.02062313279326435,19.677606620889335,34.8995214756893,0.011323677277441678
15,17.73557084016691,0.011445454275334874,0.043677357675811344,0.15008801775700095,3.2394154387358067e-7,7.451252239701348,4.999999949501355,0.2,3.314100611887269,-0.020609836891758455,19.852738093101628,34.999870191235125,0.011330947734262228
