scenario,t,hub_x,hub_z,elev_deg,omega_hub,twist_deg,T_max
NoLift_v5,0.0,25.980225256761678,14.999623565168381,29.999890039859732,-2.233432668792404e-19,0.0,0.0
NoLift_v5,0.004,25.979596097442034,14.999181456972384,29.999759592706116,-6.894278183765858e-15,2.9006658694947273e-11,0.0
NoLift_v5,0.008,25.97830633334138,14.998201047531259,29.999369590315062,-1.2132563610840418e-14,4.229119948848409e-10,0.0
NoLift_v5,0.012,25.976964043748126,14.997033361113546,29.9987199046183,-1.4818987176830202e-14,1.8915394801599825e-9,0.0
NoLift_v5,0.016,25.975621754154872,14.995708714695834,29.997810471365923,-1.8585263238864517e-14,5.186772241218348e-9,0.0
NoLift_v5,0.02,25.97427946456162,14.994227108278121,29.996641236008262,-2.352748294293038e-14,1.0818313249092554e-8,0.0
NoLift_v5,0.024,25.972937174968365,14.992588541860407,29.995212139904176,-2.980972657789632e-14,1.8894072363015296e-8,0.0
NoLift_v5,0.028,25.97159488537511,14.990793015442694,29.993523120318866,-3.7668786460179866e-14,2.9090574449663006e-8,0.0
NoLift_v5,0.032,25.970252595781858,14.988840529024982,29.99157411042179,-4.737921701890689e-14,4.072588314089246e-8,0.0
NoLift_v5,0.036000000000000004,25.968910306188604,14.98673108260727,29.98936503928458,-5.919807845911977e-14,5.289768779579117e-8,0.0
NoLift_v5,0.04000000000000001,25.96756801659535,14.984464676189557,29.986895831878858,-7.335104609364632e-14,6.463619912532475e-8,0.0
NoLift_v5,0.04400000000000001,25.966225727002097,14.982041309771843,29.98416640907419,-9.028130480656665e-14,7.503768160008342e-8,0.0
NoLift_v5,0.048000000000000015,25.964883437408844,14.97946098335413,29.98117668763596,-1.1157539519959613e-13,8.335419598117423e-8,0.0
NoLift_v5,0.05200000000000002,25.96354114781559,14.976723696936418,29.97792658022321,-1.4197980039479048e-13,8.903542997539162e-8,0.0
NoLift_v5,0.05600000000000002,25.962198858222337,14.973829450518705,29.974415995386597,-1.9256279564801806e-13,9.17245762363503e-8,0.0
NoLift_v5,0.060000000000000026,25.960856568629083,14.970778244100993,29.970644837566216,-2.842650567452491e-13,9.122342259630146e-8,0.0
NoLift_v5,0.06400000000000003,25.95951427903583,14.96757007768328,29.96661300708955,-4.507360417358584e-13,8.743993652498226e-8,0.0
NoLift_v5,0.06800000000000003,25.958171989442576,14.964204951265568,29.9623204001693,-7.379665023838287e-13,8.033829225446072e-8,0.0
NoLift_v5,0.07200000000000004,25.956829699849322,14.960682864847856,29.957766908901327,-1.1991753204354714e-12,6.990230712251752e-8,0.0
NoLift_v5,0.07600000000000004,25.95548741025607,14.957003818430143,29.95295242126251,-1.8833402649880402e-12,5.6118419243990935e-8,0.0
NoLift_v5,0.08000000000000004,25.954145120662815,14.95316781201243,29.947876821108686,-2.8175870758381644e-12,3.897680706602459e-8,0.0
NoLift_v5,0.08400000000000005,25.95280283106956,14.949174845594717,29.9425399881725,-3.9841214686387176e-12,1.848510391985399e-8,0.0
NoLift_v5,0.08800000000000005,25.951460541476308,14.945024919177005,29.936941798061326,-5.2941484256765294e-12,-5.3134092064154994e-9,0.0
NoLift_v5,0.09200000000000005,25.950118251883055,14.940718032759293,29.931082122255198,-6.56050537066923e-12,-3.232400267215117e-8,0.0
NoLift_v5,0.09600000000000006,25.9487759622898,14.93625418634158,29.92496082810469,-7.470900166110925e-12,-6.239337374170649e-8,0.0
NoLift_v5,0.10000000000000006,25.947433672696548,14.931633379923868,29.918577778828855,-7.561704630666953e-12,-9.53131070279145e-8,0.0
NoLift_v5,0.10400000000000006,25.946091383103294,14.926855613506156,29.911932833513116,-6.189766492887207e-12,-1.308345849324346e-7,0.0
NoLift_v5,0.10800000000000007,25.94474909351004,14.921920887088445,29.90502584710721,-2.4981652108126094e-12,-1.686909461952732e-7,0.0
NoLift_v5,0.11200000000000007,25.943406803916787,14.916829200670735,29.897856670423153,4.632942046361965e-12,-2.08621308999238e-7,0.0
NoLift_v5,0.11600000000000008,25.942064514323533,14.911580554253023,29.890425150133115,1.66634549844687e-11,-2.5039071940889994e-7,0.0
NoLift_v5,0.12000000000000008,25.94072222473028,14.906174947835312,29.882731128767425,3.5473292193175975e-11,-2.938011433675723e-7,0.0
NoLift_v5,0.12400000000000008,25.939379935137026,14.900612381417606,29.874774444712504,6.349535271205864e-11,-3.386915684750607e-7,0.0
NoLift_v5,0.12800000000000009,25.938037645543773,14.8948928549999,29.86655493220884,7.577519625045062e-11,-3.849294292122418e-7,0.0
NoLift_v5,0.1320000000000001,25.93669535595052,14.889016368582212,29.858072421348965,-4.505090869545499e-9,-4.327224794109087e-7,0.0
NoLift_v5,0.1360000000000001,25.935353066357454,14.88298292216478,29.849326738075646,-2.797009284324243e-8,-4.845529511666629e-7,0.0
NoLift_v5,0.1400000000000001,25.934010776766655,14.876792515748672,29.840317704179228,-8.710444736864325e-8,-5.465030064746483e-7,0.0
NoLift_v5,0.1440000000000001,25.9326684871827,14.870445149336495,29.831045137296307,-2.0118735870847817e-7,-6.287408532070663e-7,0.0
NoLift_v5,0.1480000000000001,25.931326197614247,14.863940822933202,29.821508850907506,-3.9267183364385125e-7,-7.461729878228128e-7,0.0
NoLift_v5,0.1520000000000001,25.929983908075762,14.85727953654709,29.811708654335618,-6.873214066280431e-7,-9.191992590488579e-7,0.0
NoLift_v5,0.1560000000000001,25.928641618589435,14.850461290190854,29.80164435274354,-1.11320782400336e-6,-1.1743670952560035e-6,0.0
NoLift_v5,0.16000000000000011,25.927299329187314,14.843486083882842,29.791315747132465,-1.700996628796626e-6,-1.544881919874166e-6,0.0
NoLift_v5,0.16400000000000012,25.925957039913538,14.836353917648315,29.7807226343399,-2.4845806585971996e-6,-2.0712782738746003e-6,0.0
NoLift_v5,0.16800000000000012,25.924614750826986,14.82906479152092,29.769864807037763,-3.502188527293062e-6,-2.8023296070754255e-6,0.0
NoLift_v5,0.17200000000000013,25.92327246200384,14.821618705544223,29.758742053730668,-4.7675783749899185e-6,-3.7934049237043673e-6,0.0
NoLift_v5,0.17600000000000013,25.921930173538854,14.814015659772272,29.7473541587538,-6.28191462438466e-6,-5.100322576754549e-6,0.0
NoLift_v5,0.18000000000000013,25.920587885545565,14.806255654269863,29.7357009022714,-8.062369850043205e-6,-6.780735539492673e-6,0.0
NoLift_v5,0.18400000000000014,25.919245598157403,14.79833868911313,29.72378206027491,-1.0129566094772388e-5,-8.896475550592575e-6,0.0
NoLift_v5,0.18800000000000014,25.91790331152952,14.790264764390455,29.711597404581028,-1.2507937124195661e-5,-1.1513660642327893e-5,0.0
NoLift_v5,0.19200000000000014,25.916561025840128,14.782033880203324,29.69914670283014,-1.5187637381163747e-5,-1.4683647027584719e-5,0.0
NoLift_v5,0.19600000000000015,25.91521874128984,14.773646036665902,29.6864297184846,-1.8105589294663143e-5,-1.8168579443509108e-5,0.0
NoLift_v5,0.20000000000000015,25.913876458096922,14.765101233902264,29.673446210826953,-2.114596838112771e-5,-1.9788999231734784e-5,0.0
NoLift_v5,0.20400000000000015,25.91253417648858,14.756399472041473,29.66019593495838,-2.4141525033572812e-5,-1.2198133871773934e-5,0.0
NoLift_v5,0.20800000000000016,25.911191896688667,14.747540751210513,29.646678641796992,-2.6896145546561624e-5,2.0491029326578e-5,0.0
NoLift_v5,0.21200000000000016,25.909849618903053,14.738525071526002,29.632894078076237,-2.9204681967438786e-5,0.00010859888024822374,0.0
NoLift_v5,0.21600000000000016,25.90850734330427,14.72935243308544,29.618841986343266,-3.086250652822446e-5,0.00030425040449097803,0.0
NoLift_v5,0.22000000000000017,25.90716507001627,14.720022835958563,29.604522104957308,-3.1675236915510895e-5,0.0006844384353991577,0.0
NoLift_v5,0.22400000000000017,25.905822799099706,14.710536280179106,29.589934168088227,-3.1468341285289184e-5,0.0013525883293894604,0.0
NoLift_v5,0.22800000000000017,25.904480530538965,14.700892765737388,29.575077905714767,-3.0097951266989692e-5,0.0024367752804458896,0.0
NoLift_v5,0.23200000000000018,25.903138264231277,14.691092292574304,29.559953043623164,-2.7466150954812172e-5,0.004080334807093992,0.0
NoLift_v5,0.23600000000000018,25.90179599997937,14.681134860577169,29.544559303405464,-2.3522376768628455e-5,0.006427515778968861,0.0
NoLift_v5,0.24000000000000019,25.900453737487478,14.67102046957764,29.52889640245818,-1.826957903258267e-5,0.009607065669164519,0.0
NoLift_v5,0.2440000000000002,25.899111476361735,14.660749119351983,29.512964053980692,-1.1793258257086425e-5,0.013714649181746918,0.0
NoLift_v5,0.2480000000000002,25.89776921611677,14.650320809624935,29.496761966973814,-4.293932086948203e-6,0.018822641548689737,0.0
NoLift_v5,0.25200000000000017,25.896426956212125,14.639735540090431,29.48028984623852,4.009536056326133e-6,0.02495348620133432,0.0
NoLift_v5,0.25600000000000017,25.895084696643508,14.628993310745846,29.463547392374796,1.2912736338630585e-5,0.032003130631721215,0.0
NoLift_v5,0.2600000000000002,25.893742438049973,14.61809412195209,29.446534301781572,2.2212407801822005e-5,0.0397437327125233,0.0
NoLift_v5,0.2640000000000002,25.892400181131396,14.607037974103873,29.42925026665589,3.17196946388788e-5,0.04784317834025765,0.0
NoLift_v5,0.2680000000000002,25.89105792660408,14.595824867604609,29.411694974991992,4.1267811973269827e-5,0.05589266897221048,0.0
NoLift_v5,0.2720000000000002,25.889715675188096,14.58445480285927,29.393868110580463,5.0716033330999e-5,0.06344000247326093,0.0
NoLift_v5,0.2760000000000002,25.88837342759681,14.572927780268454,29.37576935300729,5.995209065295065e-5,0.07002521164410089,0.0
NoLift_v5,0.2800000000000002,25.887031184528322,14.561243800223542,29.35739837765301,6.88929688586714e-5,0.07521495429909901,0.0
NoLift_v5,0.2840000000000002,25.885688946659357,14.549402863103243,29.338754855691867,7.748418013132907e-5,0.07863225263947896,0.0
NoLift_v5,0.2880000000000002,25.884346714640852,14.53740496927124,29.31983845409125,8.569776816189591e-5,0.0799786378585973,0.0
NoLift_v5,0.2920000000000002,25.88300448909607,14.525250119075022,29.30064883561078,9.352914056515323e-5,0.07904822976662544,0.0
NoLift_v5,0.2960000000000002,25.88166227062005,14.51293831284568,29.28118565880186,0.00010099299113155085,0.07575276107250425,0.0
NoLift_v5,0.3000000000000002,25.8803200597807,14.500469550898497,29.261448578006974,0.00010811873419769674,0.07012760233401971,0.0
NoLift_v5,0.3040000000000002,25.87897785712097,14.487843833534228,29.24143724335932,0.00011494581907341546,0.06228810249681986,0.0
NoLift_v5,0.3080000000000002,25.87763566316177,14.47506116104074,29.22115130078232,0.00012151911996367751,0.052375644849877875,0.0
NoLift_v5,0.3120000000000002,25.876293478405366,14.462121533694923,29.200590391989287,0.0001278846091441093,0.04049665790048334,0.0
NoLift_v5,0.3160000000000002,25.874951303338772,14.449024951764656,29.17975415448325,0.00013408554735017868,0.026525864174261584,0.0
NoLift_v5,0.32000000000000023,25.87360913843697,14.43577141551053,29.158642221556637,0.00014015932592897258,0.010205974044510702,0.0
