beta,mass_kg
-0.8,1.0001978057148953e6
-0.6,1.000133867067157e6
-0.4,1.0000874505555658e6
-0.2,1.0000547703289924e6
-0.12857,1.0000457999297915e6
0.0,1.0000532489363191e6
0.2,1.0000690717680876e6
0.4,1.0001035883353765e6
0.6,1.0002593919291684e6
0.8,1.0002259291256036e6
